카테고리,충청남도 계룡시,충청남도 계룡시 두마면,충청남도 계룡시 엄사면,충청남도 계룡시 신도안면,충청남도 계룡시 금암동
2020년12월_계_총인구수,"42,822","7,076","18,498","8,630","8,618"
2020년12월_계_연령구간인구수,"42,822","7,076","18,498","8,630","8,618"
2020년12월_계_0~9세,"3,863",618,"1,254","1,259",732
2020년12월_계_10~19세,"6,300",901,"2,371","1,945","1,083"
2020년12월_계_20~29세,"4,903",751,"2,361",798,993
2020년12월_계_30~39세,"4,611",680,"1,708","1,311",912
2020년12월_계_40~49세,"8,393","1,171","3,217","2,475","1,530"
2020년12월_계_50~59세,"6,927","1,300","3,467",679,"1,481"
2020년12월_계_60~69세,"4,499","1,011","2,211",84,"1,193"
2020년12월_계_70~79세,"2,046",422,"1,109",55,460
2020년12월_계_80~89세,"1,095",173,699,22,201
2020년12월_계_90~99세,175,46,96,2,31
2020년12월_계_100세 이상,10,3,5,0,2
2020년12월_남_총인구수,"21,343","3,466","9,072","4,497","4,308"
2020년12월_남_연령구간인구수,"21,343","3,466","9,072","4,497","4,308"
2020년12월_남_0~9세,"1,952",318,656,624,354
2020년12월_남_10~19세,"3,317",453,"1,268","1,028",568
2020년12월_남_20~29세,"2,731",406,"1,274",460,591
2020년12월_남_30~39세,"2,300",323,877,651,449
2020년12월_남_40~49세,"4,078",545,"1,540","1,276",717
2020년12월_남_50~59세,"3,483",658,"1,677",416,732
2020년12월_남_60~69세,"2,179",497,"1,070",22,590
2020년12월_남_70~79세,910,204,468,12,226
2020년12월_남_80~89세,354,55,221,7,71
2020년12월_남_90~99세,39,7,21,1,10
2020년12월_남_100세 이상,0,0,0,0,0
2020년12월_여_총인구수,"21,479","3,610","9,426","4,133","4,310"
2020년12월_여_연령구간인구수,"21,479","3,610","9,426","4,133","4,310"
2020년12월_여_0~9세,"1,911",300,598,635,378
2020년12월_여_10~19세,"2,983",448,"1,103",917,515
2020년12월_여_20~29세,"2,172",345,"1,087",338,402
2020년12월_여_30~39세,"2,311",357,831,660,463
2020년12월_여_40~49세,"4,315",626,"1,677","1,199",813
2020년12월_여_50~59세,"3,444",642,"1,790",263,749
2020년12월_여_60~69세,"2,320",514,"1,141",62,603
2020년12월_여_70~79세,"1,136",218,641,43,234
2020년12월_여_80~89세,741,118,478,15,130
2020년12월_여_90~99세,136,39,75,1,21
2020년12월_여_100세 이상,10,3,5,0,2
