카테고리,대구광역시 북구,대구광역시 북구 고성동,대구광역시 북구 칠성동,대구광역시 북구 침산1동,대구광역시 북구 침산2동,대구광역시 북구 침산3동,대구광역시 북구 산격1동,대구광역시 북구 산격2동,대구광역시 북구 산격3동,대구광역시 북구 산격4동,대구광역시 북구 대현동,대구광역시 북구 복현1동,대구광역시 북구 복현2동,대구광역시 북구 검단동,대구광역시 북구 무태조야동,대구광역시 북구 관문동,대구광역시 북구 태전1동,대구광역시 북구 태전2동,대구광역시 북구 구암동,대구광역시 북구 관음동,대구광역시 북구 읍내동,대구광역시 북구 동천동,대구광역시 북구 노원동,대구광역시 북구 국우동
2020년11월_계_총인구수,"440,736","4,989","23,540","4,264","19,456","20,455","9,597","11,190","9,081","8,612","18,622","7,631","28,840","6,756","36,508","37,454","22,399","25,182","36,577","17,196","26,991","29,149","12,152","24,095"
2020년11월_계_연령구간인구수,"440,736","4,989","23,540","4,264","19,456","20,455","9,597","11,190","9,081","8,612","18,622","7,631","28,840","6,756","36,508","37,454","22,399","25,182","36,577","17,196","26,991","29,149","12,152","24,095"
2020년11월_계_0~9세,"34,189",343,"2,385",173,"2,268","1,755",264,607,296,305,"1,236",179,"2,256",312,"3,550","4,587","1,376","1,650","2,702",979,"1,719","2,381",636,"2,230"
2020년11월_계_10~19세,"43,547",365,"2,062",217,"2,266","2,288",483,912,462,491,"1,182",362,"3,052",429,"3,954","3,159","1,785","2,547","5,090","1,606","2,518","4,472",638,"3,207"
2020년11월_계_20~29세,"62,209",568,"2,861",490,"2,151","2,449","1,039","1,677","2,491","1,268","2,916","2,329","4,170",743,"4,189","3,992","3,828","3,768","5,446","2,468","4,335","4,203","1,386","3,442"
2020년11월_계_30~39세,"54,195",675,"3,677",458,"2,831","2,411",749,"1,201","1,143","1,031","2,214","1,016","3,580",821,"4,875","6,503","2,656","2,802","3,507","1,640","3,099","2,891","1,581","2,834"
2020년11월_계_40~49세,"72,884",723,"4,070",494,"3,715","3,502","1,154","1,499","1,061","1,029","2,673",825,"4,695",908,"7,015","6,448","3,208","4,036","6,909","2,579","3,843","6,117","1,642","4,739"
2020년11월_계_50~59세,"78,259",798,"3,285",922,"2,810","3,499","1,950","2,292","1,293","1,582","2,970","1,201","5,138","1,252","6,149","5,913","4,247","4,759","7,196","3,574","5,476","5,376","2,418","4,159"
2020년11월_계_60~69세,"53,609",790,"2,669",885,"1,883","2,373","1,988","1,701","1,207","1,574","2,737","1,013","3,607","1,268","4,058","4,214","3,021","3,276","3,262","2,589","3,515","1,946","2,198","1,835"
2020년11월_계_70~79세,"28,253",498,"1,619",424,"1,040","1,472","1,324",887,754,923,"1,769",485,"1,548",700,"1,964","1,882","1,488","1,654","1,618","1,137","1,606","1,131","1,249","1,081"
2020년11월_계_80~89세,"12,115",196,788,169,435,643,597,372,333,371,799,198,689,295,668,671,704,606,754,569,800,595,357,506
