카테고리,전라북도 부안군,전라북도 부안군 부안읍,전라북도 부안군 주산면,전라북도 부안군 동진면,전라북도 부안군 행안면,전라북도 부안군 계화면,전라북도 부안군 보안면,전라북도 부안군 변산면,전라북도 부안군 진서면,전라북도 부안군 백산면,전라북도 부안군 상서면,전라북도 부안군 하서면,전라북도 부안군 줄포면,전라북도 부안군 위도면
2021년04월_계_총인구수,"51,686","20,948","1,904","2,865","2,204","3,428","2,455","4,468","2,284","2,553","2,213","2,665","2,558","1,141"
2021년04월_계_연령구간인구수,"51,686","20,948","1,904","2,865","2,204","3,428","2,455","4,468","2,284","2,553","2,213","2,665","2,558","1,141"
2021년04월_계_0~9세,"2,514","1,645",40,57,66,101,47,203,71,48,62,71,74,29
2021년04월_계_10~19세,"3,643","2,316",57,119,109,151,82,283,101,91,87,107,107,33
2021년04월_계_20~29세,"4,180","2,150",112,194,158,199,131,364,153,150,164,172,170,63
2021년04월_계_30~39세,"3,817","2,038",103,155,173,224,103,348,134,113,118,130,121,57
2021년04월_계_40~49세,"6,043","3,104",140,260,222,380,191,510,212,220,176,254,255,119
2021년04월_계_50~59세,"8,705","3,453",297,475,393,493,436,841,395,414,408,443,451,206
2021년04월_계_60~69세,"9,763","3,032",454,582,455,771,572,917,580,529,456,566,571,278
2021년04월_계_70~79세,"7,695","1,998",375,563,340,715,490,625,411,531,407,528,497,215
2021년04월_계_80~89세,"4,676","1,097",276,401,244,353,357,329,196,398,300,341,266,118
2021년04월_계_90~99세,628,110,48,59,42,39,44,47,28,57,34,51,46,23
2021년04월_계_100세 이상,22,5,2,0,2,2,2,1,3,2,1,2,0,0
2021년04월_남_총인구수,"25,685","10,250",931,"1,443","1,145","1,722","1,226","2,290","1,167","1,257","1,088","1,300","1,260",606
2021년04월_남_연령구간인구수,"25,685","10,250",931,"1,443","1,145","1,722","1,226","2,290","1,167","1,257","1,088","1,300","1,260",606
2021년04월_남_0~9세,"1,321",857,22,35,22,42,24,116,41,25,36,40,46,15
2021년04월_남_10~19세,"1,911","1,204",38,61,60,76,50,139,61,48,46,55,57,16
2021년04월_남_20~29세,"2,354","1,183",63,113,84,105,73,206,106,85,85,100,114,37
2021년04월_남_30~39세,"2,066","1,001",63,90,110,144,61,201,74,78,72,71,65,36
2021년04월_남_40~49세,"3,385","1,546",94,175,140,242,131,311,122,142,106,143,154,79
2021년04월_남_50~59세,"4,773","1,721",174,287,232,295,243,465,223,243,239,268,247,136
2021년04월_남_60~69세,"4,892","1,495",222,305,261,366,298,454,275,267,248,279,272,150
2021년04월_남_70~79세,"3,352",862,157,237,146,317,221,288,197,221,170,216,225,95
2021년04월_남_80~89세,"1,491",361,89,125,78,124,113,101,63,131,83,113,72,38
2021년04월_남_90~99세,138,20,9,15,11,11,11,9,5,17,3,15,8,4
2021년04월_남_100세 이상,2,0,0,0,1,0,1,0,0,0,0,0,0,0
2021년04월_여_총인구수,"26,001","10,698",973,"1,422","1,059","1,706","1,229","2,178","1,117","1,296","1,125","1,365","1,298",535
2021년04월_여_연령구간인구수,"26,001","10,698",973,"1,422","1,059","1,706","1,229","2,178","1,117","1,296","1,125","1,365","1,298",535
2021년04월_여_0~9세,"1,193",788,18,22,44,59,23,87,30,23,26,31,28,14
2021년04월_여_10~19세,"1,732","1,112",19,58,49,75,32,144,40,43,41,52,50,17
2021년04월_여_20~29세,"1,826",967,49,81,74,94,58,158,47,65,79,72,56,26
2021년04월_여_30~39세,"1,751","1,037",40,65,63,80,42,147,60,35,46,59,56,21
2021년04월_여_40~49세,"2,658","1,558",46,85,82,138,60,199,90,78,70,111,101,40
2021년04월_여_50~59세,"3,932","1,732",123,188,161,198,193,376,172,171,169,175,204,70
2021년04월_여_60~69세,"4,871","1,537",232,277,194,405,274,463,305,262,208,287,299,128
2021년04월_여_70~79세,"4,343","1,136",218,326,194,398,269,337,214,310,237,312,272,120
2021년04월_여_80~89세,"3,185",736,187,276,166,229,244,228,133,267,217,228,194,80
2021년04월_여_90~99세,490,90,39,44,31,28,33,38,23,40,31,36,38,19
2021년04월_여_100세 이상,20,5,2,0,1,2,1,1,3,2,1,2,0,0
