카테고리,경기도 의정부시,경기도 의정부시 의정부1동,경기도 의정부시 의정부2동,경기도 의정부시 호원1동,경기도 의정부시 호원2동,경기도 의정부시 장암동,경기도 의정부시 신곡1동,경기도 의정부시 신곡2동,경기도 의정부시 송산1동,경기도 의정부시 송산2동,경기도 의정부시 송산3동,경기도 의정부시 자금동,경기도 의정부시 가능동,경기도 의정부시 흥선동,경기도 의정부시 녹양동
2021년06월_계_총인구수,"461,523","32,117","31,352","36,137","34,944","20,385","43,352","47,973","41,293","33,607","46,822","27,059","25,972","18,639","21,871"
2021년06월_계_연령구간인구수,"461,523","32,117","31,352","36,137","34,944","20,385","43,352","47,973","41,293","33,607","46,822","27,059","25,972","18,639","21,871"
2021년06월_계_0~9세,"33,633","1,122","1,752","2,206","2,355","1,438","2,713","3,425","3,489","2,733","6,516","1,889","1,483","1,065","1,447"
2021년06월_계_10~19세,"41,795","1,612","2,069","2,815","3,383","2,032","3,824","5,024","3,576","4,203","5,223","2,438","2,007","1,516","2,073"
2021년06월_계_20~29세,"64,783","6,660","5,398","4,681","4,509","2,387","6,063","6,903","5,671","4,576","5,143","3,775","3,550","2,496","2,971"
2021년06월_계_30~39세,"59,739","4,935","4,606","4,468","3,934","2,228","5,046","5,473","5,968","3,766","8,057","3,214","3,295","2,199","2,550"
2021년06월_계_40~49세,"73,819","4,366","4,722","5,705","5,522","3,361","6,571","7,540","6,647","6,179","9,193","4,109","3,795","2,645","3,464"
2021년06월_계_50~59세,"80,428","5,454","5,507","5,910","5,976","3,421","8,541","8,875","7,108","6,028","6,170","5,077","4,924","3,501","3,936"
2021년06월_계_60~69세,"59,651","4,574","4,153","5,361","4,669","2,876","6,118","6,255","5,156","3,127","3,947","3,632","3,866","2,908","3,009"
2021년06월_계_70~79세,"31,099","2,218","2,091","3,483","3,001","1,704","2,931","2,880","2,275","1,899","1,732","1,848","2,018","1,483","1,536"
2021년06월_계_80~89세,"14,604","1,035",937,"1,365","1,429",811,"1,374","1,376","1,221",958,731,960,920,729,758
2021년06월_계_90~99세,"1,896",133,112,141,161,117,167,218,174,135,107,111,108,87,125
2021년06월_계_100세 이상,76,8,5,2,5,10,4,4,8,3,3,6,6,10,2
2021년06월_남_총인구수,"227,380","16,399","15,566","17,615","16,932","9,748","21,302","23,301","20,510","16,628","22,758","13,241","12,962","9,500","10,918"
2021년06월_남_연령구간인구수,"227,380","16,399","15,566","17,615","16,932","9,748","21,302","23,301","20,510","16,628","22,758","13,241","12,962","9,500","10,918"
2021년06월_남_0~9세,"17,372",595,919,"1,148","1,215",724,"1,432","1,786","1,770","1,424","3,336",937,757,555,774
2021년06월_남_10~19세,"21,568",809,"1,122","1,422","1,709","1,047","1,960","2,628","1,851","2,155","2,609","1,274","1,057",804,"1,121"
2021년06월_남_20~29세,"32,800","3,087","2,615","2,276","2,311","1,194","3,146","3,521","2,943","2,409","2,555","1,968","1,842","1,355","1,578"
2021년06월_남_30~39세,"30,482","2,731","2,435","2,259","1,980","1,115","2,596","2,760","3,062","1,865","3,799","1,617","1,773","1,194","1,296"
2021년06월_남_40~49세,"37,105","2,450","2,447","2,977","2,661","1,665","3,220","3,635","3,346","2,977","4,629","2,019","1,922","1,417","1,740"
2021년06월_남_50~59세,"39,569","2,977","2,751","2,856","2,930","1,617","4,106","4,169","3,465","3,091","2,970","2,457","2,431","1,776","1,973"
2021년06월_남_60~69세,"28,872","2,344","1,971","2,459","2,175","1,379","2,992","3,003","2,584","1,509","1,837","1,788","1,929","1,462","1,440"
2021년06월_남_70~79세,"13,707",984,906,"1,585","1,294",708,"1,331","1,262","1,053",800,773,808,882,643,678
2021년06월_남_80~89세,"5,451",391,365,591,599,280,487,489,407,369,222,342,348,277,284
2021년06월_남_90~99세,437,28,32,41,57,18,32,48,27,28,27,30,20,15,34
2021년06월_남_100세 이상,17,3,3,1,1,1,0,0,2,1,1,1,1,2,0
2021년06월_여_총인구수,"234,143","15,718","15,786","18,522","18,012","10,637","22,050","24,672","20,783","16,979","24,064","13,818","13,010","9,139","10,953"
2021년06월_여_연령구간인구수,"234,143","15,718","15,786","18,522","18,012","10,637","22,050","24,672","20,783","16,979","24,064","13,818","13,010","9,139","10,953"
2021년06월_여_0~9세,"16,261",527,833,"1,058","1,140",714,"1,281","1,639","1,719","1,309","3,180",952,726,510,673
2021년06월_여_10~19세,"20,227",803,947,"1,393","1,674",985,"1,864","2,396","1,725","2,048","2,614","1,164",950,712,952
2021년06월_여_20~29세,"31,983","3,573","2,783","2,405","2,198","1,193","2,917","3,382","2,728","2,167","2,588","1,807","1,708","1,141","1,393"
2021년06월_여_30~39세,"29,257","2,204","2,171","2,209","1,954","1,113","2,450","2,713","2,906","1,901","4,258","1,597","1,522","1,005","1,254"
2021년06월_여_40~49세,"36,714","1,916","2,275","2,728","2,861","1,696","3,351","3,905","3,301","3,202","4,564","2,090","1,873","1,228","1,724"
2021년06월_여_50~59세,"40,859","2,477","2,756","3,054","3,046","1,804","4,435","4,706","3,643","2,937","3,200","2,620","2,493","1,725","1,963"
2021년06월_여_60~69세,"30,779","2,230","2,182","2,902","2,494","1,497","3,126","3,252","2,572","1,618","2,110","1,844","1,937","1,446","1,569"
2021년06월_여_70~79세,"17,392","1,234","1,185","1,898","1,707",996,"1,600","1,618","1,222","1,099",959,"1,040","1,136",840,858
2021년06월_여_80~89세,"9,153",644,572,774,830,531,887,887,814,589,509,618,572,452,474
2021년06월_여_90~99세,"1,459",105,80,100,104,99,135,170,147,107,80,81,88,72,91
2021년06월_여_100세 이상,59,5,2,1,4,9,4,4,6,2,2,5,5,8,2
