,부산광역시 중구,부산광역시 중구 중앙동,부산광역시 중구 동광동,부산광역시 중구 대청동,부산광역시 중구 보수동,부산광역시 중구 부평동,부산광역시 중구 광복동,부산광역시 중구 남포동,부산광역시 중구 영주제1동,부산광역시 중구 영주제2동
2020년06월_계_총인구수,"41,652","2,294","2,953","6,548","10,695","4,718","1,081","1,049","4,844","7,470"
2020년06월_계_연령구간인구수,"41,652","2,294","2,953","6,548","10,695","4,718","1,081","1,049","4,844","7,470"
2020년06월_계_0~9세,"1,405",39,86,216,400,119,20,16,198,311
2020년06월_계_10~19세,"2,142",81,103,410,606,211,38,29,219,445
2020년06월_계_20~29세,"5,569",502,319,921,"1,478",533,110,78,815,813
2020년06월_계_30~39세,"4,509",385,257,688,"1,128",493,115,101,662,680
2020년06월_계_40~49세,"5,560",267,368,932,"1,489",582,124,112,697,989
2020년06월_계_50~59세,"7,156",351,558,"1,112","1,828",825,193,210,716,"1,363"
2020년06월_계_60~69세,"7,768",370,585,"1,136","1,923",999,261,288,767,"1,439"
2020년06월_계_70~79세,"5,047",188,466,759,"1,232",614,135,156,500,997
2020년06월_계_80~89세,"2,055",82,166,297,529,271,64,47,226,373
2020년06월_계_90~99세,360,27,40,69,69,47,17,11,35,45
2020년06월_계_100세 이상,81,2,5,8,13,24,4,1,9,15
2020년06월_남_총인구수,"20,411","1,148","1,472","3,113","5,225","2,233",544,580,"2,453","3,643"
2020년06월_남_연령구간인구수,"20,411","1,148","1,472","3,113","5,225","2,233",544,580,"2,453","3,643"
2020년06월_남_0~9세,739,19,40,119,206,65,11,10,106,163
2020년06월_남_10~19세,"1,086",37,50,193,308,115,22,14,108,239
2020년06월_남_20~29세,"2,797",223,162,469,747,253,65,43,403,432
2020년06월_남_30~39세,"2,427",196,139,361,595,258,59,57,381,381
2020년06월_남_40~49세,"3,031",147,214,483,802,321,67,71,409,517
2020년06월_남_50~59세,"3,594",195,282,522,929,391,94,133,373,675
2020년06월_남_60~69세,"3,663",192,278,541,884,452,135,164,364,653
2020년06월_남_70~79세,"2,195",100,222,307,518,268,60,71,219,430
2020년06월_남_80~89세,761,32,71,103,213,92,24,11,78,137
2020년06월_남_90~99세,100,7,13,11,20,13,5,6,10,15
2020년06월_남_100세 이상,18,0,1,4,3,5,2,0,2,1
2020년06월_여_총인구수,"21,241","1,146","1,481","3,435","5,470","2,485",537,469,"2,391","3,827"
2020년06월_여_연령구간인구수,"21,241","1,146","1,481","3,435","5,470","2,485",537,469,"2,391","3,827"
2020년06월_여_0~9세,666,20,46,97,194,54,9,6,92,148
2020년06월_여_10~19세,"1,056",44,53,217,298,96,16,15,111,206
2020년06월_여_20~29세,"2,772",279,157,452,731,280,45,35,412,381
2020년06월_여_30~39세,"2,082",189,118,327,533,235,56,44,281,299
2020년06월_여_40~49세,"2,529",120,154,449,687,261,57,41,288,472
2020년06월_여_50~59세,"3,562",156,276,590,899,434,99,77,343,688
2020년06월_여_60~69세,"4,105",178,307,595,"1,039",547,126,124,403,786
2020년06월_여_70~79세,"2,852",88,244,452,714,346,75,85,281,567
2020년06월_여_80~89세,"1,294",50,95,194,316,179,40,36,148,236
2020년06월_여_90~99세,260,20,27,58,49,34,12,5,25,30
2020년06월_여_100세 이상,63,2,4,4,10,19,2,1,7,14
