카테고리,경기도 화성시,경기도 화성시 봉담읍,경기도 화성시 우정읍,경기도 화성시 향남읍,경기도 화성시 남양읍,경기도 화성시 매송면,경기도 화성시 비봉면,경기도 화성시 마도면,경기도 화성시 송산면,경기도 화성시 서신면,경기도 화성시 팔탄면,경기도 화성시 장안면,경기도 화성시 양감면,경기도 화성시 정남면,경기도 화성시 새솔동,경기도 화성시 진안동,경기도 화성시 병점1동,경기도 화성시 병점2동,경기도 화성시 반월동,경기도 화성시 기배동,경기도 화성시 화산동,경기도 화성시 동탄1동,경기도 화성시 동탄2동,경기도 화성시 동탄3동,경기도 화성시 동탄4동,경기도 화성시 동탄5동,경기도 화성시 동탄6동,경기도 화성시 동탄7동,경기도 화성시 동탄8동
2020년03월_계_총인구수,"827,603","78,600","17,314","83,614","39,409","7,337","5,831","6,922","10,951","7,071","9,883","10,245","4,023","11,292","19,315","43,748","28,239","24,500","32,227","13,844","23,410","50,457","35,980","41,688","53,487","38,257","29,793","76,511","23,655"
2020년03월_계_연령구간인구수,"827,603","78,600","17,314","83,614","39,409","7,337","5,831","6,922","10,951","7,071","9,883","10,245","4,023","11,292","19,315","43,748","28,239","24,500","32,227","13,844","23,410","50,457","35,980","41,688","53,487","38,257","29,793","76,511","23,655"
2020년03월_계_0~9세,"105,999","8,492",997,"10,893","4,079",340,252,275,492,187,312,426,117,458,"3,568","4,692","2,830","2,710","4,563","1,459","1,936","6,607","4,718","6,231","9,872","6,120","4,467","14,704","4,202"
2020년03월_계_10~19세,"94,023","9,727","1,475","9,779","3,413",507,337,455,821,315,472,633,171,822,"1,810","4,042","3,226","4,008","3,931","1,914","2,334","6,955","6,454","5,283","8,452","3,841","2,792","8,014","2,040"
2020년03월_계_20~29세,"98,748","9,560","1,780","9,857","5,249",852,603,738,"1,010",551,"1,006",998,387,"1,304","2,287","6,990","4,606","2,829","4,097","1,661","3,089","7,285","3,644","5,817","4,175","4,109","4,236","7,323","2,705"
2020년03월_계_30~39세,"150,282","11,226","1,694","15,921","6,831",690,496,745,894,547,"1,031",893,383,"1,147","4,509","9,280","4,578","3,341","6,048","1,649","3,138","9,724","4,599","8,636","10,069","9,458","7,614","18,641","6,500"
2020년03월_계_40~49세,"158,021","15,373","2,782","16,589","6,438","1,024",690,"1,021","1,466",836,"1,506","1,328",502,"1,687","3,512","7,745","5,183","5,462","5,908","2,806","4,035","10,380","8,787","8,327","13,005","7,356","5,339","14,914","4,020"
2020년03월_계_50~59세,"110,008","11,854","3,444","10,376","6,265","1,557","1,269","1,431","2,193","1,619","2,339","2,223",940,"2,395","2,354","5,660","3,960","3,132","4,412","2,168","4,162","6,001","4,491","3,930","4,985","3,843","3,073","7,618","2,314"
2020년03월_계_60~69세,"64,097","7,274","2,599","5,817","4,121","1,242","1,089","1,175","1,966","1,590","1,798","1,945",808,"1,839",933,"3,210","2,243","1,617","2,193","1,275","2,806","2,203","1,879","1,925","1,911","2,206","1,456","3,669","1,308"
2020년03월_계_70~79세,"30,612","3,507","1,605","2,851","1,954",724,647,686,"1,247",821,840,"1,094",429,"1,008",223,"1,456","1,139",935,730,638,"1,287",905,"1,009","1,115",718,956,553,"1,149",386
2020년03월_계_80~89세,"13,805","1,360",825,"1,359",925,355,377,346,729,522,502,636,257,552,103,586,420,414,291,245,554,349,352,378,255,322,224,412,155
2020년03월_계_90~99세,"1,900",214,108,162,131,43,68,46,125,74,72,62,28,71,16,85,53,52,52,27,61,46,44,45,45,43,38,64,25
2020년03월_계_100세 이상,108,13,5,10,3,3,3,4,8,9,5,7,1,9,0,2,1,0,2,2,8,2,3,1,0,3,1,3,0
2020년03월_남_총인구수,"428,761","39,835","9,393","44,588","21,438","3,860","3,272","4,114","5,893","3,929","5,958","5,850","2,431","6,516","9,754","23,418","14,441","11,941","16,301","7,110","12,314","25,840","17,709","21,320","26,610","19,098","15,443","38,430","11,955"
2020년03월_남_연령구간인구수,"428,761","39,835","9,393","44,588","21,438","3,860","3,272","4,114","5,893","3,929","5,958","5,850","2,431","6,516","9,754","23,418","14,441","11,941","16,301","7,110","12,314","25,840","17,709","21,320","26,610","19,098","15,443","38,430","11,955"
2020년03월_남_0~9세,"54,312","4,228",520,"5,676","2,110",175,140,149,258,96,172,242,63,245,"1,775","2,404","1,481","1,370","2,312",765,999,"3,369","2,409","3,183","5,031","3,164","2,301","7,543","2,132"
2020년03월_남_10~19세,"47,998","4,846",753,"5,015","1,785",271,180,256,448,167,250,346,93,431,916,"2,034","1,648","2,021","2,000","1,006","1,240","3,561","3,270","2,746","4,240","1,941","1,473","4,053","1,008"
2020년03월_남_20~29세,"53,069","5,099","1,087","5,404","3,063",472,358,476,595,355,663,606,253,820,"1,180","3,944","2,518","1,405","2,188",901,"1,774","3,860","1,829","3,141","2,058","1,945","2,100","3,635","1,340"
2020년03월_남_30~39세,"77,887","5,624","1,008","8,848","3,999",391,307,510,529,338,697,574,262,754,"2,265","5,274","2,401","1,607","2,989",819,"1,702","4,836","2,069","4,456","4,425","4,723","4,052","9,081","3,347"
