,전라남도 장흥군,전라남도 장흥군 장흥읍,전라남도 장흥군 관산읍,전라남도 장흥군 대덕읍,전라남도 장흥군 용산면,전라남도 장흥군 안양면,전라남도 장흥군 장동면,전라남도 장흥군 장평면,전라남도 장흥군 유치면,전라남도 장흥군 부산면,전라남도 장흥군 회진면
2021년01월_계_총인구수,"37,689","15,422","4,971","3,395","2,337","2,841","1,262","2,102","1,080","1,455","2,824"
2021년01월_계_연령구간인구수,"37,689","15,422","4,971","3,395","2,337","2,841","1,262","2,102","1,080","1,455","2,824"
2021년01월_계_0~9세,"1,993","1,311",155,137,79,77,36,37,15,42,104
2021년01월_계_10~19세,"2,784","1,593",297,206,114,129,53,106,34,79,173
2021년01월_계_20~29세,"3,082","1,604",328,218,135,208,70,138,63,97,221
2021년01월_계_30~39세,"2,752","1,552",296,188,140,161,68,93,44,58,152
2021년01월_계_40~49세,"4,111","2,124",419,331,203,267,100,155,94,141,277
2021년01월_계_50~59세,"6,309","2,490",852,573,343,494,200,393,259,242,463
2021년01월_계_60~69세,"6,638","2,198","1,001",678,500,569,269,375,245,242,561
2021년01월_계_70~79세,"5,451","1,475",890,576,418,482,215,406,179,261,549
2021년01월_계_80~89세,"3,906",898,637,422,336,373,222,361,123,238,296
2021년01월_계_90~99세,639,167,94,61,66,80,27,38,23,55,28
2021년01월_계_100세 이상,24,10,2,5,3,1,2,0,1,0,0
2021년01월_남_총인구수,"18,323","7,517","2,414","1,634","1,129","1,401",596,"1,005",541,715,"1,371"
2021년01월_남_연령구간인구수,"18,323","7,517","2,414","1,634","1,129","1,401",596,"1,005",541,715,"1,371"
2021년01월_남_0~9세,"1,020",659,88,54,43,50,18,18,5,26,59
2021년01월_남_10~19세,"1,454",816,170,105,62,76,22,50,21,39,93
2021년01월_남_20~29세,"1,743",893,184,122,82,119,32,83,36,57,135
2021년01월_남_30~39세,"1,456",765,163,103,88,101,36,53,31,31,85
2021년01월_남_40~49세,"2,270","1,061",245,211,124,156,66,107,55,82,163
2021년01월_남_50~59세,"3,421","1,311",456,316,188,276,116,223,149,150,236
2021년01월_남_60~69세,"3,319","1,061",512,337,268,298,137,196,126,129,255
2021년01월_남_70~79세,"2,298",631,362,241,169,217,98,160,72,106,242
2021년01월_남_80~89세,"1,211",289,213,128,95,91,65,107,39,85,99
2021년01월_남_90~99세,127,30,21,15,10,17,5,8,7,10,4
2021년01월_남_100세 이상,4,1,0,2,0,0,1,0,0,0,0
2021년01월_여_총인구수,"19,366","7,905","2,557","1,761","1,208","1,440",666,"1,097",539,740,"1,453"
2021년01월_여_연령구간인구수,"19,366","7,905","2,557","1,761","1,208","1,440",666,"1,097",539,740,"1,453"
2021년01월_여_0~9세,973,652,67,83,36,27,18,19,10,16,45
2021년01월_여_10~19세,"1,330",777,127,101,52,53,31,56,13,40,80
2021년01월_여_20~29세,"1,339",711,144,96,53,89,38,55,27,40,86
2021년01월_여_30~39세,"1,296",787,133,85,52,60,32,40,13,27,67
2021년01월_여_40~49세,"1,841","1,063",174,120,79,111,34,48,39,59,114
2021년01월_여_50~59세,"2,888","1,179",396,257,155,218,84,170,110,92,227
2021년01월_여_60~69세,"3,319","1,137",489,341,232,271,132,179,119,113,306
2021년01월_여_70~79세,"3,153",844,528,335,249,265,117,246,107,155,307
2021년01월_여_80~89세,"2,695",609,424,294,241,282,157,254,84,153,197
2021년01월_여_90~99세,512,137,73,46,56,63,22,30,16,45,24
2021년01월_여_100세 이상,20,9,2,3,3,1,1,0,1,0,0
