카테고리,인천광역시 미추홀구,인천광역시 미추홀구 숭의2동,인천광역시 미추홀구 숭의1.3동,인천광역시 미추홀구 숭의4동,인천광역시 미추홀구 용현1.4동,인천광역시 미추홀구 용현2동,인천광역시 미추홀구 용현3동,인천광역시 미추홀구 용현5동,인천광역시 미추홀구 학익1동,인천광역시 미추홀구 학익2동,인천광역시 미추홀구 도화1동,인천광역시 미추홀구 도화2.3동,인천광역시 미추홀구 주안1동,인천광역시 미추홀구 주안2동,인천광역시 미추홀구 주안3동,인천광역시 미추홀구 주안4동,인천광역시 미추홀구 주안5동,인천광역시 미추홀구 주안6동,인천광역시 미추홀구 주안7동,인천광역시 미추홀구 주안8동,인천광역시 미추홀구 관교동,인천광역시 미추홀구 문학동
2021년01월_계_총인구수,"404,843","14,725","14,433","16,567","17,082","17,916","7,568","48,217","31,117","18,960","23,258","31,408","20,667","16,682","8,985","13,954","17,422","22,333","12,906","21,388","15,459","13,796"
2021년01월_계_연령구간인구수,"404,843","14,725","14,433","16,567","17,082","17,916","7,568","48,217","31,117","18,960","23,258","31,408","20,667","16,682","8,985","13,954","17,422","22,333","12,906","21,388","15,459","13,796"
2021년01월_계_0~9세,"27,100","1,102","1,081","1,026",625,"1,315",289,"4,162","2,150","1,125","1,642","3,003","1,278",883,446,595,812,"2,001",578,"1,260","1,020",707
2021년01월_계_10~19세,"31,640",936,844,"1,320",918,"1,315",367,"4,873","3,445","1,762","1,562","2,456",917,"1,077",689,870,"1,142","1,777",957,"1,915","1,318","1,180"
2021년01월_계_20~29세,"57,166","1,928","2,127","2,135","3,894","2,655",865,"7,018","4,110","2,418","3,276","3,786","4,269","2,108","1,204","1,683","2,467","2,854","1,545","2,875","2,061","1,888"
2021년01월_계_30~39세,"55,783","2,221","2,404","2,181","1,785","2,810",845,"6,507","3,219","2,171","3,552","5,566","4,328","2,072",997,"1,531","2,421","3,462","1,358","2,519","1,954","1,880"
2021년01월_계_40~49세,"63,539","2,192","2,073","2,519","2,079","2,591","1,014","8,411","5,454","2,941","3,583","5,066","3,147","2,344","1,372","1,891","2,599","3,864","1,949","3,348","2,283","2,819"
2021년01월_계_50~59세,"67,127","2,427","2,324","2,721","2,594","2,771","1,282","7,855","5,548","3,385","3,789","4,657","3,104","2,861","1,541","2,371","3,089","3,321","2,329","3,910","2,734","2,514"
2021년01월_계_60~69세,"56,037","2,074","1,893","2,415","2,562","2,358","1,440","5,395","4,096","2,725","3,139","3,970","2,213","2,837","1,425","2,563","2,675","2,849","2,238","3,154","2,394","1,622"
2021년01월_계_70~79세,"31,351","1,222","1,059","1,521","1,801","1,470",951,"2,698","2,146","1,608","1,831","1,990",954,"1,675",912,"1,676","1,459","1,453","1,305","1,663","1,145",812
2021년01월_계_80~89세,"12,912",541,516,629,691,526,435,"1,130",821,702,754,791,392,704,345,667,650,641,547,657,460,313
2021년01월_계_90~99세,"2,011",78,96,95,119,92,67,163,121,112,121,112,62,109,48,96,101,103,91,83,84,58
2021년01월_계_100세 이상,177,4,16,5,14,13,13,5,7,11,9,11,3,12,6,11,7,8,9,4,6,3
2021년01월_남_총인구수,"203,854","7,479","7,238","8,308","9,188","9,046","3,966","23,963","15,467","9,312","11,599","15,953","10,786","8,457","4,551","6,969","8,714","11,108","6,291","10,460","7,588","7,411"
2021년01월_남_연령구간인구수,"203,854","7,479","7,238","8,308","9,188","9,046","3,966","23,963","15,467","9,312","11,599","15,953","10,786","8,457","4,551","6,969","8,714","11,108","6,291","10,460","7,588","7,411"
2021년01월_남_0~9세,"13,864",563,570,516,323,697,142,"2,155","1,064",548,859,"1,504",676,442,238,306,400,"1,017",286,640,563,355
2021년01월_남_10~19세,"16,306",485,429,717,465,722,183,"2,505","1,829",895,759,"1,268",459,578,356,422,570,914,518,954,665,613
2021년01월_남_20~29세,"30,097","1,025","1,048","1,110","2,463","1,329",525,"3,571","2,169","1,312","1,664","1,955","2,109","1,158",649,918,"1,264","1,425",828,"1,526","1,061",988
2021년01월_남_30~39세,"30,009","1,222","1,307","1,180","1,049","1,523",496,"3,290","1,643","1,137","1,873","2,994","2,444","1,115",560,845,"1,383","1,821",732,"1,341",981,"1,073"
2021년01월_남_40~49세,"33,630","1,218","1,137","1,301","1,206","1,356",610,"4,285","2,669","1,467","1,932","2,754","1,783","1,288",727,"1,036","1,407","2,044",998,"1,679","1,141","1,592"
2021년01월_남_50~59세,"33,723","1,235","1,157","1,383","1,349","1,400",705,"3,896","2,789","1,670","1,892","2,297","1,588","1,475",791,"1,227","1,534","1,650","1,104","1,845","1,274","1,462"
2021년01월_남_60~69세,"26,828","1,001",935,"1,158","1,207","1,119",685,"2,607","1,991","1,285","1,478","1,971","1,107","1,336",701,"1,168","1,271","1,295","1,039","1,474","1,160",840
2021년01월_남_70~79세,"14,198",527,466,703,810,693,430,"1,221",978,730,822,897,456,784,395,763,643,667,550,741,559,363
2021년01월_남_80~89세,"4,685",180,175,208,284,182,164,400,304,239,285,290,151,254,113,260,217,254,208,236,163,118
2021년01월_남_90~99세,467,23,11,32,29,21,23,32,27,24,34,19,11,25,19,21,23,18,25,24,20,6
2021년01월_남_100세 이상,47,0,3,0,3,4,3,1,4,5,1,4,2,2,2,3,2,3,3,0,1,1
2021년01월_여_총인구수,"200,989","7,246","7,195","8,259","7,894","8,870","3,602","24,254","15,650","9,648","11,659","15,455","9,881","8,225","4,434","6,985","8,708","11,225","6,615","10,928","7,871","6,385"
2021년01월_여_연령구간인구수,"200,989","7,246","7,195","8,259","7,894","8,870","3,602","24,254","15,650","9,648","11,659","15,455","9,881","8,225","4,434","6,985","8,708","11,225","6,615","10,928","7,871","6,385"
2021년01월_여_0~9세,"13,236",539,511,510,302,618,147,"2,007","1,086",577,783,"1,499",602,441,208,289,412,984,292,620,457,352
2021년01월_여_10~19세,"15,334",451,415,603,453,593,184,"2,368","1,616",867,803,"1,188",458,499,333,448,572,863,439,961,653,567
