,전라북도 무주군,전라북도 무주군 무주읍,전라북도 무주군 무풍면,전라북도 무주군 설천면,전라북도 무주군 적상면,전라북도 무주군 안성면,전라북도 무주군 부남면
2021년10월_계_총인구수,"23,769","9,419","2,193","3,993","2,582","4,184","1,398"
2021년10월_계_연령구간인구수,"23,769","9,419","2,193","3,993","2,582","4,184","1,398"
2021년10월_계_0~9세,"1,080",661,50,154,61,118,36
2021년10월_계_10~19세,"1,792","1,007",102,275,113,241,54
2021년10월_계_20~29세,"1,684",850,104,322,137,215,56
2021년10월_계_30~39세,"1,612",854,123,237,107,224,67
2021년10월_계_40~49세,"2,742","1,412",181,463,224,363,99
2021년10월_계_50~59세,"4,141","1,529",431,783,433,738,227
2021년10월_계_60~69세,"4,624","1,340",538,807,590,980,369
2021년10월_계_70~79세,"3,298",983,348,543,467,686,271
2021년10월_계_80~89세,"2,437",677,276,362,396,542,184
2021년10월_계_90~99세,337,98,39,45,52,69,34
2021년10월_계_100세 이상,22,8,1,2,2,8,1
2021년10월_남_총인구수,"11,838","4,699","1,092","2,011","1,267","2,068",701
2021년10월_남_연령구간인구수,"11,838","4,699","1,092","2,011","1,267","2,068",701
2021년10월_남_0~9세,584,362,30,88,27,61,16
2021년10월_남_10~19세,902,495,59,153,53,116,26
2021년10월_남_20~29세,933,463,60,162,83,130,35
2021년10월_남_30~39세,895,449,68,139,67,132,40
2021년10월_남_40~49세,"1,519",735,114,256,128,223,63
2021년10월_남_50~59세,"2,285",845,218,441,245,403,133
2021년10월_남_60~69세,"2,401",669,280,421,321,512,198
2021년10월_남_70~79세,"1,387",423,159,214,182,290,119
2021년10월_남_80~89세,853,239,93,128,147,182,64
2021년10월_남_90~99세,75,19,10,9,14,16,7
2021년10월_남_100세 이상,4,0,1,0,0,3,0
2021년10월_여_총인구수,"11,931","4,720","1,101","1,982","1,315","2,116",697
2021년10월_여_연령구간인구수,"11,931","4,720","1,101","1,982","1,315","2,116",697
2021년10월_여_0~9세,496,299,20,66,34,57,20
2021년10월_여_10~19세,890,512,43,122,60,125,28
2021년10월_여_20~29세,751,387,44,160,54,85,21
2021년10월_여_30~39세,717,405,55,98,40,92,27
2021년10월_여_40~49세,"1,223",677,67,207,96,140,36
2021년10월_여_50~59세,"1,856",684,213,342,188,335,94
2021년10월_여_60~69세,"2,223",671,258,386,269,468,171
2021년10월_여_70~79세,"1,911",560,189,329,285,396,152
2021년10월_여_80~89세,"1,584",438,183,234,249,360,120
2021년10월_여_90~99세,262,79,29,36,38,53,27
2021년10월_여_100세 이상,18,8,0,2,2,5,1
