,경기도 동두천시,경기도 동두천시 생연1동,경기도 동두천시 생연2동,경기도 동두천시 중앙동,경기도 동두천시 보산동,경기도 동두천시 불현동,경기도 동두천시 송내동,경기도 동두천시 소요동,경기도 동두천시 상패동
2020년08월_계_총인구수,"93,968","6,908","11,407","5,170","3,128","27,633","25,663","8,698","5,361"
2020년08월_계_연령구간인구수,"93,968","6,908","11,407","5,170","3,128","27,633","25,663","8,698","5,361"
2020년08월_계_0~9세,"6,477",485,748,147,167,"2,024","2,290",384,232
2020년08월_계_10~19세,"8,660",560,"1,187",223,198,"2,697","3,002",509,284
2020년08월_계_20~29세,"11,218",764,"1,264",502,340,"3,509","3,334",908,597
2020년08월_계_30~39세,"10,250",773,"1,107",452,299,"3,093","3,150",786,590
2020년08월_계_40~49세,"14,429",956,"1,829",603,402,"4,242","4,619","1,145",633
2020년08월_계_50~59세,"16,366","1,236","1,947","1,075",578,"4,885","4,003","1,616","1,026"
2020년08월_계_60~69세,"12,896","1,078","1,527","1,060",533,"3,651","2,477","1,617",953
2020년08월_계_70~79세,"8,784",660,"1,147",666,406,"2,310","1,830","1,108",657
2020년08월_계_80~89세,"4,211",353,585,342,178,"1,068",835,528,322
2020년08월_계_90~99세,595,40,59,76,25,142,119,76,58
2020년08월_계_100세 이상,82,3,7,24,2,12,4,21,9
2020년08월_남_총인구수,"46,912","3,429","5,626","2,684","1,473","13,663","12,667","4,521","2,849"
2020년08월_남_연령구간인구수,"46,912","3,429","5,626","2,684","1,473","13,663","12,667","4,521","2,849"
2020년08월_남_0~9세,"3,355",256,412,84,81,"1,008","1,185",196,133
2020년08월_남_10~19세,"4,361",261,607,118,86,"1,361","1,507",279,142
2020년08월_남_20~29세,"6,100",426,707,272,200,"1,891","1,731",519,354
2020년08월_남_30~39세,"5,303",395,543,267,153,"1,578","1,601",426,340
2020년08월_남_40~49세,"7,435",511,935,347,206,"2,108","2,306",656,366
2020년08월_남_50~59세,"8,641",635,"1,020",617,290,"2,519","2,095",882,583
2020년08월_남_60~69세,"6,289",529,712,554,254,"1,800","1,130",813,497
2020년08월_남_70~79세,"3,686",272,446,284,148,961,748,524,303
2020년08월_남_80~89세,"1,553",132,228,106,49,395,333,198,112
2020년08월_남_90~99세,170,12,14,29,6,39,30,24,16
2020년08월_남_100세 이상,19,0,2,6,0,3,1,4,3
2020년08월_여_총인구수,"47,056","3,479","5,781","2,486","1,655","13,970","12,996","4,177","2,512"
2020년08월_여_연령구간인구수,"47,056","3,479","5,781","2,486","1,655","13,970","12,996","4,177","2,512"
2020년08월_여_0~9세,"3,122",229,336,63,86,"1,016","1,105",188,99
2020년08월_여_10~19세,"4,299",299,580,105,112,"1,336","1,495",230,142
2020년08월_여_20~29세,"5,118",338,557,230,140,"1,618","1,603",389,243
2020년08월_여_30~39세,"4,947",378,564,185,146,"1,515","1,549",360,250
2020년08월_여_40~49세,"6,994",445,894,256,196,"2,134","2,313",489,267
2020년08월_여_50~59세,"7,725",601,927,458,288,"2,366","1,908",734,443
2020년08월_여_60~69세,"6,607",549,815,506,279,"1,851","1,347",804,456
2020년08월_여_70~79세,"5,098",388,701,382,258,"1,349","1,082",584,354
2020년08월_여_80~89세,"2,658",221,357,236,129,673,502,330,210
2020년08월_여_90~99세,425,28,45,47,19,103,89,52,42
2020년08월_여_100세 이상,63,3,5,18,2,9,3,17,6
