카테고리,경상북도 의성군,경상북도 의성군 의성읍,경상북도 의성군 단촌면,경상북도 의성군 점곡면,경상북도 의성군 옥산면,경상북도 의성군 사곡면,경상북도 의성군 춘산면,경상북도 의성군 가음면,경상북도 의성군 금성면,경상북도 의성군 봉양면,경상북도 의성군 비안면,경상북도 의성군 구천면,경상북도 의성군 단밀면,경상북도 의성군 단북면,경상북도 의성군 안계면,경상북도 의성군 다인면,경상북도 의성군 신평면,경상북도 의성군 안평면,경상북도 의성군 안사면
2021년09월_계_총인구수,"50,831","13,045","1,919","1,605","1,744","1,558","1,454","1,467","4,198","3,879","2,557","1,766","1,716","1,793","4,567","3,772",828,"2,141",822
2021년09월_계_연령구간인구수,"50,831","13,045","1,919","1,605","1,744","1,558","1,454","1,467","4,198","3,879","2,557","1,766","1,716","1,793","4,567","3,772",828,"2,141",822
2021년09월_계_0~9세,"1,836",752,29,39,26,19,41,35,124,145,89,46,37,42,237,90,20,51,14
2021년09월_계_10~19세,"2,197","1,006",56,34,50,35,49,39,136,123,45,45,57,48,242,123,13,77,19
2021년09월_계_20~29세,"2,886","1,058",80,66,77,57,49,50,207,249,103,72,83,100,359,165,21,63,27
2021년09월_계_30~39세,"3,035","1,107",79,71,61,43,69,69,213,254,132,93,91,82,347,175,26,83,40
2021년09월_계_40~49세,"4,485","1,709",142,96,115,105,67,90,339,337,179,106,118,115,479,261,43,133,51
2021년09월_계_50~59세,"8,296","2,110",305,245,335,272,242,237,633,671,412,291,283,307,749,610,150,325,119
2021년09월_계_60~69세,"12,105","2,554",553,438,503,434,451,426,"1,060",965,668,463,394,431,860,916,193,588,208
2021년09월_계_70~79세,"8,858","1,704",353,321,337,302,273,277,835,636,503,343,340,349,728,779,183,424,171
2021년09월_계_80~89세,"6,274",924,293,260,213,246,183,213,556,427,377,273,285,290,489,584,157,351,153
2021년09월_계_90~99세,832,120,28,35,26,45,29,28,90,69,47,34,27,28,74,66,22,45,19
2021년09월_계_100세 이상,27,1,1,0,1,0,1,3,5,3,2,0,1,1,3,3,0,1,1
2021년09월_남_총인구수,"24,859","6,376",952,787,871,751,739,734,"2,049","1,892","1,249",880,849,865,"2,169","1,838",396,"1,070",392
2021년09월_남_연령구간인구수,"24,859","6,376",952,787,871,751,739,734,"2,049","1,892","1,249",880,849,865,"2,169","1,838",396,"1,070",392
2021년09월_남_0~9세,969,405,18,23,18,11,17,22,72,68,41,19,21,25,115,49,8,27,10
2021년09월_남_10~19세,"1,149",530,33,18,23,22,29,17,74,69,22,27,30,24,107,66,8,40,10
2021년09월_남_20~29세,"1,672",600,51,42,41,28,37,28,116,134,65,42,55,61,208,97,10,38,19
2021년09월_남_30~39세,"1,689",561,52,48,43,26,41,36,123,137,79,56,53,46,194,113,14,44,23
2021년09월_남_40~49세,"2,612",887,96,66,75,74,36,55,196,209,120,75,78,76,251,166,22,96,34
2021년09월_남_50~59세,"4,516","1,110",179,131,183,145,121,127,346,377,231,163,155,184,393,324,92,188,67
2021년09월_남_60~69세,"6,117","1,210",282,224,264,219,256,243,543,463,331,248,195,227,427,458,107,306,114
2021년09월_남_70~79세,"3,882",746,140,142,144,142,127,122,378,282,232,152,148,136,310,350,66,198,67
2021년09월_남_80~89세,"2,066",302,96,87,73,74,68,79,174,135,119,92,109,79,153,193,62,124,47
2021년09월_남_90~99세,184,25,5,6,7,10,7,5,26,18,9,6,5,7,11,20,7,9,1
2021년09월_남_100세 이상,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0
2021년09월_여_총인구수,"25,972","6,669",967,818,873,807,715,733,"2,149","1,987","1,308",886,867,928,"2,398","1,934",432,"1,071",430
2021년09월_여_연령구간인구수,"25,972","6,669",967,818,873,807,715,733,"2,149","1,987","1,308",886,867,928,"2,398","1,934",432,"1,071",430
2021년09월_여_0~9세,867,347,11,16,8,8,24,13,52,77,48,27,16,17,122,41,12,24,4
2021년09월_여_10~19세,"1,048",476,23,16,27,13,20,22,62,54,23,18,27,24,135,57,5,37,9
2021년09월_여_20~29세,"1,214",458,29,24,36,29,12,22,91,115,38,30,28,39,151,68,11,25,8
2021년09월_여_30~39세,"1,346",546,27,23,18,17,28,33,90,117,53,37,38,36,153,62,12,39,17
2021년09월_여_40~49세,"1,873",822,46,30,40,31,31,35,143,128,59,31,40,39,228,95,21,37,17
2021년09월_여_50~59세,"3,780","1,000",126,114,152,127,121,110,287,294,181,128,128,123,356,286,58,137,52
2021년09월_여_60~69세,"5,988","1,344",271,214,239,215,195,183,517,502,337,215,199,204,433,458,86,282,94
2021년09월_여_70~79세,"4,976",958,213,179,193,160,146,155,457,354,271,191,192,213,418,429,117,226,104
2021년09월_여_80~89세,"4,208",622,197,173,140,172,115,134,382,292,258,181,176,211,336,391,95,227,106
2021년09월_여_90~99세,648,95,23,29,19,35,22,23,64,51,38,28,22,21,63,46,15,36,18
2021년09월_여_100세 이상,24,1,1,0,1,0,1,3,4,3,2,0,1,1,3,1,0,1,1
