,세종특별자치시 세종특별자치시,세종특별자치시  조치원읍,세종특별자치시  연기면,세종특별자치시  연동면,세종특별자치시  부강면,세종특별자치시  금남면,세종특별자치시  장군면,세종특별자치시  연서면,세종특별자치시  전의면,세종특별자치시  전동면,세종특별자치시  소정면,세종특별자치시  한솔동,세종특별자치시  새롬동,세종특별자치시  도담동,세종특별자치시  아름동,세종특별자치시  종촌동,세종특별자치시  고운동,세종특별자치시  소담동,세종특별자치시  보람동,세종특별자치시  대평동,세종특별자치시  다정동
2020년09월_계_총인구수,"348,014","43,019","2,674","3,164","6,203","8,795","6,640","7,482","5,691","3,639","2,447","19,485","29,480","32,874","23,946","29,864","34,614","31,249","19,598","10,967","26,183"
2020년09월_계_연령구간인구수,"348,014","43,019","2,674","3,164","6,203","8,795","6,640","7,482","5,691","3,639","2,447","19,485","29,480","32,874","23,946","29,864","34,614","31,249","19,598","10,967","26,183"
2020년09월_계_0~9세,"46,796","3,328",87,97,347,304,219,336,200,84,104,"2,733","4,369","4,347","3,784","4,855","6,219","5,607","3,275","1,657","4,844"
2020년09월_계_10~19세,"41,550","4,213",105,127,374,409,311,431,398,129,186,"3,390","3,791","4,577","4,295","4,163","4,688","3,211","2,502","1,035","3,215"
2020년09월_계_20~29세,"36,347","6,302",354,302,729,862,963,839,562,290,272,"1,708","3,675","3,882","1,759","2,610","2,639","3,054","1,913","1,340","2,292"
2020년09월_계_30~39세,"60,703","5,426",328,280,695,873,828,711,511,269,185,"2,689","6,130","5,945","3,627","5,693","6,865","7,482","3,852","2,330","5,984"
2020년09월_계_40~49세,"67,138","6,929",317,333,849,997,934,929,716,362,345,"4,565","6,000","7,018","6,064","6,367","7,458","5,868","3,937","1,847","5,303"
2020년09월_계_50~59세,"44,105","6,718",533,552,"1,138","1,639","1,281","1,291","1,079",715,455,"2,520","3,173","3,862","2,603","3,146","3,424","3,490","2,275","1,615","2,596"
2020년09월_계_60~69세,"29,074","5,266",502,683,998,"1,769","1,087","1,387",977,877,405,"1,157","1,581","1,911","1,159","1,867","2,254","1,758","1,243",787,"1,406"
2020년09월_계_70~79세,"14,087","3,101",263,420,628,"1,160",584,931,679,526,275,490,524,859,455,798,802,558,426,227,381
2020년09월_계_80~89세,"6,987","1,489",160,305,400,670,378,548,484,329,197,193,193,387,162,316,220,173,142,105,136
2020년09월_계_90~99세,"1,172",232,23,61,43,108,53,76,79,51,22,37,44,86,38,49,45,44,33,23,25
2020년09월_계_100세 이상,55,15,2,4,2,4,2,3,6,7,1,3,0,0,0,0,0,4,0,1,1
2020년09월_남_총인구수,"173,613","22,199","1,505","1,641","3,425","4,638","3,780","4,056","3,011","1,978","1,293","9,594","14,199","15,876","11,862","14,494","16,888","15,393","9,607","5,448","12,726"
2020년09월_남_연령구간인구수,"173,613","22,199","1,505","1,641","3,425","4,638","3,780","4,056","3,011","1,978","1,293","9,594","14,199","15,876","11,862","14,494","16,888","15,393","9,607","5,448","12,726"
2020년09월_남_0~9세,"23,974","1,724",41,47,176,144,112,157,103,39,55,"1,407","2,247","2,272","1,969","2,469","3,165","2,862","1,668",872,"2,445"
2020년09월_남_10~19세,"20,837","2,143",56,65,209,210,165,229,225,68,91,"1,715","1,825","2,286","2,219","2,070","2,375","1,568","1,250",512,"1,556"
2020년09월_남_20~29세,"18,445","3,550",208,184,483,507,592,525,325,169,159,873,"1,609","1,714",899,"1,224","1,266","1,460",927,687,"1,084"
2020년09월_남_30~39세,"29,591","2,948",221,156,434,533,558,452,309,171,112,"1,222","2,886","2,782","1,600","2,645","3,196","3,610","1,776","1,159","2,821"
2020년09월_남_40~49세,"34,313","3,688",209,207,520,612,624,567,433,228,207,"2,211","2,982","3,416","2,942","3,208","3,744","2,967","1,993",902,"2,653"
2020년09월_남_50~59세,"22,943","3,551",315,310,671,910,717,751,597,425,260,"1,311","1,582","2,011","1,400","1,551","1,623","1,733","1,152",798,"1,275"
2020년09월_남_60~69세,"14,424","2,607",282,370,500,931,584,724,529,489,219,571,760,900,555,845,"1,049",882,586,376,665
2020년09월_남_70~79세,"6,458","1,357",119,193,269,546,275,421,294,263,119,217,249,375,217,375,381,266,214,113,195
2020년09월_남_80~89세,"2,360",563,53,94,148,222,138,212,182,116,67,54,51,102,51,94,81,37,36,27,32
2020년09월_남_90~99세,256,65,1,14,14,23,15,18,13,8,3,12,8,18,10,13,8,7,5,1,0
2020년09월_남_100세 이상,12,3,0,1,1,0,0,0,1,2,1,1,0,0,0,0,0,1,0,1,0
