카테고리,경상북도 구미시,경상북도 구미시 선산읍,경상북도 구미시 고아읍,경상북도 구미시 산동읍,경상북도 구미시 무을면,경상북도 구미시 옥성면,경상북도 구미시 도개면,경상북도 구미시 해평면,경상북도 구미시 장천면,경상북도 구미시 송정동,경상북도 구미시 원평1동,경상북도 구미시 원평2동,경상북도 구미시 도량동,경상북도 구미시 지산동,경상북도 구미시 선주원남동,경상북도 구미시 형곡1동,경상북도 구미시 형곡2동,경상북도 구미시 신평1동,경상북도 구미시 신평2동,경상북도 구미시 비산동,경상북도 구미시 광평동,경상북도 구미시 상모사곡동,경상북도 구미시 임오동,경상북도 구미시 인동동,경상북도 구미시 진미동,경상북도 구미시 양포동,경상북도 구미시 공단동
2021년02월_계_총인구수,"415,409","14,882","37,044","26,626","1,867","1,715","2,229","4,096","3,167","24,344","3,769","3,159","29,715","2,221","39,287","14,603","16,914","3,338","3,271","13,293","4,348","31,074","18,874","48,377","16,309","46,463","4,424"
2021년02월_계_연령구간인구수,"415,409","14,882","37,044","26,626","1,867","1,715","2,229","4,096","3,167","24,344","3,769","3,159","29,715","2,221","39,287","14,603","16,914","3,338","3,271","13,293","4,348","31,074","18,874","48,377","16,309","46,463","4,424"
2021년02월_계_0~9세,"40,774",882,"3,441","5,617",41,15,46,67,70,"1,775",67,81,"2,331",73,"3,801","1,073",837,149,294,"1,695",323,"2,825","2,177","4,729",927,"6,839",599
2021년02월_계_10~19세,"44,689","1,128","3,911","2,263",59,55,116,149,209,"2,461",93,141,"3,448",125,"5,035","1,630","1,935",171,224,"1,116",344,"3,767","2,501","5,963","1,077","6,553",215
2021년02월_계_20~29세,"56,213","1,432","4,622","2,516",106,101,150,287,244,"3,420",487,320,"3,921",218,"5,173","1,972","2,740",606,427,"1,851",641,"4,706","2,387","7,163","4,230","5,821",672
2021년02월_계_30~39세,"65,024","1,274","4,493","8,032",84,80,102,214,181,"3,378",515,260,"3,493",156,"5,015","1,653","1,606",506,550,"2,844",687,"4,366","2,968","8,533","4,269","8,658","1,107"
2021년02월_계_40~49세,"73,049","1,955","5,775","4,393",132,143,192,420,395,"3,877",704,347,"4,967",281,"7,415","2,415","2,713",454,439,"2,180",754,"6,103","3,857","9,514","2,742","10,169",713
2021년02월_계_50~59세,"69,861","2,939","7,774","2,071",365,329,402,820,619,"4,467",848,627,"6,009",487,"7,174","3,008","3,870",637,636,"2,215",802,"6,008","3,134","6,994","1,723","5,264",639
2021년02월_계_60~69세,"40,336","2,724","4,278","1,018",483,427,512,925,638,"3,357",646,752,"3,700",519,"3,834","1,879","2,258",479,415,976,485,"2,147","1,233","3,471",871,"1,939",370
2021년02월_계_70~79세,"16,073","1,444","1,624",397,300,278,379,658,466,"1,165",290,431,"1,215",236,"1,246",668,681,241,180,291,224,751,404,"1,331",322,767,84
2021년02월_계_80~89세,"8,172",946,960,278,256,250,289,490,305,400,96,180,565,110,519,277,239,83,94,110,78,343,187,591,118,390,18
2021년02월_계_90~99세,"1,166",153,159,39,41,36,39,62,38,40,20,19,65,15,73,28,32,12,9,15,10,56,25,86,28,60,6
2021년02월_계_100세 이상,52,5,7,2,0,1,2,4,2,4,3,1,1,1,2,0,3,0,3,0,0,2,1,2,2,3,1
2021년02월_남_총인구수,"213,328","7,350","18,776","13,899",927,881,"1,149","2,129","1,621","12,023","2,095","1,643","14,560","1,149","19,960","7,226","8,519","1,860","1,776","6,987","2,335","16,180","9,837","25,002","8,812","24,187","2,445"
2021년02월_남_연령구간인구수,"213,328","7,350","18,776","13,899",927,881,"1,149","2,129","1,621","12,023","2,095","1,643","14,560","1,149","19,960","7,226","8,519","1,860","1,776","6,987","2,335","16,180","9,837","25,002","8,812","24,187","2,445"
2021년02월_남_0~9세,"21,013",454,"1,804","2,848",20,8,22,35,46,881,34,45,"1,238",32,"1,934",558,451,75,159,867,175,"1,398","1,116","2,518",474,"3,494",327
2021년02월_남_10~19세,"23,242",566,"2,098","1,175",28,22,74,74,113,"1,247",45,80,"1,696",63,"2,667",874,"1,046",87,124,551,166,"1,973","1,346","3,111",543,"3,370",103
2021년02월_남_20~29세,"31,247",848,"2,662","1,189",66,69,96,172,137,"1,864",263,197,"2,223",136,"2,850","1,114","1,580",371,229,"1,030",372,"2,679","1,337","3,887","2,150","3,326",400
2021년02월_남_30~39세,"34,702",662,"2,286","4,279",49,54,68,140,102,"1,807",288,178,"1,787",97,"2,502",828,872,333,343,"1,590",422,"2,381","1,527","4,514","2,547","4,408",638
2021년02월_남_40~49세,"36,925","1,013","2,742","2,458",83,96,118,265,225,"1,842",410,204,"2,266",157,"3,630","1,086","1,200",270,244,"1,154",417,"2,958","1,916","4,888","1,549","5,315",419
