카테고리,강원도 삼척시,강원도 삼척시 도계읍,강원도 삼척시 원덕읍,강원도 삼척시 원덕읍임원출장소,강원도 삼척시 근덕면,강원도 삼척시 하장면,강원도 삼척시 노곡면,강원도 삼척시 미로면,강원도 삼척시 가곡면,강원도 삼척시 신기면,강원도 삼척시 남양동,강원도 삼척시 교동,강원도 삼척시 정라동,강원도 삼척시 성내동
2021년11월_계_총인구수,"63,682","9,690","3,232","1,695","5,073","1,294",715,"1,811",671,660,"7,494","14,410","8,941","7,996"
2021년11월_계_연령구간인구수,"63,682","9,690","3,232","1,695","5,073","1,294",715,"1,811",671,660,"7,494","14,410","8,941","7,996"
2021년11월_계_0~9세,"3,554",297,78,42,103,22,7,33,9,11,247,"1,587",618,500
2021년11월_계_10~19세,"5,058",832,129,63,182,34,10,63,23,12,480,"1,687",800,743
2021년11월_계_20~29세,"6,862","1,748",229,122,313,60,32,77,28,25,695,"1,810",970,753
2021년11월_계_30~39세,"5,267",477,190,82,270,68,20,76,16,32,564,"1,900",881,691
2021년11월_계_40~49세,"8,486",986,348,179,458,119,57,182,67,66,915,"2,508","1,425","1,176"
2021년11월_계_50~59세,"10,943","1,552",614,334,950,268,135,330,122,129,"1,367","2,290","1,554","1,298"
2021년11월_계_60~69세,"11,809","1,918",747,392,"1,272",401,206,475,187,176,"1,639","1,547","1,376","1,473"
2021년11월_계_70~79세,"7,000","1,198",498,291,802,179,131,310,126,113,"1,023",687,831,811
2021년11월_계_80~89세,"4,069",612,341,164,606,128,91,229,80,87,496,334,416,485
2021년11월_계_90~99세,614,67,51,26,112,15,26,36,13,9,66,59,69,65
2021년11월_계_100세 이상,20,3,7,0,5,0,0,0,0,0,2,1,1,1
2021년11월_남_총인구수,"32,175","4,804","1,698",846,"2,624",701,389,943,342,358,"3,692","7,311","4,530","3,937"
2021년11월_남_연령구간인구수,"32,175","4,804","1,698",846,"2,624",701,389,943,342,358,"3,692","7,311","4,530","3,937"
2021년11월_남_0~9세,"1,809",147,40,20,56,15,3,17,8,5,131,811,307,249
2021년11월_남_10~19세,"2,598",389,65,34,103,18,5,42,11,6,248,864,434,379
2021년11월_남_20~29세,"3,824",904,158,70,205,27,21,50,16,14,396,"1,002",541,420
2021년11월_남_30~39세,"2,841",256,125,51,167,46,12,40,8,20,326,974,454,362
2021년11월_남_40~49세,"4,627",556,220,111,296,89,42,129,42,50,502,"1,237",757,596
2021년11월_남_50~59세,"5,959",850,370,183,576,142,87,192,75,80,671,"1,199",862,672
2021년11월_남_60~69세,"5,939",985,405,200,651,221,121,261,91,96,770,770,664,704
2021년11월_남_70~79세,"3,109",523,203,118,357,85,58,141,60,52,460,312,363,377
2021년11월_남_80~89세,"1,341",180,100,52,195,55,33,65,28,34,173,126,134,166
2021년11월_남_90~99세,126,14,10,7,18,3,7,6,3,1,15,16,14,12
2021년11월_남_100세 이상,2,0,2,0,0,0,0,0,0,0,0,0,0,0
2021년11월_여_총인구수,"31,507","4,886","1,534",849,"2,449",593,326,868,329,302,"3,802","7,099","4,411","4,059"
2021년11월_여_연령구간인구수,"31,507","4,886","1,534",849,"2,449",593,326,868,329,302,"3,802","7,099","4,411","4,059"
2021년11월_여_0~9세,"1,745",150,38,22,47,7,4,16,1,6,116,776,311,251
2021년11월_여_10~19세,"2,460",443,64,29,79,16,5,21,12,6,232,823,366,364
2021년11월_여_20~29세,"3,038",844,71,52,108,33,11,27,12,11,299,808,429,333
2021년11월_여_30~39세,"2,426",221,65,31,103,22,8,36,8,12,238,926,427,329
2021년11월_여_40~49세,"3,859",430,128,68,162,30,15,53,25,16,413,"1,271",668,580
2021년11월_여_50~59세,"4,984",702,244,151,374,126,48,138,47,49,696,"1,091",692,626
2021년11월_여_60~69세,"5,870",933,342,192,621,180,85,214,96,80,869,777,712,769
2021년11월_여_70~79세,"3,891",675,295,173,445,94,73,169,66,61,563,375,468,434
2021년11월_여_80~89세,"2,728",432,241,112,411,73,58,164,52,53,323,208,282,319
2021년11월_여_90~99세,488,53,41,19,94,12,19,30,10,8,51,43,55,53
2021년11월_여_100세 이상,18,3,5,0,5,0,0,0,0,0,2,1,1,1
