카테고리,충청남도 계룡시,충청남도 계룡시 두마면,충청남도 계룡시 엄사면,충청남도 계룡시 신도안면,충청남도 계룡시 금암동
2021년03월_계_총인구수,"43,182","7,240","18,546","8,737","8,659"
2021년03월_계_연령구간인구수,"43,182","7,240","18,546","8,737","8,659"
2021년03월_계_0~9세,"3,917",623,"1,228","1,330",736
2021년03월_계_10~19세,"6,294",911,"2,356","1,951","1,076"
2021년03월_계_20~29세,"4,918",774,"2,359",786,999
2021년03월_계_30~39세,"4,690",709,"1,730","1,354",897
2021년03월_계_40~49세,"8,385","1,192","3,174","2,480","1,539"
2021년03월_계_50~59세,"6,999","1,319","3,494",680,"1,506"
2021년03월_계_60~69세,"4,591","1,043","2,271",75,"1,202"
2021년03월_계_70~79세,"2,083",436,"1,121",57,469
2021년03월_계_80~89세,"1,121",188,709,22,202
2021년03월_계_90~99세,181,44,102,2,33
2021년03월_계_100세 이상,3,1,2,0,0
2021년03월_남_총인구수,"21,516","3,544","9,085","4,547","4,340"
2021년03월_남_연령구간인구수,"21,516","3,544","9,085","4,547","4,340"
2021년03월_남_0~9세,"1,986",326,630,669,361
2021년03월_남_10~19세,"3,305",457,"1,258","1,023",567
2021년03월_남_20~29세,"2,742",412,"1,283",459,588
2021년03월_남_30~39세,"2,336",333,878,673,452
2021년03월_남_40~49세,"4,076",562,"1,519","1,272",723
2021년03월_남_50~59세,"3,517",659,"1,705",412,741
2021년03월_남_60~69세,"2,227",522,"1,098",17,590
2021년03월_남_70~79세,927,207,474,15,231
2021년03월_남_80~89세,360,60,217,6,77
2021년03월_남_90~99세,40,6,23,1,10
2021년03월_남_100세 이상,0,0,0,0,0
2021년03월_여_총인구수,"21,666","3,696","9,461","4,190","4,319"
2021년03월_여_연령구간인구수,"21,666","3,696","9,461","4,190","4,319"
2021년03월_여_0~9세,"1,931",297,598,661,375
2021년03월_여_10~19세,"2,989",454,"1,098",928,509
2021년03월_여_20~29세,"2,176",362,"1,076",327,411
2021년03월_여_30~39세,"2,354",376,852,681,445
2021년03월_여_40~49세,"4,309",630,"1,655","1,208",816
2021년03월_여_50~59세,"3,482",660,"1,789",268,765
2021년03월_여_60~69세,"2,364",521,"1,173",58,612
2021년03월_여_70~79세,"1,156",229,647,42,238
2021년03월_여_80~89세,761,128,492,16,125
2021년03월_여_90~99세,141,38,79,1,23
2021년03월_여_100세 이상,3,1,2,0,0
