,부산광역시 동구,부산광역시 동구 초량제1동,부산광역시 동구 초량제2동,부산광역시 동구 초량제3동,부산광역시 동구 초량제6동,부산광역시 동구 수정제1동,부산광역시 동구 수정제2동,부산광역시 동구 수정제4동,부산광역시 동구 수정제5동,부산광역시 동구 좌천동,부산광역시 동구 범일제1동,부산광역시 동구 범일제2동,부산광역시 동구 범일제5동
2021년03월_계_총인구수,"88,218","4,816","5,773","11,897","6,184","4,179","10,052","4,056","5,434","10,963","11,773","8,614","4,477"
2021년03월_계_연령구간인구수,"88,218","4,816","5,773","11,897","6,184","4,179","10,052","4,056","5,434","10,963","11,773","8,614","4,477"
2021년03월_계_0~9세,"4,070",159,155,"1,079",168,183,410,103,165,453,356,452,387
2021년03월_계_10~19세,"5,020",273,274,772,400,306,563,224,327,604,609,418,250
2021년03월_계_20~29세,"10,406",688,619,"1,779",644,490,"1,193",351,567,"1,290","1,283","1,067",435
2021년03월_계_30~39세,"10,421",511,564,"2,433",496,399,"1,212",309,421,"1,136","1,109","1,153",678
2021년03월_계_40~49세,"11,727",698,732,"1,838",797,569,"1,258",460,658,"1,430","1,366","1,210",711
2021년03월_계_50~59세,"14,505",780,"1,004","1,643","1,028",691,"1,635",701,947,"1,833","2,090","1,558",595
2021년03월_계_60~69세,"16,117",872,"1,191","1,330","1,222",751,"1,897",821,"1,085","2,034","2,567","1,604",743
2021년03월_계_70~79세,"10,612",582,830,683,905,543,"1,258",723,845,"1,469","1,562",777,435
2021년03월_계_80~89세,"4,708",231,334,288,454,224,557,331,368,640,750,327,204
2021년03월_계_90~99세,569,22,61,51,59,20,53,33,51,61,79,42,37
2021년03월_계_100세 이상,63,0,9,1,11,3,16,0,0,13,2,6,2
2021년03월_남_총인구수,"43,213","2,422","2,855","5,823","3,014","2,021","4,795","2,010","2,586","5,330","5,803","4,358","2,196"
2021년03월_남_연령구간인구수,"43,213","2,422","2,855","5,823","3,014","2,021","4,795","2,010","2,586","5,330","5,803","4,358","2,196"
2021년03월_남_0~9세,"2,154",68,90,576,89,98,206,59,89,252,186,236,205
2021년03월_남_10~19세,"2,593",146,142,400,218,152,285,128,161,301,298,229,133
2021년03월_남_20~29세,"5,254",358,306,756,358,262,567,203,317,689,693,551,194
2021년03월_남_30~39세,"5,568",275,326,"1,238",288,215,662,179,230,595,614,604,342
2021년03월_남_40~49세,"6,291",392,415,947,406,295,649,254,357,771,761,646,398
2021년03월_남_50~59세,"7,417",434,540,825,537,351,801,392,461,896,"1,082",796,302
2021년03월_남_60~69세,"7,609",403,544,646,575,325,870,405,474,959,"1,230",799,379
2021년03월_남_70~79세,"4,567",269,354,323,378,228,555,282,367,621,671,349,170
2021년03월_남_80~89세,"1,608",73,112,99,152,93,182,97,119,233,248,134,66
2021년03월_남_90~99세,134,4,22,12,10,2,15,11,11,10,19,12,6
2021년03월_남_100세 이상,18,0,4,1,3,0,3,0,0,3,1,2,1
2021년03월_여_총인구수,"45,005","2,394","2,918","6,074","3,170","2,158","5,257","2,046","2,848","5,633","5,970","4,256","2,281"
2021년03월_여_연령구간인구수,"45,005","2,394","2,918","6,074","3,170","2,158","5,257","2,046","2,848","5,633","5,970","4,256","2,281"
2021년03월_여_0~9세,"1,916",91,65,503,79,85,204,44,76,201,170,216,182
2021년03월_여_10~19세,"2,427",127,132,372,182,154,278,96,166,303,311,189,117
2021년03월_여_20~29세,"5,152",330,313,"1,023",286,228,626,148,250,601,590,516,241
2021년03월_여_30~39세,"4,853",236,238,"1,195",208,184,550,130,191,541,495,549,336
2021년03월_여_40~49세,"5,436",306,317,891,391,274,609,206,301,659,605,564,313
2021년03월_여_50~59세,"7,088",346,464,818,491,340,834,309,486,937,"1,008",762,293
2021년03월_여_60~69세,"8,508",469,647,684,647,426,"1,027",416,611,"1,075","1,337",805,364
2021년03월_여_70~79세,"6,045",313,476,360,527,315,703,441,478,848,891,428,265
2021년03월_여_80~89세,"3,100",158,222,189,302,131,375,234,249,407,502,193,138
2021년03월_여_90~99세,435,18,39,39,49,18,38,22,40,51,60,30,31
2021년03월_여_100세 이상,45,0,5,0,8,3,13,0,0,10,1,4,1
