카테고리,광주광역시 남구,광주광역시 남구 양림동,광주광역시 남구 방림1동,광주광역시 남구 방림2동,광주광역시 남구 봉선1동,광주광역시 남구 봉선2동,광주광역시 남구 사직동,광주광역시 남구 월산동,광주광역시 남구 월산4동,광주광역시 남구 월산5동,광주광역시 남구 백운1동,광주광역시 남구 백운2동,광주광역시 남구 주월1동,광주광역시 남구 주월2동,광주광역시 남구 진월동,광주광역시 남구 효덕동,광주광역시 남구 송암동,광주광역시 남구 대촌동
2021년09월_계_총인구수,"214,295","7,064","6,679","8,992","13,542","28,678","5,226","7,450","8,567","6,442","12,265","6,407","21,821","8,103","29,413","16,146","21,198","6,302"
2021년09월_계_연령구간인구수,"214,295","7,064","6,679","8,992","13,542","28,678","5,226","7,450","8,567","6,442","12,265","6,407","21,821","8,103","29,413","16,146","21,198","6,302"
2021년09월_계_0~9세,"16,926",436,508,457,803,"2,830",262,386,319,235,919,468,"1,663",463,"2,121","1,569","3,102",385
2021년09월_계_10~19세,"22,603",748,649,747,"1,278","4,856",290,420,564,341,"1,129",426,"2,231",550,"4,071","1,730","2,170",403
2021년09월_계_20~29세,"27,610",801,838,"1,203","1,965","3,193",641,859,"1,151",916,"1,479",992,"3,170","1,063","4,219","2,103","2,503",514
2021년09월_계_30~39세,"25,070",640,797,836,"1,531","2,721",611,851,"1,015",748,"1,398",897,"2,581",898,"2,890","2,257","3,816",583
2021년09월_계_40~49세,"34,047","1,032","1,058","1,224","2,026","5,546",730,"1,017","1,125",809,"1,858",868,"3,469","1,079","4,929","2,736","3,739",802
2021년09월_계_50~59세,"32,826","1,096",971,"1,474","2,124","4,300",855,"1,176","1,453","1,155","1,883",935,"3,560","1,365","4,720","2,102","2,679",978
2021년09월_계_60~69세,"28,863","1,015",917,"1,432","1,958","2,948",829,"1,188","1,530","1,230","1,909",915,"2,883","1,445","3,452","2,026","1,992","1,194"
2021년09월_계_70~79세,"17,467",862,643,"1,077","1,133","1,439",676,"1,045",970,695,"1,129",618,"1,594",880,"1,993","1,116",780,817
2021년09월_계_80~89세,"7,707",373,264,475,622,718,302,445,387,275,476,255,591,322,888,425,343,546
2021년09월_계_90~99세,"1,137",59,28,65,99,125,29,62,51,38,84,33,75,36,130,76,72,75
2021년09월_계_100세 이상,39,2,6,2,3,2,1,1,2,0,1,0,4,2,0,6,2,5
2021년09월_남_총인구수,"102,962","3,236","3,182","4,247","6,366","13,403","2,702","3,833","4,398","3,219","5,784","3,164","10,561","4,014","13,743","7,737","10,262","3,111"
