,전라남도 순천시,전라남도 순천시 승주읍,전라남도 순천시 해룡면,전라남도 순천시 해룡면상삼출장소,전라남도 순천시 해룡면신대출장소,전라남도 순천시 서면,전라남도 순천시 황전면,전라남도 순천시 월등면,전라남도 순천시 주암면,전라남도 순천시 송광면,전라남도 순천시 외서면,전라남도 순천시 낙안면,전라남도 순천시 별량면,전라남도 순천시 상사면,전라남도 순천시 향동,전라남도 순천시 매곡동,전라남도 순천시 삼산동,전라남도 순천시 조곡동,전라남도 순천시 덕연동,전라남도 순천시 풍덕동,전라남도 순천시 남제동,전라남도 순천시 저전동,전라남도 순천시 장천동,전라남도 순천시 중앙동,전라남도 순천시 도사동,전라남도 순천시 왕조1동,전라남도 순천시 왕조2동
2021년09월_계_총인구수,"281,977","2,667","4,497","18,075","33,274","12,812","2,920","1,791","3,152","1,499",859,"3,213","5,483","2,842","3,616","6,823","25,449","6,174","43,853","7,698","8,716","2,732","2,247","2,938","18,301","40,912","19,434"
2021년09월_계_연령구간인구수,"281,977","2,667","4,497","18,075","33,274","12,812","2,920","1,791","3,152","1,499",859,"3,213","5,483","2,842","3,616","6,823","25,449","6,174","43,853","7,698","8,716","2,732","2,247","2,938","18,301","40,912","19,434"
2021년09월_계_0~9세,"22,842",47,126,"1,425","5,910",837,59,37,57,11,13,81,133,59,128,429,"1,897",321,"3,166",333,333,103,46,82,"2,018","3,483","1,708"
2021년09월_계_10~19세,"29,518",115,189,"2,456","5,057","1,074",94,62,114,40,40,146,280,135,270,563,"2,575",520,"5,135",576,662,171,94,188,"1,738","4,746","2,478"
2021년09월_계_20~29세,"36,969",195,384,"3,095","3,161","1,374",151,118,180,65,51,209,413,283,338,"1,129","3,906",721,"6,504",910,"1,062",307,240,363,"2,098","6,451","3,261"
2021년09월_계_30~39세,"33,072",107,263,"2,136","6,568","1,363",116,99,138,61,27,143,257,154,270,866,"2,904",633,"4,828",725,760,241,207,266,"2,475","5,123","2,342"
2021년09월_계_40~49세,"42,632",201,422,"3,224","7,004","1,747",202,122,217,117,51,224,497,257,420,831,"3,685",828,"6,878",978,"1,022",287,268,381,"2,858","6,625","3,286"
2021년09월_계_50~59세,"49,248",498,853,"3,590","3,593","2,316",463,301,525,274,137,505,926,552,541,988,"4,483","1,134","8,541","1,301","1,658",427,420,491,"3,051","7,806","3,874"
2021년09월_계_60~69세,"36,182",597,953,"1,353","1,387","2,067",646,430,721,329,201,779,"1,165",615,754,947,"3,584","1,083","5,714","1,430","1,616",536,500,569,"2,231","4,264","1,711"
2021년09월_계_70~79세,"19,198",444,707,479,404,"1,229",642,343,626,309,162,632,916,437,579,677,"1,570",608,"2,069",977,"1,083",432,315,387,"1,128","1,538",505
2021년09월_계_80~89세,"10,593",401,513,274,161,700,468,240,498,254,144,419,781,292,272,349,720,273,872,407,458,196,128,185,597,757,234
2021년09월_계_90~99세,"1,657",61,87,39,28,102,78,38,76,32,33,72,110,53,42,42,118,50,135,60,61,32,28,26,102,117,35
2021년09월_계_100세 이상,66,1,0,4,1,3,1,1,0,7,0,3,5,5,2,2,7,3,11,1,1,0,1,0,5,2,0
2021년09월_남_총인구수,"140,731","1,318","2,325","8,925","16,951","6,420","1,477",857,"1,594",779,413,"1,559","2,736","1,458","1,764","3,371","12,527","3,114","21,866","3,841","4,398","1,332","1,170","1,492","9,236","20,238","9,570"
2021년09월_남_연령구간인구수,"140,731","1,318","2,325","8,925","16,951","6,420","1,477",857,"1,594",779,413,"1,559","2,736","1,458","1,764","3,371","12,527","3,114","21,866","3,841","4,398","1,332","1,170","1,492","9,236","20,238","9,570"
2021년09월_남_0~9세,"11,674",34,56,714,"3,052",441,29,19,32,7,7,41,69,39,62,203,968,175,"1,566",177,178,52,24,41,"1,055","1,762",871
2021년09월_남_10~19세,"15,360",52,103,"1,296","2,674",582,50,26,63,26,20,82,140,77,142,312,"1,278",276,"2,668",311,349,86,52,101,911,"2,464","1,219"
2021년09월_남_20~29세,"20,139",120,232,"1,667","1,690",702,92,55,117,40,33,108,238,176,186,579,"2,179",384,"3,605",514,608,161,111,208,"1,155","3,408","1,771"
2021년09월_남_30~39세,"17,046",55,162,"1,092","3,186",730,75,54,93,42,15,80,150,95,154,477,"1,478",344,"2,521",381,400,138,126,145,"1,264","2,596","1,193"
2021년09월_남_40~49세,"21,023",118,262,"1,428","3,470",904,142,77,150,81,34,133,321,142,223,417,"1,789",424,"3,283",544,569,150,159,200,"1,472","3,085","1,446"
2021년09월_남_50~59세,"24,828",307,523,"1,776","1,954","1,230",291,166,309,170,85,268,516,297,275,491,"2,084",594,"4,060",631,847,210,248,258,"1,524","3,823","1,891"
2021년09월_남_60~69세,"18,116",321,494,679,718,"1,059",330,242,365,194,104,404,624,332,358,446,"1,730",507,"2,857",665,749,243,240,280,"1,111","2,183",881
2021년09월_남_70~79세,"8,700",188,315,187,167,549,296,146,288,134,78,291,406,189,281,301,743,289,983,429,500,186,145,179,539,676,215
2021년09월_남_80~89세,"3,509",104,165,80,36,206,152,65,160,76,34,138,247,100,74,136,255,111,297,178,187,99,58,71,187,216,77
2021년09월_남_90~99세,330,19,13,6,4,17,20,7,17,6,3,13,24,11,9,9,23,10,25,11,11,7,7,9,18,25,6
2021년09월_남_100세 이상,6,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2021년09월_여_총인구수,"141,246","1,349","2,172","9,150","16,323","6,392","1,443",934,"1,558",720,446,"1,654","2,747","1,384","1,852","3,452","12,922","3,060","21,987","3,857","4,318","1,400","1,077","1,446","9,065","20,674","9,864"
2021년09월_여_연령구간인구수,"141,246","1,349","2,172","9,150","16,323","6,392","1,443",934,"1,558",720,446,"1,654","2,747","1,384","1,852","3,452","12,922","3,060","21,987","3,857","4,318","1,400","1,077","1,446","9,065","20,674","9,864"
2021년09월_여_0~9세,"11,168",13,70,711,"2,858",396,30,18,25,4,6,40,64,20,66,226,929,146,"1,600",156,155,51,22,41,963,"1,721",837
2021년09월_여_10~19세,"14,158",63,86,"1,160","2,383",492,44,36,51,14,20,64,140,58,128,251,"1,297",244,"2,467",265,313,85,42,87,827,"2,282","1,259"
2021년09월_여_20~29세,"16,830",75,152,"1,428","1,471",672,59,63,63,25,18,101,175,107,152,550,"1,727",337,"2,899",396,454,146,129,155,943,"3,043","1,490"
2021년09월_여_30~39세,"16,026",52,101,"1,044","3,382",633,41,45,45,19,12,63,107,59,116,389,"1,426",289,"2,307",344,360,103,81,121,"1,211","2,527","1,149"
2021년09월_여_40~49세,"21,609",83,160,"1,796","3,534",843,60,45,67,36,17,91,176,115,197,414,"1,896",404,"3,595",434,453,137,109,181,"1,386","3,540","1,840"
2021년09월_여_50~59세,"24,420",191,330,"1,814","1,639","1,086",172,135,216,104,52,237,410,255,266,497,"2,399",540,"4,481",670,811,217,172,233,"1,527","3,983","1,983"
2021년09월_여_60~69세,"18,066",276,459,674,669,"1,008",316,188,356,135,97,375,541,283,396,501,"1,854",576,"2,857",765,867,293,260,289,"1,120","2,081",830
2021년09월_여_70~79세,"10,498",256,392,292,237,680,346,197,338,175,84,341,510,248,298,376,827,319,"1,086",548,583,246,170,208,589,862,290
2021년09월_여_80~89세,"7,084",297,348,194,125,494,316,175,338,178,110,281,534,192,198,213,465,162,575,229,271,97,70,114,410,541,157
2021년09월_여_90~99세,"1,327",42,74,33,24,85,58,31,59,26,30,59,86,42,33,33,95,40,110,49,50,25,21,17,84,92,29
2021년09월_여_100세 이상,60,1,0,4,1,3,1,1,0,4,0,2,4,5,2,2,7,3,10,1,1,0,1,0,5,2,0
