,광주광역시 서구,광주광역시 서구 양동,광주광역시 서구 양3동,광주광역시 서구 농성1동,광주광역시 서구 농성2동,광주광역시 서구 광천동,광주광역시 서구 유덕동,광주광역시 서구 치평동,광주광역시 서구 상무1동,광주광역시 서구 상무2동,광주광역시 서구 화정1동,광주광역시 서구 화정2동,광주광역시 서구 화정3동,광주광역시 서구 화정4동,광주광역시 서구 서창동,광주광역시 서구 금호1동,광주광역시 서구 금호2동,광주광역시 서구 풍암동,광주광역시 서구 동천동
2021년09월_계_총인구수,"292,180","3,801","4,622","10,885","4,949","8,202","11,004","30,334","24,874","23,877","15,626","20,638","10,068","15,510","5,812","20,117","28,739","36,882","16,240"
2021년09월_계_연령구간인구수,"292,180","3,801","4,622","10,885","4,949","8,202","11,004","30,334","24,874","23,877","15,626","20,638","10,068","15,510","5,812","20,117","28,739","36,882","16,240"
2021년09월_계_0~9세,"20,477",109,372,558,164,535,835,"2,101","1,580","1,148",814,"2,278",510,"1,035",390,"1,223","2,513","2,810","1,502"
2021년09월_계_10~19세,"30,261",146,345,610,235,576,"1,246","2,945","2,408","1,653","1,068","2,460",979,"1,524",382,"2,054","4,202","5,002","2,426"
2021년09월_계_20~29세,"44,772",397,468,"1,589",837,"1,059","1,752","5,558","4,729","4,386","3,074","2,325","1,533","2,133",720,"2,848","4,063","5,383","1,918"
2021년09월_계_30~39세,"35,333",332,545,"1,514",603,969,"1,450","4,174","3,503","2,954","2,333","2,851","1,063","1,656",667,"1,993","3,055","4,007","1,664"
2021년09월_계_40~49세,"47,219",423,726,"1,475",639,"1,239","1,921","4,801","3,910","3,186","2,179","3,705","1,350","2,148",708,"2,891","5,450","7,161","3,307"
2021년09월_계_50~59세,"49,373",591,662,"1,750",839,"1,525","1,900","5,384","3,970","3,978","2,329","2,865","1,689","2,585","1,196","3,862","5,256","6,419","2,573"
2021년09월_계_60~69세,"35,579",759,772,"1,579",823,"1,249",984,"2,976","2,726","3,457","1,895","2,433","1,627","2,673",957,"3,054","2,454","3,424","1,737"
2021년09월_계_70~79세,"19,403",705,520,"1,215",520,711,580,"1,498","1,443","2,076","1,223","1,247",865,"1,182",489,"1,442","1,155","1,743",789
2021년09월_계_80~89세,"8,498",309,187,529,254,295,293,803,521,906,619,402,379,494,248,667,503,821,268
2021년09월_계_90~99세,"1,217",29,25,62,34,41,43,91,81,124,90,70,70,76,53,81,82,110,55
2021년09월_계_100세 이상,48,1,0,4,1,3,0,3,3,9,2,2,3,4,2,2,6,2,1
2021년09월_남_총인구수,"143,177","1,896","2,259","5,391","2,584","4,208","5,613","14,494","12,440","11,653","7,428","10,321","4,962","7,463","3,000","9,541","14,058","18,181","7,685"
2021년09월_남_연령구간인구수,"143,177","1,896","2,259","5,391","2,584","4,208","5,613","14,494","12,440","11,653","7,428","10,321","4,962","7,463","3,000","9,541","14,058","18,181","7,685"
2021년09월_남_0~9세,"10,627",60,200,280,89,298,462,"1,043",782,614,417,"1,205",281,552,206,641,"1,310","1,437",750
2021년09월_남_10~19세,"15,912",76,192,345,145,281,642,"1,529","1,192",853,563,"1,445",530,842,195,"1,109","2,133","2,629","1,211"
2021년09월_남_20~29세,"22,876",226,253,782,434,560,915,"2,644","2,393","2,123","1,367","1,242",853,"1,143",395,"1,502","2,198","2,830","1,016"
2021년09월_남_30~39세,"18,019",188,262,812,348,519,804,"2,099","1,892","1,594","1,197","1,383",545,845,346,971,"1,471","1,995",748
2021년09월_남_40~49세,"22,836",253,403,770,365,696,973,"2,212","1,974","1,634","1,139","1,821",682,982,379,"1,284","2,425","3,314","1,530"
2021년09월_남_50~59세,"24,193",320,327,912,428,785,"1,002","2,541","1,997","1,976","1,119","1,370",784,"1,133",642,"1,758","2,629","3,223","1,247"
2021년09월_남_60~69세,"16,707",348,333,700,401,619,480,"1,475","1,280","1,633",817,"1,107",733,"1,232",513,"1,443","1,166","1,674",753
2021년09월_남_70~79세,"8,631",285,219,565,255,335,216,629,706,893,535,585,393,546,242,629,531,736,331
2021년09월_남_80~89세,"3,096",132,66,211,110,104,109,293,204,304,251,151,146,172,74,191,177,314,87
2021년09월_남_90~99세,276,8,4,13,9,11,10,28,20,29,23,12,15,15,8,13,18,28,12
2021년09월_남_100세 이상,4,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
2021년09월_여_총인구수,"149,003","1,905","2,363","5,494","2,365","3,994","5,391","15,840","12,434","12,224","8,198","10,317","5,106","8,047","2,812","10,576","14,681","18,701","8,555"
