,전라남도 신안군,전라남도 신안군 지도읍,전라남도 신안군 지도읍선도출장소,전라남도 신안군 압해읍,전라남도 신안군 압해읍매화출장소,전라남도 신안군 압해읍고이도출장소,전라남도 신안군 증도면,전라남도 신안군 증도면병풍출장소,전라남도 신안군 임자면,전라남도 신안군 자은면,전라남도 신안군 비금면,전라남도 신안군 도초면,전라남도 신안군 도초면우이도출장소,전라남도 신안군 흑산면,전라남도 신안군 흑산면가거도출장소,전라남도 신안군 흑산면태도출장소,전라남도 신안군 흑산면홍도출장소,전라남도 신안군 흑산면대둔도출장소,전라남도 신안군 하의면,전라남도 신안군 신의면,전라남도 신안군 장산면,전라남도 신안군 안좌면,전라남도 신안군 안좌면자라출장소,전라남도 신안군 팔금면,전라남도 신안군 암태면
2021년11월_계_총인구수,"38,243","4,183",236,"5,697",225,220,"1,448",311,"3,188","2,287","3,459","2,464",218,"2,187",428,194,447,306,"1,699","1,529","1,529","2,744",281,968,"1,995"
2021년11월_계_연령구간인구수,"38,243","4,183",236,"5,697",225,220,"1,448",311,"3,188","2,287","3,459","2,464",218,"2,187",428,194,447,306,"1,699","1,529","1,529","2,744",281,968,"1,995"
2021년11월_계_0~9세,"1,418",138,5,194,10,14,34,11,156,72,123,108,9,65,13,11,17,11,60,63,71,110,16,19,88
2021년11월_계_10~19세,"1,965",218,6,291,3,5,43,9,234,92,194,200,5,109,20,16,24,18,102,105,68,97,8,28,70
2021년11월_계_20~29세,"2,534",278,14,428,6,6,90,18,216,139,205,158,6,172,45,9,43,23,103,130,62,208,20,44,111
2021년11월_계_30~39세,"2,491",233,11,415,13,14,77,17,205,132,210,159,14,178,44,17,42,22,107,121,95,174,27,54,110
2021년11월_계_40~49세,"4,105",426,16,603,20,18,166,32,397,216,385,267,28,284,75,21,78,40,190,199,152,217,25,78,172
2021년11월_계_50~59세,"6,898",741,46,"1,077",33,35,296,61,584,423,622,381,60,434,98,37,101,60,306,274,230,447,44,150,358
2021년11월_계_60~69세,"7,951",900,56,"1,306",61,47,273,72,607,510,709,458,47,379,74,36,73,63,327,285,344,589,65,222,448
2021년11월_계_70~79세,"6,225",716,40,810,54,52,267,59,502,400,606,392,28,324,34,25,37,43,285,211,282,474,45,204,335
2021년11월_계_80~89세,"4,129",473,40,504,24,25,183,29,267,278,355,313,18,198,25,19,31,18,195,126,197,364,28,148,271
2021년11월_계_90~99세,516,59,2,69,1,4,18,3,20,25,50,27,3,41,0,3,1,8,24,13,26,63,3,21,32
2021년11월_계_100세 이상,11,1,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0,2,2,1,0,0,0
2021년11월_남_총인구수,"20,471","2,196",122,"3,107",113,125,791,180,"1,690","1,216","1,835","1,264",127,"1,231",271,114,252,181,910,827,811,"1,428",152,485,"1,043"
2021년11월_남_연령구간인구수,"20,471","2,196",122,"3,107",113,125,791,180,"1,690","1,216","1,835","1,264",127,"1,231",271,114,252,181,910,827,811,"1,428",152,485,"1,043"
2021년11월_남_0~9세,728,79,3,102,5,10,13,4,72,43,70,53,7,34,8,5,9,3,28,28,36,54,8,9,45
2021년11월_남_10~19세,"1,006",109,2,138,0,3,24,8,124,47,97,90,3,61,12,10,12,9,55,53,29,55,6,16,43
2021년11월_남_20~29세,"1,549",173,10,261,4,4,59,9,133,83,106,96,2,115,29,6,20,16,64,77,40,127,13,34,68
2021년11월_남_30~39세,"1,561",138,7,265,11,11,52,16,117,90,138,104,5,112,35,12,31,14,59,70,61,98,16,33,66
2021년11월_남_40~49세,"2,722",274,10,399,15,12,123,21,266,142,238,162,22,201,53,17,56,30,124,132,101,143,16,53,112
2021년11월_남_50~59세,"4,250",446,31,626,18,23,195,45,355,245,400,226,40,276,72,25,63,45,198,169,159,280,24,81,208
2021년11월_남_60~69세,"4,398",506,34,729,34,24,148,35,324,262,383,255,27,225,42,24,38,37,182,161,184,331,36,123,254
2021년11월_남_70~79세,"2,885",314,14,391,21,25,115,28,228,189,290,186,18,144,13,11,16,23,140,101,133,213,25,93,154
2021년11월_남_80~89세,"1,264",144,11,184,5,11,59,13,69,108,106,83,3,60,7,3,6,3,56,31,63,111,6,40,82
2021년11월_남_90~99세,103,12,0,12,0,2,3,1,2,7,7,9,0,2,0,1,1,1,4,4,4,15,2,3,11
2021년11월_남_100세 이상,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0
2021년11월_여_총인구수,"17,772","1,987",114,"2,590",112,95,657,131,"1,498","1,071","1,624","1,200",91,956,157,80,195,125,789,702,718,"1,316",129,483,952
2021년11월_여_연령구간인구수,"17,772","1,987",114,"2,590",112,95,657,131,"1,498","1,071","1,624","1,200",91,956,157,80,195,125,789,702,718,"1,316",129,483,952
2021년11월_여_0~9세,690,59,2,92,5,4,21,7,84,29,53,55,2,31,5,6,8,8,32,35,35,56,8,10,43
2021년11월_여_10~19세,959,109,4,153,3,2,19,1,110,45,97,110,2,48,8,6,12,9,47,52,39,42,2,12,27
2021년11월_여_20~29세,985,105,4,167,2,2,31,9,83,56,99,62,4,57,16,3,23,7,39,53,22,81,7,10,43
2021년11월_여_30~39세,930,95,4,150,2,3,25,1,88,42,72,55,9,66,9,5,11,8,48,51,34,76,11,21,44
2021년11월_여_40~49세,"1,383",152,6,204,5,6,43,11,131,74,147,105,6,83,22,4,22,10,66,67,51,74,9,25,60
2021년11월_여_50~59세,"2,648",295,15,451,15,12,101,16,229,178,222,155,20,158,26,12,38,15,108,105,71,167,20,69,150
2021년11월_여_60~69세,"3,553",394,22,577,27,23,125,37,283,248,326,203,20,154,32,12,35,26,145,124,160,258,29,99,194
2021년11월_여_70~79세,"3,340",402,26,419,33,27,152,31,274,211,316,206,10,180,21,14,21,20,145,110,149,261,20,111,181
2021년11월_여_80~89세,"2,865",329,29,320,19,14,124,16,198,170,249,230,15,138,18,16,25,15,139,95,134,253,22,108,189
2021년11월_여_90~99세,413,47,2,57,1,2,15,2,18,18,43,18,3,39,0,2,0,7,20,9,22,48,1,18,21
