,경상북도 상주시,경상북도 상주시 함창읍,경상북도 상주시 중동면,경상북도 상주시 사벌국면,경상북도 상주시 낙동면,경상북도 상주시 낙동면동부출장소,경상북도 상주시 청리면,경상북도 상주시 공성면,경상북도 상주시 외남면,경상북도 상주시 내서면,경상북도 상주시 모동면,경상북도 상주시 모서면,경상북도 상주시 모서면서부출장소,경상북도 상주시 화동면,경상북도 상주시 화서면,경상북도 상주시 화북면,경상북도 상주시 화북면서부출장소,경상북도 상주시 외서면,경상북도 상주시 은척면,경상북도 상주시 은척면북부출장소,경상북도 상주시 공검면,경상북도 상주시 이안면,경상북도 상주시 화남면,경상북도 상주시 남원동,경상북도 상주시 북문동,경상북도 상주시 계림동,경상북도 상주시 동문동,경상북도 상주시 동성동,경상북도 상주시 신흥동
2020년07월_계_총인구수,"98,038","6,661","1,433","3,865","3,092",996,"2,716","4,023","1,682","1,971","2,603","1,751",754,"2,031","2,787","1,244",343,"2,809","1,158",380,"2,156","2,097",842,"12,464","9,254","7,843","8,262","3,712","9,109"
2020년07월_계_연령구간인구수,"98,038","6,661","1,433","3,865","3,092",996,"2,716","4,023","1,682","1,971","2,603","1,751",754,"2,031","2,787","1,244",343,"2,809","1,158",380,"2,156","2,097",842,"12,464","9,254","7,843","8,262","3,712","9,109"
2020년07월_계_0~9세,"5,305",299,40,109,106,28,96,82,62,58,98,57,23,67,125,35,8,97,20,7,32,56,26,959,755,560,540,194,766
2020년07월_계_10~19세,"7,803",509,66,169,150,41,119,239,70,77,158,74,39,109,151,65,10,162,48,18,96,104,42,"1,373",875,802,830,364,"1,043"
2020년07월_계_20~29세,"8,299",435,73,196,171,54,157,210,86,108,173,101,37,117,178,77,14,119,44,14,111,104,49,"1,343","1,008",766,843,328,"1,383"
2020년07월_계_30~39세,"7,646",470,75,222,139,33,159,202,87,109,125,83,43,113,175,70,12,159,38,10,104,69,36,"1,320","1,118",745,748,291,891
2020년07월_계_40~49세,"11,731",763,107,331,275,73,224,316,122,142,254,172,60,180,268,115,28,310,93,25,170,192,68,"1,823","1,390","1,150","1,192",517,"1,371"
2020년07월_계_50~59세,"17,038","1,122",242,660,539,207,433,651,313,410,519,336,161,384,535,266,70,514,174,70,322,326,164,"2,098","1,572","1,368","1,536",623,"1,423"
2020년07월_계_60~69세,"17,890","1,299",314,853,635,216,617,984,364,468,625,420,178,446,582,272,99,588,286,71,499,428,189,"1,834","1,392","1,171","1,252",628,"1,180"
2020년07월_계_70~79세,"12,762",990,311,698,567,162,487,768,307,331,386,280,114,351,423,188,60,464,270,79,446,435,140,"1,118",707,751,827,472,630
2020년07월_계_80~89세,"8,270",672,179,547,427,164,359,495,230,234,233,204,88,218,309,132,37,340,160,76,321,318,102,510,385,467,439,257,367
2020년07월_계_90~99세,"1,236",94,26,77,77,16,62,74,41,34,29,23,11,46,40,22,5,52,23,10,54,64,25,79,52,62,50,35,53
2020년07월_계_100세 이상,58,8,0,3,6,2,3,2,0,0,3,1,0,0,1,2,0,4,2,0,1,1,1,7,0,1,5,3,2
2020년07월_남_총인구수,"48,077","3,214",691,"1,883","1,498",486,"1,325","1,993",841,"1,008","1,304",882,357,"1,015","1,347",630,178,"1,321",539,197,"1,018",996,407,"6,089","4,636","3,732","4,039","1,845","4,606"
2020년07월_남_연령구간인구수,"48,077","3,214",691,"1,883","1,498",486,"1,325","1,993",841,"1,008","1,304",882,357,"1,015","1,347",630,178,"1,321",539,197,"1,018",996,407,"6,089","4,636","3,732","4,039","1,845","4,606"
2020년07월_남_0~9세,"2,754",162,26,51,59,14,57,37,31,24,47,29,12,34,68,18,4,44,7,2,14,36,14,490,387,292,289,107,399
2020년07월_남_10~19세,"4,116",233,30,103,74,21,76,156,45,48,82,40,19,54,71,37,5,81,29,13,46,43,21,769,466,387,421,201,545
2020년07월_남_20~29세,"4,809",242,47,133,103,34,100,127,48,68,109,63,19,66,100,37,10,72,24,10,76,62,19,753,562,428,467,200,830
2020년07월_남_30~39세,"4,140",260,44,130,86,17,89,121,46,65,65,51,19,69,96,48,6,88,21,6,65,42,16,702,585,397,392,155,459
2020년07월_남_40~49세,"6,248",420,69,218,159,45,142,205,88,83,149,105,42,109,143,60,17,169,58,14,111,110,45,876,705,574,570,290,672
2020년07월_남_50~59세,"8,922",601,145,365,303,121,224,346,185,225,273,184,73,222,272,148,41,274,92,45,166,181,92,"1,020",807,675,828,320,694
2020년07월_남_60~69세,"8,749",649,143,441,324,106,313,480,183,255,319,222,102,221,295,140,55,284,143,38,246,220,100,832,683,533,566,270,586
