카테고리,강원도 횡성군,강원도 횡성군 횡성읍,강원도 횡성군 우천면,강원도 횡성군 안흥면,강원도 횡성군 둔내면,강원도 횡성군 갑천면,강원도 횡성군 청일면,강원도 횡성군 공근면,강원도 횡성군 서원면,강원도 횡성군 강림면
2020년04월_계_총인구수,"46,232","20,851","4,463","2,966","5,829","2,369","2,417","3,507","2,102","1,728"
2020년04월_계_연령구간인구수,"46,232","20,851","4,463","2,966","5,829","2,369","2,417","3,507","2,102","1,728"
2020년04월_계_0~9세,"2,233","1,514",131,67,255,42,35,83,68,38
2020년04월_계_10~19세,"3,514","2,060",221,428,377,90,69,128,70,71
2020년04월_계_20~29세,"3,909","2,309",367,138,408,125,136,219,123,84
2020년04월_계_30~39세,"3,590","2,141",254,133,442,124,87,197,134,78
2020년04월_계_40~49세,"5,173","2,998",428,187,648,177,172,272,152,139
2020년04월_계_50~59세,"8,866","3,638",912,574,"1,229",463,534,749,411,356
2020년04월_계_60~69세,"9,683","3,134","1,066",743,"1,308",689,712,919,610,502
2020년04월_계_70~79세,"5,628","1,833",661,424,726,399,402,553,305,325
2020년04월_계_80~89세,"3,107","1,026",365,229,381,224,232,330,195,125
2020년04월_계_90~99세,499,189,53,39,53,32,36,54,33,10
2020년04월_계_100세 이상,30,9,5,4,2,4,2,3,1,0
2020년04월_남_총인구수,"23,669","10,485","2,325","1,523","3,046","1,216","1,229","1,822","1,119",904
2020년04월_남_연령구간인구수,"23,669","10,485","2,325","1,523","3,046","1,216","1,229","1,822","1,119",904
2020년04월_남_0~9세,"1,168",790,70,35,133,23,15,41,40,21
2020년04월_남_10~19세,"1,830","1,060",115,222,208,40,43,66,33,43
2020년04월_남_20~29세,"2,207","1,249",232,83,234,65,78,133,74,59
2020년04월_남_30~39세,"1,917","1,094",136,66,259,69,47,119,82,45
2020년04월_남_40~49세,"2,861","1,612",246,103,355,103,101,172,89,80
2020년04월_남_50~59세,"4,687","1,894",490,304,664,234,279,404,226,192
2020년04월_남_60~69세,"5,031","1,577",564,400,675,372,383,482,334,244
2020년04월_남_70~79세,"2,720",794,334,217,361,208,206,282,155,163
2020년04월_남_80~89세,"1,118",360,126,85,148,93,68,110,75,53
2020년04월_남_90~99세,119,52,12,7,9,7,8,10,10,4
2020년04월_남_100세 이상,11,3,0,1,0,2,1,3,1,0
2020년04월_여_총인구수,"22,563","10,366","2,138","1,443","2,783","1,153","1,188","1,685",983,824
2020년04월_여_연령구간인구수,"22,563","10,366","2,138","1,443","2,783","1,153","1,188","1,685",983,824
2020년04월_여_0~9세,"1,065",724,61,32,122,19,20,42,28,17
2020년04월_여_10~19세,"1,684","1,000",106,206,169,50,26,62,37,28
2020년04월_여_20~29세,"1,702","1,060",135,55,174,60,58,86,49,25
2020년04월_여_30~39세,"1,673","1,047",118,67,183,55,40,78,52,33
2020년04월_여_40~49세,"2,312","1,386",182,84,293,74,71,100,63,59
2020년04월_여_50~59세,"4,179","1,744",422,270,565,229,255,345,185,164
2020년04월_여_60~69세,"4,652","1,557",502,343,633,317,329,437,276,258
2020년04월_여_70~79세,"2,908","1,039",327,207,365,191,196,271,150,162
2020년04월_여_80~89세,"1,989",666,239,144,233,131,164,220,120,72
2020년04월_여_90~99세,380,137,41,32,44,25,28,44,23,6
2020년04월_여_100세 이상,19,6,5,3,2,2,1,0,0,0
