카테고리,부산광역시 금정구,부산광역시 금정구 서제1동,부산광역시 금정구 서제2동,부산광역시 금정구 서제3동,부산광역시 금정구 금사회동동,부산광역시 금정구 부곡제1동,부산광역시 금정구 부곡제2동,부산광역시 금정구 부곡제3동,부산광역시 금정구 부곡제4동,부산광역시 금정구 장전제1동,부산광역시 금정구 장전제2동,부산광역시 금정구 선두구동,부산광역시 금정구 청룡노포동,부산광역시 금정구 남산동,부산광역시 금정구 구서제1동,부산광역시 금정구 구서제2동,부산광역시 금정구 금성동
2020년09월_계_총인구수,"234,135","6,062","10,021","11,540","8,302","8,740","16,927","16,348","13,319","18,039","27,470","2,390","10,150","29,881","19,828","34,025","1,093"
2020년09월_계_연령구간인구수,"234,135","6,062","10,021","11,540","8,302","8,740","16,927","16,348","13,319","18,039","27,470","2,390","10,150","29,881","19,828","34,025","1,093"
2020년09월_계_0~9세,"13,295",111,361,352,279,316,904,"1,196",553,961,"2,674",72,526,"1,280","1,375","2,254",81
2020년09월_계_10~19세,"18,027",295,510,589,373,477,"1,451","1,355",827,"1,247","2,507",114,709,"2,173","1,929","3,358",113
2020년09월_계_20~29세,"33,537",578,"1,171","1,256",847,909,"2,562","2,307","1,603","5,674","3,443",214,"1,136","4,625","2,590","4,540",82
2020년09월_계_30~39세,"25,783",517,"1,028","1,151",819,848,"1,819","2,065","1,506","2,004","3,829",201,981,"3,102","2,262","3,570",81
2020년09월_계_40~49세,"32,477",786,"1,218","1,366","1,011","1,162","2,410","2,348","1,805","2,185","4,732",238,"1,283","3,799","2,995","4,964",175
2020년09월_계_50~59세,"41,092","1,199","2,043","2,367","1,633","1,499","3,009","2,845","2,332","2,304","3,826",487,"1,809","5,692","3,660","6,211",176
2020년09월_계_60~69세,"38,343","1,371","2,151","2,404","1,914","1,790","2,621","2,413","2,627","1,978","3,321",539,"1,924","5,000","2,878","5,193",219
2020년09월_계_70~79세,"21,627",822,"1,106","1,465","1,050","1,237","1,440","1,173","1,508","1,141","2,025",347,"1,202","2,922","1,467","2,618",104
2020년09월_계_80~89세,"8,592",338,376,526,325,455,623,558,489,479,849,157,513,"1,132",587,"1,135",50
2020년09월_계_90~99세,"1,162",34,42,53,47,44,81,83,67,56,166,17,63,148,78,173,10
2020년09월_계_100세 이상,200,11,15,11,4,3,7,5,2,10,98,4,4,8,7,9,2
2020년09월_남_총인구수,"114,368","3,074","5,005","5,784","4,385","4,220","8,120","7,808","6,415","9,247","13,228","1,266","4,977","14,622","9,414","16,270",533
2020년09월_남_연령구간인구수,"114,368","3,074","5,005","5,784","4,385","4,220","8,120","7,808","6,415","9,247","13,228","1,266","4,977","14,622","9,414","16,270",533
2020년09월_남_0~9세,"6,824",58,177,185,154,170,483,605,285,459,"1,403",40,266,668,701,"1,134",36
2020년09월_남_10~19세,"9,236",160,257,293,208,237,751,671,444,623,"1,369",61,372,"1,097",927,"1,704",62
2020년09월_남_20~29세,"18,111",329,649,705,471,504,"1,309","1,203",856,"3,246","1,809",125,655,"2,506","1,345","2,351",48
2020년09월_남_30~39세,"13,393",311,564,657,469,465,922,"1,040",804,"1,112","1,806",125,508,"1,699","1,126","1,748",37
2020년09월_남_40~49세,"16,146",457,664,761,609,646,"1,139","1,111",916,"1,113","2,336",130,618,"1,883","1,397","2,277",89
2020년09월_남_50~59세,"19,475",633,"1,004","1,167",842,707,"1,398","1,316","1,074","1,102","1,752",263,862,"2,663","1,688","2,918",86
2020년09월_남_60~69세,"17,901",627,"1,022","1,163",982,787,"1,237","1,116","1,156",882,"1,494",289,880,"2,346","1,349","2,460",111
2020년09월_남_70~79세,"9,866",375,520,636,517,545,631,529,684,515,902,174,579,"1,313",670,"1,230",46
