카테고리,경상남도 김해시,경상남도 김해시 진영읍,경상남도 김해시 주촌면,경상남도 김해시 진례면,경상남도 김해시 한림면,경상남도 김해시 생림면,경상남도 김해시 상동면,경상남도 김해시 대동면,경상남도 김해시 동상동,경상남도 김해시 회현동,경상남도 김해시 부원동,경상남도 김해시 내외동,경상남도 김해시 북부동,경상남도 김해시 칠산서부동,경상남도 김해시 활천동,경상남도 김해시 삼안동,경상남도 김해시 불암동,경상남도 김해시 장유1동,경상남도 김해시 장유2동,경상남도 김해시 장유3동
2021년11월_계_총인구수,"538,286","55,709","18,648","6,415","7,323","3,818","3,153","5,633","9,680","8,976","9,850","73,242","80,076","9,500","39,967","32,642","7,533","56,838","36,285","72,998"
2021년11월_계_연령구간인구수,"538,286","55,709","18,648","6,415","7,323","3,818","3,153","5,633","9,680","8,976","9,850","73,242","80,076","9,500","39,967","32,642","7,533","56,838","36,285","72,998"
2021년11월_계_0~9세,"46,116","6,156","2,885",199,169,83,82,127,522,572,546,"4,468","6,891",512,"2,355","1,396",457,"5,012","3,358","10,326"
2021년11월_계_10~19세,"60,186","6,230","1,289",307,280,114,131,210,637,535,616,"7,247","10,294",704,"3,735","2,869",737,"7,895","5,096","11,260"
2021년11월_계_20~29세,"66,967","5,203","2,038",551,554,297,259,344,"1,308","1,006","1,359","11,953","10,635","1,191","5,856","5,532",974,"6,961","4,348","6,598"
2021년11월_계_30~39세,"66,599","8,256","4,002",508,543,242,234,352,"1,190","1,150","1,184","8,441","9,184",954,"4,204","2,902",745,"6,738","4,320","11,450"
2021년11월_계_40~49세,"96,128","10,952","3,089",777,682,347,319,506,"1,319","1,160","1,337","11,239","14,895","1,296","6,091","4,621","1,156","11,763","7,632","16,947"
2021년11월_계_50~59세,"98,650","8,470","2,848","1,378","1,509",787,706,988,"1,929","1,659","2,078","16,215","15,262","1,965","8,679","7,392","1,559","9,863","6,357","9,006"
2021년11월_계_60~69세,"62,909","6,334","1,665","1,458","1,883","1,020",834,"1,658","1,684","1,607","1,670","8,656","8,099","1,730","5,703","4,930","1,182","5,025","3,119","4,652"
2021년11월_계_70~79세,"27,092","2,699",520,751,"1,011",588,383,927,739,882,743,"3,244","3,228",774,"2,304","1,963",499,"2,422","1,423","1,992"
2021년11월_계_80~89세,"12,120","1,245",280,410,612,305,170,445,316,355,289,"1,614","1,414",340,937,930,199,"1,037",544,678
2021년11월_계_90~99세,"1,489",160,32,76,79,35,32,74,35,49,27,160,172,33,102,105,25,119,87,87
2021년11월_계_100세 이상,30,4,0,0,1,0,3,2,1,1,1,5,2,1,1,2,0,3,1,2
2021년11월_남_총인구수,"272,256","28,684","9,544","3,515","3,995","2,035","1,745","2,925","4,954","4,475","5,027","36,516","40,086","5,049","20,344","16,701","3,840","28,317","18,278","36,226"
2021년11월_남_연령구간인구수,"272,256","28,684","9,544","3,515","3,995","2,035","1,745","2,925","4,954","4,475","5,027","36,516","40,086","5,049","20,344","16,701","3,840","28,317","18,278","36,226"
2021년11월_남_0~9세,"23,589","3,190","1,460",112,91,53,51,63,274,303,283,"2,331","3,533",282,"1,233",718,246,"2,453","1,697","5,216"
2021년11월_남_10~19세,"31,157","3,219",661,166,160,63,68,118,315,281,320,"3,757","5,390",365,"1,949","1,511",362,"4,073","2,621","5,758"
2021년11월_남_20~29세,"36,551","2,908","1,041",357,352,177,154,212,712,552,746,"6,494","5,787",678,"3,174","3,091",542,"3,716","2,412","3,446"
2021년11월_남_30~39세,"34,420","4,253","2,027",296,352,147,151,212,681,583,642,"4,468","4,652",545,"2,309","1,623",402,"3,405","2,216","5,456"
2021년11월_남_40~49세,"47,808","5,841","1,645",484,451,211,198,299,674,615,717,"5,282","7,064",709,"3,089","2,324",577,"5,659","3,685","8,284"
2021년11월_남_50~59세,"50,558","4,447","1,419",808,872,448,405,532,996,821,"1,047","7,865","7,722","1,067","4,329","3,668",791,"5,193","3,353","4,775"
2021년11월_남_60~69세,"32,129","3,158",941,786,"1,032",549,459,872,866,800,825,"4,535","4,106",918,"2,953","2,619",616,"2,410","1,519","2,165"
2021년11월_남_70~79세,"11,972","1,234",266,345,497,278,196,456,329,377,338,"1,310","1,370",361,"1,009",844,227,"1,041",587,907
2021년11월_남_80~89세,"3,805",410,77,150,180,105,59,145,100,134,105,445,428,119,279,282,70,340,172,205
2021년11월_남_90~99세,262,24,7,11,8,4,4,16,6,9,4,28,34,5,20,20,7,26,15,14
2021년11월_남_100세 이상,5,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0
2021년11월_여_총인구수,"266,030","27,025","9,104","2,900","3,328","1,783","1,408","2,708","4,726","4,501","4,823","36,726","39,990","4,451","19,623","15,941","3,693","28,521","18,007","36,772"
2021년11월_여_연령구간인구수,"266,030","27,025","9,104","2,900","3,328","1,783","1,408","2,708","4,726","4,501","4,823","36,726","39,990","4,451","19,623","15,941","3,693","28,521","18,007","36,772"
2021년11월_여_0~9세,"22,527","2,966","1,425",87,78,30,31,64,248,269,263,"2,137","3,358",230,"1,122",678,211,"2,559","1,661","5,110"
2021년11월_여_10~19세,"29,029","3,011",628,141,120,51,63,92,322,254,296,"3,490","4,904",339,"1,786","1,358",375,"3,822","2,475","5,502"
2021년11월_여_20~29세,"30,416","2,295",997,194,202,120,105,132,596,454,613,"5,459","4,848",513,"2,682","2,441",432,"3,245","1,936","3,152"
