,충청남도 계룡시,충청남도 계룡시 두마면,충청남도 계룡시 엄사면,충청남도 계룡시 신도안면,충청남도 계룡시 금암동
2020년05월_계_총인구수,"42,696","6,815","18,296","8,929","8,656"
2020년05월_계_연령구간인구수,"42,696","6,815","18,296","8,929","8,656"
2020년05월_계_0~9세,"4,037",627,"1,274","1,362",774
2020년05월_계_10~19세,"6,456",904,"2,406","2,025","1,121"
2020년05월_계_20~29세,"4,846",713,"2,359",774,"1,000"
2020년05월_계_30~39세,"4,701",686,"1,657","1,411",947
2020년05월_계_40~49세,"8,436","1,129","3,224","2,520","1,563"
2020년05월_계_50~59세,"6,850","1,273","3,458",663,"1,456"
2020년05월_계_60~69세,"4,166",905,"2,045",91,"1,125"
2020년05월_계_70~79세,"1,957",373,"1,096",54,434
2020년05월_계_80~89세,"1,068",164,675,26,203
2020년05월_계_90~99세,169,38,97,3,31
2020년05월_계_100세 이상,10,3,5,0,2
2020년05월_남_총인구수,"21,272","3,315","8,992","4,620","4,345"
2020년05월_남_연령구간인구수,"21,272","3,315","8,992","4,620","4,345"
2020년05월_남_0~9세,"2,053",313,671,680,389
2020년05월_남_10~19세,"3,382",459,"1,276","1,057",590
2020년05월_남_20~29세,"2,710",380,"1,297",443,590
2020년05월_남_30~39세,"2,316",327,841,680,468
2020년05월_남_40~49세,"4,087",525,"1,524","1,304",734
2020년05월_남_50~59세,"3,454",629,"1,693",411,721
2020년05월_남_60~69세,"2,017",448,987,22,560
2020년05월_남_70~79세,879,181,472,14,212
2020년05월_남_80~89세,337,48,209,8,72
2020년05월_남_90~99세,37,5,22,1,9
2020년05월_남_100세 이상,0,0,0,0,0
2020년05월_여_총인구수,"21,424","3,500","9,304","4,309","4,311"
2020년05월_여_연령구간인구수,"21,424","3,500","9,304","4,309","4,311"
2020년05월_여_0~9세,"1,984",314,603,682,385
2020년05월_여_10~19세,"3,074",445,"1,130",968,531
2020년05월_여_20~29세,"2,136",333,"1,062",331,410
2020년05월_여_30~39세,"2,385",359,816,731,479
2020년05월_여_40~49세,"4,349",604,"1,700","1,216",829
2020년05월_여_50~59세,"3,396",644,"1,765",252,735
2020년05월_여_60~69세,"2,149",457,"1,058",69,565
2020년05월_여_70~79세,"1,078",192,624,40,222
2020년05월_여_80~89세,731,116,466,18,131
2020년05월_여_90~99세,132,33,75,2,22
2020년05월_여_100세 이상,10,3,5,0,2
