카테고리,인천광역시 강화군,인천광역시 강화군 강화읍,인천광역시 강화군 선원면,인천광역시 강화군 불은면,인천광역시 강화군 길상면,인천광역시 강화군 화도면,인천광역시 강화군 양도면,인천광역시 강화군 내가면,인천광역시 강화군 하점면,인천광역시 강화군 양사면,인천광역시 강화군 송해면,인천광역시 강화군 교동면,인천광역시 강화군 삼산면,인천광역시 강화군 서도면,인천광역시 강화군 서도면볼음출장소
2021년11월_계_총인구수,"69,502","22,698","7,985","4,892","7,139","4,552","4,289","3,051","4,020","1,874","3,281","2,863","2,206",388,264
2021년11월_계_연령구간인구수,"69,502","22,698","7,985","4,892","7,139","4,552","4,289","3,051","4,020","1,874","3,281","2,863","2,206",388,264
2021년11월_계_0~9세,"3,217","1,435",482,158,292,145,160,83,134,69,126,59,59,9,6
2021년11월_계_10~19세,"4,539","2,154",689,209,402,202,216,104,142,71,135,108,88,17,2
2021년11월_계_20~29세,"5,120","2,202",683,303,488,255,242,156,215,91,196,149,110,20,10
2021년11월_계_30~39세,"5,189","2,093",661,297,596,312,246,191,236,73,206,141,108,21,8
2021년11월_계_40~49세,"7,638","3,189","1,101",426,752,383,401,233,316,150,276,191,185,23,12
2021년11월_계_50~59세,"11,712","3,751","1,325",806,"1,320",769,733,509,631,326,562,505,367,64,44
2021년11월_계_60~69세,"15,298","3,879","1,549","1,333","1,769","1,214","1,054",815,984,449,756,697,612,103,84
2021년11월_계_70~79세,"9,956","2,448",898,777,945,779,702,593,766,363,589,587,379,70,60
2021년11월_계_80~89세,"5,925","1,370",510,485,484,406,457,327,537,251,382,377,257,51,31
2021년11월_계_90~99세,890,174,87,97,89,84,75,38,58,31,51,48,41,10,7
2021년11월_계_100세 이상,18,3,0,1,2,3,3,2,1,0,2,1,0,0,0
2021년11월_남_총인구수,"34,782","11,205","3,962","2,451","3,588","2,316","2,166","1,497","2,060",925,"1,641","1,474","1,149",202,146
2021년11월_남_연령구간인구수,"34,782","11,205","3,962","2,451","3,588","2,316","2,166","1,497","2,060",925,"1,641","1,474","1,149",202,146
2021년11월_남_0~9세,"1,686",778,220,73,146,72,91,53,74,38,67,31,35,5,3
2021년11월_남_10~19세,"2,323","1,074",354,105,208,117,111,52,76,32,68,57,57,10,2
2021년11월_남_20~29세,"2,941","1,231",392,170,292,152,146,83,141,52,110,93,61,12,6
2021년11월_남_30~39세,"2,712","1,077",335,154,309,177,134,97,123,33,118,78,61,10,6
2021년11월_남_40~49세,"4,121","1,617",565,241,425,226,225,128,180,80,165,126,118,16,9
2021년11월_남_50~59세,"6,048","1,914",672,418,649,372,392,257,341,188,307,280,198,35,25
2021년11월_남_60~69세,"7,651","1,872",768,670,877,623,540,397,519,223,373,358,328,53,50
2021년11월_남_70~79세,"4,728","1,094",437,407,461,378,325,291,369,166,281,278,172,42,27
2021년11월_남_80~89세,"2,354",504,199,190,205,175,182,128,226,107,137,159,110,16,16
2021년11월_남_90~99세,214,44,20,22,14,24,20,10,11,6,15,14,9,3,2
2021년11월_남_100세 이상,4,0,0,1,2,0,0,1,0,0,0,0,0,0,0
2021년11월_여_총인구수,"34,720","11,493","4,023","2,441","3,551","2,236","2,123","1,554","1,960",949,"1,640","1,389","1,057",186,118
2021년11월_여_연령구간인구수,"34,720","11,493","4,023","2,441","3,551","2,236","2,123","1,554","1,960",949,"1,640","1,389","1,057",186,118
2021년11월_여_0~9세,"1,531",657,262,85,146,73,69,30,60,31,59,28,24,4,3
2021년11월_여_10~19세,"2,216","1,080",335,104,194,85,105,52,66,39,67,51,31,7,0
2021년11월_여_20~29세,"2,179",971,291,133,196,103,96,73,74,39,86,56,49,8,4
2021년11월_여_30~39세,"2,477","1,016",326,143,287,135,112,94,113,40,88,63,47,11,2
2021년11월_여_40~49세,"3,517","1,572",536,185,327,157,176,105,136,70,111,65,67,7,3
2021년11월_여_50~59세,"5,664","1,837",653,388,671,397,341,252,290,138,255,225,169,29,19
2021년11월_여_60~69세,"7,647","2,007",781,663,892,591,514,418,465,226,383,339,284,50,34
2021년11월_여_70~79세,"5,228","1,354",461,370,484,401,377,302,397,197,308,309,207,28,33
2021년11월_여_80~89세,"3,571",866,311,295,279,231,275,199,311,144,245,218,147,35,15
2021년11월_여_90~99세,676,130,67,75,75,60,55,28,47,25,36,34,32,7,5
2021년11월_여_100세 이상,14,3,0,0,0,3,3,1,1,0,2,1,0,0,0
