카테고리,부산광역시 부산진구,부산광역시 부산진구 부전제1동,부산광역시 부산진구 부전제2동,부산광역시 부산진구 연지동,부산광역시 부산진구 초읍동,부산광역시 부산진구 양정제1동,부산광역시 부산진구 양정제2동,부산광역시 부산진구 전포제1동,부산광역시 부산진구 전포제2동,부산광역시 부산진구 부암제1동,부산광역시 부산진구 부암제3동,부산광역시 부산진구 당감제1동,부산광역시 부산진구 당감제2동,부산광역시 부산진구 당감제4동,부산광역시 부산진구 가야제1동,부산광역시 부산진구 가야제2동,부산광역시 부산진구 개금제1동,부산광역시 부산진구 개금제2동,부산광역시 부산진구 개금제3동,부산광역시 부산진구 범천제1동,부산광역시 부산진구 범천제2동
2021년02월_계_총인구수,"360,025","15,740","9,923","21,018","22,365","20,417","12,906","22,426","21,129","23,116","17,880","23,713","10,438","11,602","19,668","17,081","17,085","11,283","29,361","12,075","20,799"
2021년02월_계_연령구간인구수,"360,025","15,740","9,923","21,018","22,365","20,417","12,906","22,426","21,129","23,116","17,880","23,713","10,438","11,602","19,668","17,081","17,085","11,283","29,361","12,075","20,799"
2021년02월_계_0~9세,"21,147",636,618,"1,464","1,303","1,162",556,"1,420",972,"1,963","1,130","1,166",759,673,881,"1,014","1,242",623,"1,818",502,"1,245"
2021년02월_계_10~19세,"24,880",549,461,"1,861","1,569","1,536",590,"1,297","1,178","1,874","1,910","1,963",699,925,"1,204","1,382","1,010",839,"2,499",480,"1,054"
2021년02월_계_20~29세,"52,714","3,454","1,912","2,121","2,268","2,931","2,962","4,739","3,429","2,556","2,019","2,905","1,346","1,268","3,130","2,123","3,247","1,565","3,623","2,512","2,604"
2021년02월_계_30~39세,"48,034","2,454","1,776","2,347","2,425","2,484","2,248","4,254","3,007","3,080","1,731","2,362","1,640","1,305","2,271","1,855","2,740","1,166","3,390","2,296","3,203"
2021년02월_계_40~49세,"51,633","1,793","1,474","3,374","3,157","2,980","1,779","3,111","2,957","3,789","2,893","3,413","1,506","1,749","2,672","2,432","2,433","1,530","4,254","1,552","2,785"
2021년02월_계_50~59세,"58,286","2,503","1,531","3,291","3,659","3,601","1,641","2,808","3,070","3,747","3,338","4,456","1,491","2,245","3,340","2,854","2,544","1,936","5,318","1,686","3,227"
2021년02월_계_60~69세,"56,511","2,422","1,316","3,495","4,091","3,100","1,618","2,489","3,344","3,295","2,759","4,143","1,657","1,911","3,391","2,984","2,130","1,948","5,088","1,673","3,657"
2021년02월_계_70~79세,"31,843","1,304",561,"2,107","2,690","1,712","1,012","1,511","2,153","1,987","1,473","2,161",921,"1,051","1,971","1,714","1,205","1,155","2,225",885,"2,045"
2021년02월_계_80~89세,"13,161",541,221,835,"1,068",808,436,693,914,709,545,985,375,422,720,626,480,476,"1,025",430,852
2021년02월_계_90~99세,"1,582",68,46,116,123,91,55,87,92,85,69,146,37,46,80,84,52,42,112,50,101
2021년02월_계_100세 이상,234,16,7,7,12,12,9,17,13,31,13,13,7,7,8,13,2,3,9,9,26
2021년02월_남_총인구수,"173,763","7,864","4,952","9,936","10,856","9,640","5,913","10,747","9,934","11,296","8,767","11,322","4,997","5,690","9,808","8,316","8,159","5,521","14,197","5,744","10,104"
2021년02월_남_연령구간인구수,"173,763","7,864","4,952","9,936","10,856","9,640","5,913","10,747","9,934","11,296","8,767","11,322","4,997","5,690","9,808","8,316","8,159","5,521","14,197","5,744","10,104"
2021년02월_남_0~9세,"10,717",320,333,725,677,581,285,721,504,"1,026",573,570,386,350,428,510,625,289,938,238,638
2021년02월_남_10~19세,"12,637",287,223,933,863,769,281,649,602,943,971,"1,011",350,452,615,718,480,429,"1,252",245,564
2021년02월_남_20~29세,"25,750","1,553",922,"1,119","1,226","1,441","1,174","2,099","1,591","1,307","1,108","1,567",650,683,"1,715","1,123","1,425",843,"1,904","1,077","1,223"
2021년02월_남_30~39세,"24,488","1,312",939,"1,205","1,240","1,209","1,082","2,196","1,500","1,515",873,"1,223",818,678,"1,216",943,"1,384",635,"1,683","1,159","1,678"
2021년02월_남_40~49세,"26,085",995,793,"1,607","1,593","1,457",889,"1,572","1,442","1,914","1,397","1,657",770,889,"1,445","1,196","1,270",779,"2,120",804,"1,496"
2021년02월_남_50~59세,"28,267","1,359",742,"1,519","1,757","1,697",837,"1,388","1,467","1,817","1,645","2,105",706,"1,096","1,650","1,371","1,255",946,"2,484",867,"1,559"
2021년02월_남_60~69세,"26,560","1,228",660,"1,562","1,864","1,458",745,"1,185","1,513","1,598","1,310","1,935",739,924,"1,574","1,361",974,910,"2,459",799,"1,762"
2021년02월_남_70~79세,"14,080",593,252,918,"1,201",719,438,658,937,898,681,906,413,464,881,809,554,505,998,385,870
2021년02월_남_80~89세,"4,769",200,75,314,409,280,166,255,357,248,193,318,152,145,269,258,183,174,337,154,282
2021년02월_남_90~99세,362,14,13,32,25,25,12,21,17,23,13,29,12,7,15,24,9,10,21,14,26
2021년02월_남_100세 이상,48,3,0,2,1,4,4,3,4,7,3,1,1,2,0,3,0,1,1,2,6
2021년02월_여_총인구수,"186,262","7,876","4,971","11,082","11,509","10,777","6,993","11,679","11,195","11,820","9,113","12,391","5,441","5,912","9,860","8,765","8,926","5,762","15,164","6,331","10,695"
2021년02월_여_연령구간인구수,"186,262","7,876","4,971","11,082","11,509","10,777","6,993","11,679","11,195","11,820","9,113","12,391","5,441","5,912","9,860","8,765","8,926","5,762","15,164","6,331","10,695"
2021년02월_여_0~9세,"10,430",316,285,739,626,581,271,699,468,937,557,596,373,323,453,504,617,334,880,264,607
2021년02월_여_10~19세,"12,243",262,238,928,706,767,309,648,576,931,939,952,349,473,589,664,530,410,"1,247",235,490
2021년02월_여_20~29세,"26,964","1,901",990,"1,002","1,042","1,490","1,788","2,640","1,838","1,249",911,"1,338",696,585,"1,415","1,000","1,822",722,"1,719","1,435","1,381"
2021년02월_여_30~39세,"23,546","1,142",837,"1,142","1,185","1,275","1,166","2,058","1,507","1,565",858,"1,139",822,627,"1,055",912,"1,356",531,"1,707","1,137","1,525"
2021년02월_여_40~49세,"25,548",798,681,"1,767","1,564","1,523",890,"1,539","1,515","1,875","1,496","1,756",736,860,"1,227","1,236","1,163",751,"2,134",748,"1,289"
2021년02월_여_50~59세,"30,019","1,144",789,"1,772","1,902","1,904",804,"1,420","1,603","1,930","1,693","2,351",785,"1,149","1,690","1,483","1,289",990,"2,834",819,"1,668"
2021년02월_여_60~69세,"29,951","1,194",656,"1,933","2,227","1,642",873,"1,304","1,831","1,697","1,449","2,208",918,987,"1,817","1,623","1,156","1,038","2,629",874,"1,895"
2021년02월_여_70~79세,"17,763",711,309,"1,189","1,489",993,574,853,"1,216","1,089",792,"1,255",508,587,"1,090",905,651,650,"1,227",500,"1,175"
