카테고리,경기도 동두천시,경기도 동두천시 생연1동,경기도 동두천시 생연2동,경기도 동두천시 중앙동,경기도 동두천시 보산동,경기도 동두천시 불현동,경기도 동두천시 송내동,경기도 동두천시 소요동,경기도 동두천시 상패동
2020년04월_계_총인구수,"94,191","6,933","11,505","5,178","3,136","27,900","25,881","8,619","5,039"
2020년04월_계_연령구간인구수,"94,191","6,933","11,505","5,178","3,136","27,900","25,881","8,619","5,039"
2020년04월_계_0~9세,"6,663",487,784,154,171,"2,112","2,396",386,173
2020년04월_계_10~19세,"8,841",573,"1,211",234,200,"2,804","3,054",496,269
2020년04월_계_20~29세,"11,164",768,"1,285",505,355,"3,525","3,306",914,506
2020년04월_계_30~39세,"10,402",791,"1,138",452,303,"3,175","3,273",795,475
2020년04월_계_40~49세,"14,615",973,"1,880",607,396,"4,327","4,679","1,109",644
2020년04월_계_50~59세,"16,379","1,253","1,946","1,087",596,"4,903","3,955","1,629","1,010"
2020년04월_계_60~69세,"12,617","1,044","1,483","1,054",513,"3,561","2,441","1,576",945
2020년04월_계_70~79세,"8,697",656,"1,146",654,404,"2,284","1,807","1,094",652
2020년04월_계_80~89세,"4,155",343,565,336,176,"1,067",841,523,304
2020년04월_계_90~99세,577,42,59,73,20,129,125,76,53
2020년04월_계_100세 이상,81,3,8,22,2,13,4,21,8
2020년04월_남_총인구수,"47,015","3,429","5,685","2,687","1,475","13,817","12,766","4,489","2,667"
2020년04월_남_연령구간인구수,"47,015","3,429","5,685","2,687","1,475","13,817","12,766","4,489","2,667"
2020년04월_남_0~9세,"3,464",258,435,92,83,"1,064","1,240",196,96
2020년04월_남_10~19세,"4,456",270,613,120,87,"1,408","1,541",276,141
2020년04월_남_20~29세,"6,059",424,717,267,206,"1,915","1,712",520,298
2020년04월_남_30~39세,"5,369",403,564,272,152,"1,614","1,658",431,275
2020년04월_남_40~49세,"7,499",503,965,351,204,"2,142","2,318",639,377
2020년04월_남_50~59세,"8,663",645,"1,017",624,298,"2,544","2,078",890,567
2020년04월_남_60~69세,"6,154",514,680,547,245,"1,757","1,118",798,495
2020년04월_남_70~79세,"3,628",269,449,275,145,942,743,508,297
2020년04월_남_80~89세,"1,539",129,229,104,50,397,324,202,104
2020년04월_남_90~99세,166,14,14,30,5,31,33,25,14
2020년04월_남_100세 이상,18,0,2,5,0,3,1,4,3
2020년04월_여_총인구수,"47,176","3,504","5,820","2,491","1,661","14,083","13,115","4,130","2,372"
2020년04월_여_연령구간인구수,"47,176","3,504","5,820","2,491","1,661","14,083","13,115","4,130","2,372"
2020년04월_여_0~9세,"3,199",229,349,62,88,"1,048","1,156",190,77
2020년04월_여_10~19세,"4,385",303,598,114,113,"1,396","1,513",220,128
2020년04월_여_20~29세,"5,105",344,568,238,149,"1,610","1,594",394,208
2020년04월_여_30~39세,"5,033",388,574,180,151,"1,561","1,615",364,200
2020년04월_여_40~49세,"7,116",470,915,256,192,"2,185","2,361",470,267
2020년04월_여_50~59세,"7,716",608,929,463,298,"2,359","1,877",739,443
2020년04월_여_60~69세,"6,463",530,803,507,268,"1,804","1,323",778,450
2020년04월_여_70~79세,"5,069",387,697,379,259,"1,342","1,064",586,355
2020년04월_여_80~89세,"2,616",214,336,232,126,670,517,321,200
2020년04월_여_90~99세,411,28,45,43,15,98,92,51,39
2020년04월_여_100세 이상,63,3,6,17,2,10,3,17,5
