,강원도 홍천군,강원도 홍천군 홍천읍,강원도 홍천군 화촌면,강원도 홍천군 두촌면,강원도 홍천군 내촌면,강원도 홍천군 서석면,강원도 홍천군 동면,강원도 홍천군 남면,강원도 홍천군 서면,강원도 홍천군 북방면,강원도 홍천군 내면
2021년05월_계_총인구수,"68,597","34,395","4,608","2,433","2,365","3,734","3,984","6,237","3,775","3,897","3,169"
2021년05월_계_연령구간인구수,"68,597","34,395","4,608","2,433","2,365","3,734","3,984","6,237","3,775","3,897","3,169"
2021년05월_계_0~9세,"3,718","2,543",122,48,47,127,106,387,100,115,123
2021년05월_계_10~19세,"5,048","3,461",156,108,71,185,186,432,117,194,138
2021년05월_계_20~29세,"6,684","4,067",375,148,119,276,232,797,223,263,184
2021년05월_계_30~39세,"5,903","3,771",285,109,95,203,218,588,223,231,180
2021년05월_계_40~49세,"8,077","5,220",391,156,177,292,329,536,351,364,261
2021년05월_계_50~59세,"12,343","5,909",765,440,466,767,744,986,728,797,741
2021년05월_계_60~69세,"14,447","5,231","1,303",715,737,"1,032","1,133","1,299","1,101","1,026",870
2021년05월_계_70~79세,"7,241","2,527",696,399,374,487,621,669,554,508,406
2021년05월_계_80~89세,"4,462","1,438",436,258,248,320,372,475,319,360,236
2021년05월_계_90~99세,641,211,76,51,30,41,40,68,57,38,29
2021년05월_계_100세 이상,33,17,3,1,1,4,3,0,2,1,1
2021년05월_남_총인구수,"35,339","17,407","2,438","1,218","1,235","1,911","2,068","3,332","1,995","2,046","1,689"
2021년05월_남_연령구간인구수,"35,339","17,407","2,438","1,218","1,235","1,911","2,068","3,332","1,995","2,046","1,689"
2021년05월_남_0~9세,"1,889","1,279",63,28,32,68,50,192,52,55,70
2021년05월_남_10~19세,"2,573","1,789",84,57,35,97,113,167,59,106,66
2021년05월_남_20~29세,"4,065","2,342",251,88,70,176,140,596,132,151,119
2021년05월_남_30~39세,"3,222","2,011",167,57,55,104,127,325,150,133,93
2021년05월_남_40~49세,"4,326","2,623",254,92,120,155,197,314,210,216,145
2021년05월_남_50~59세,"6,524","3,079",420,235,244,404,394,527,372,434,415
2021년05월_남_60~69세,"7,545","2,627",681,372,388,541,592,701,608,562,473
2021년05월_남_70~79세,"3,431","1,094",359,183,194,243,308,322,268,251,209
2021년05월_남_80~89세,"1,608",511,140,97,87,113,136,174,126,133,91
2021년05월_남_90~99세,152,51,19,9,10,9,10,14,18,5,7
2021년05월_남_100세 이상,4,1,0,0,0,1,1,0,0,0,1
2021년05월_여_총인구수,"33,258","16,988","2,170","1,215","1,130","1,823","1,916","2,905","1,780","1,851","1,480"
2021년05월_여_연령구간인구수,"33,258","16,988","2,170","1,215","1,130","1,823","1,916","2,905","1,780","1,851","1,480"
2021년05월_여_0~9세,"1,829","1,264",59,20,15,59,56,195,48,60,53
2021년05월_여_10~19세,"2,475","1,672",72,51,36,88,73,265,58,88,72
2021년05월_여_20~29세,"2,619","1,725",124,60,49,100,92,201,91,112,65
2021년05월_여_30~39세,"2,681","1,760",118,52,40,99,91,263,73,98,87
2021년05월_여_40~49세,"3,751","2,597",137,64,57,137,132,222,141,148,116
2021년05월_여_50~59세,"5,819","2,830",345,205,222,363,350,459,356,363,326
2021년05월_여_60~69세,"6,902","2,604",622,343,349,491,541,598,493,464,397
2021년05월_여_70~79세,"3,810","1,433",337,216,180,244,313,347,286,257,197
2021년05월_여_80~89세,"2,854",927,296,161,161,207,236,301,193,227,145
2021년05월_여_90~99세,489,160,57,42,20,32,30,54,39,33,22
2021년05월_여_100세 이상,29,16,3,1,1,3,2,0,2,1,0
