,경상북도 예천군,경상북도 예천군 예천읍,경상북도 예천군 용문면,경상북도 예천군 감천면,경상북도 예천군 보문면,경상북도 예천군 호명면,경상북도 예천군 유천면,경상북도 예천군 용궁면,경상북도 예천군 개포면,경상북도 예천군 지보면,경상북도 예천군 풍양면,경상북도 예천군 효자면,경상북도 예천군 은풍면
2020년11월_계_총인구수,"55,558","14,840","2,322","2,655","1,702","19,065","2,537","2,461","1,529","2,726","3,173","1,186","1,362"
2020년11월_계_연령구간인구수,"55,558","14,840","2,322","2,655","1,702","19,065","2,537","2,461","1,529","2,726","3,173","1,186","1,362"
2020년11월_계_0~9세,"4,625",795,67,62,55,"3,264",152,50,21,49,52,24,34
2020년11월_계_10~19세,"4,340","1,219",110,78,57,"2,291",109,88,43,84,124,60,77
2020년11월_계_20~29세,"4,112","1,339",88,145,57,"1,687",219,117,55,91,199,48,67
2020년11월_계_30~39세,"5,478","1,172",75,109,80,"3,344",226,107,45,110,112,38,60
2020년11월_계_40~49세,"7,083","1,902",183,164,120,"3,539",236,202,100,200,243,87,107
2020년11월_계_50~59세,"8,092","2,486",355,427,263,"2,247",328,373,226,427,501,242,217
2020년11월_계_60~69세,"9,355","2,864",510,681,412,"1,415",441,574,385,690,738,340,305
2020년11월_계_70~79세,"6,885","1,841",499,509,346,734,422,531,344,574,640,176,269
2020년11월_계_80~89세,"4,894","1,053",388,420,277,470,348,365,281,442,509,145,196
2020년11월_계_90~99세,660,163,44,56,35,71,54,50,27,55,53,25,27
2020년11월_계_100세 이상,34,6,3,4,0,3,2,4,2,4,2,1,3
2020년11월_남_총인구수,"27,330","7,333","1,155","1,319",839,"9,382","1,252","1,190",735,"1,341","1,522",585,677
2020년11월_남_연령구간인구수,"27,330","7,333","1,155","1,319",839,"9,382","1,252","1,190",735,"1,341","1,522",585,677
2020년11월_남_0~9세,"2,368",399,39,35,28,"1,667",79,25,7,27,30,13,19
2020년11월_남_10~19세,"2,310",688,67,37,36,"1,181",58,47,26,42,59,34,35
2020년11월_남_20~29세,"2,320",783,52,100,32,878,139,63,35,53,121,23,41
2020년11월_남_30~39세,"2,767",610,40,64,42,"1,583",127,67,27,73,81,16,37
2020년11월_남_40~49세,"3,872","1,027",122,113,82,"1,766",160,134,67,140,144,53,64
2020년11월_남_50~59세,"4,223","1,224",204,229,159,"1,128",192,198,134,241,269,120,125
2020년11월_남_60~69세,"4,637","1,360",270,358,219,696,196,276,197,352,364,192,157
2020년11월_남_70~79세,"3,058",835,218,216,145,323,189,236,145,269,275,88,119
2020년11월_남_80~89세,"1,651",377,133,152,88,149,101,135,95,136,172,39,74
2020년11월_남_90~99세,121,29,10,14,8,11,11,9,2,7,7,7,6
2020년11월_남_100세 이상,3,1,0,1,0,0,0,0,0,1,0,0,0
2020년11월_여_총인구수,"28,228","7,507","1,167","1,336",863,"9,683","1,285","1,271",794,"1,385","1,651",601,685
2020년11월_여_연령구간인구수,"28,228","7,507","1,167","1,336",863,"9,683","1,285","1,271",794,"1,385","1,651",601,685
2020년11월_여_0~9세,"2,257",396,28,27,27,"1,597",73,25,14,22,22,11,15
2020년11월_여_10~19세,"2,030",531,43,41,21,"1,110",51,41,17,42,65,26,42
2020년11월_여_20~29세,"1,792",556,36,45,25,809,80,54,20,38,78,25,26
2020년11월_여_30~39세,"2,711",562,35,45,38,"1,761",99,40,18,37,31,22,23
2020년11월_여_40~49세,"3,211",875,61,51,38,"1,773",76,68,33,60,99,34,43
2020년11월_여_50~59세,"3,869","1,262",151,198,104,"1,119",136,175,92,186,232,122,92
2020년11월_여_60~69세,"4,718","1,504",240,323,193,719,245,298,188,338,374,148,148
2020년11월_여_70~79세,"3,827","1,006",281,293,201,411,233,295,199,305,365,88,150
2020년11월_여_80~89세,"3,243",676,255,268,189,321,247,230,186,306,337,106,122
2020년11월_여_90~99세,539,134,34,42,27,60,43,41,25,48,46,18,21
2020년11월_여_100세 이상,31,5,3,3,0,3,2,4,2,3,2,1,3
