,강원도,강원도 춘천시,강원도 원주시,강원도 강릉시,강원도 동해시,강원도 태백시,강원도 속초시,강원도 삼척시,강원도 홍천군,강원도 횡성군,강원도 영월군,강원도 평창군,강원도 정선군,강원도 철원군,강원도 화천군,강원도 양구군,강원도 인제군,강원도 고성군,강원도 양양군
2021년04월_계_총인구수,"1,536,175","282,326","354,536","212,890","89,868","42,183","82,302","64,355","68,681","46,510","38,417","41,188","35,990","44,169","24,446","22,114","31,508","26,760","27,932"
2021년04월_계_연령구간인구수,"1,536,175","282,326","354,536","212,890","89,868","42,183","82,302","64,355","68,681","46,510","38,417","41,188","35,990","44,169","24,446","22,114","31,508","26,760","27,932"
2021년04월_계_0~9세,"103,764","21,317","27,915","13,235","6,494","2,467","5,782","3,727","3,730","2,135","1,632","1,826","1,705","3,311","1,768","1,675","2,429","1,292","1,324"
2021년04월_계_10~19세,"135,834","26,743","35,553","18,699","8,637","3,754","7,324","5,119","5,081","3,554","2,915","2,810","2,483","3,695","1,738","2,042","2,268","1,603","1,816"
2021년04월_계_20~29세,"177,456","37,239","45,269","24,920","9,284","3,596","8,908","6,974","6,728","3,797","3,153","3,337","2,717","5,596","3,755","3,064","4,063","2,707","2,349"
2021년04월_계_30~39세,"164,049","34,006","45,121","21,424","8,916","3,608","9,082","5,534","5,945","3,390","2,724","2,974","2,944","4,633","2,820","2,510","3,831","2,259","2,328"
2021년04월_계_40~49세,"221,735","42,119","56,835","32,108","14,396","6,315","12,326","8,755","8,108","5,039","4,503","5,222","4,777","5,614","2,641","2,502","3,933","3,043","3,499"
2021년04월_계_50~59세,"264,796","46,685","60,728","36,443","15,573","7,207","15,006","11,108","12,392","8,597","7,217","7,869","6,790","7,022","3,822","3,484","5,107","4,742","5,004"
2021년04월_계_60~69세,"248,600","39,409","47,253","34,572","14,182","7,846","13,190","11,393","14,327","10,566","8,270","9,059","7,586","6,958","3,933","3,495","5,445","5,392","5,724"
2021년04월_계_70~79세,"134,410","20,840","21,523","19,615","7,989","4,887","6,783","7,100","7,247","5,539","4,822","4,929","4,433","4,660","2,337","1,994","2,635","3,449","3,628"
2021년04월_계_80~89세,"73,713","12,007","12,408","10,118","3,863","2,191","3,277","4,020","4,444","3,345","2,797","2,778","2,225","2,294","1,401","1,172","1,541","1,913","1,919"
2021년04월_계_90~99세,"11,331","1,899","1,870","1,679",523,288,605,595,645,521,359,367,313,367,221,161,249,342,327
2021년04월_계_100세 이상,487,62,61,77,11,24,19,30,34,27,25,17,17,19,10,15,7,18,14
2021년04월_남_총인구수,"773,037","139,412","175,863","105,527","45,622","21,370","40,771","32,532","35,370","23,861","19,859","21,139","18,737","22,948","13,278","11,701","17,047","13,762","14,238"
2021년04월_남_연령구간인구수,"773,037","139,412","175,863","105,527","45,622","21,370","40,771","32,532","35,370","23,861","19,859","21,139","18,737","22,948","13,278","11,701","17,047","13,762","14,238"
2021년04월_남_0~9세,"53,087","10,950","14,217","6,835","3,337","1,305","2,938","1,892","1,886","1,132",858,906,873,"1,665",891,840,"1,228",662,672
2021년04월_남_10~19세,"70,583","13,884","18,380","9,786","4,509","1,946","3,793","2,617","2,597","1,860","1,584","1,478","1,287","1,922",876,"1,022","1,195",872,975
2021년04월_남_20~29세,"99,831","19,885","24,098","13,646","5,470","2,072","5,001","3,895","4,084","2,157","1,837","1,982","1,565","3,639","2,625","2,052","2,706","1,727","1,390"
2021년04월_남_30~39세,"86,151","17,352","22,900","11,245","4,763","1,917","4,867","2,985","3,248","1,773","1,477","1,604","1,644","2,556","1,665","1,395","2,205","1,283","1,272"
2021년04월_남_40~49세,"113,843","20,832","28,004","16,361","7,494","3,346","6,185","4,817","4,346","2,804","2,459","2,852","2,783","3,005","1,449","1,347","2,186","1,671","1,902"
2021년04월_남_50~59세,"136,524","23,465","30,552","18,387","8,073","3,863","7,412","6,018","6,545","4,573","4,010","4,226","3,762","3,727","2,074","1,860","2,725","2,565","2,687"
2021년04월_남_60~69세,"123,761","19,097","23,367","16,475","6,856","3,865","6,366","5,714","7,474","5,516","4,316","4,731","4,001","3,439","2,113","1,866","2,927","2,756","2,882"
2021년04월_남_70~79세,"60,433","9,156","9,584","8,794","3,627","2,175","2,955","3,130","3,432","2,695","2,197","2,289","1,988","2,074","1,044",863,"1,261","1,481","1,688"
2021년04월_남_80~89세,"26,222","4,306","4,332","3,654","1,393",806,"1,133","1,351","1,596","1,232","1,011",997,770,831,487,412,544,665,702
2021년04월_남_90~99세,"2,479",467,418,324,98,65,115,108,158,115,101,70,57,85,50,38,66,77,67
2021년04월_남_100세 이상,123,18,11,20,2,10,6,5,4,4,9,4,7,5,4,6,4,3,1
2021년04월_여_총인구수,"763,138","142,914","178,673","107,363","44,246","20,813","41,531","31,823","33,311","22,649","18,558","20,049","17,253","21,221","11,168","10,413","14,461","12,998","13,694"
2021년04월_여_연령구간인구수,"763,138","142,914","178,673","107,363","44,246","20,813","41,531","31,823","33,311","22,649","18,558","20,049","17,253","21,221","11,168","10,413","14,461","12,998","13,694"
2021년04월_여_0~9세,"50,677","10,367","13,698","6,400","3,157","1,162","2,844","1,835","1,844","1,003",774,920,832,"1,646",877,835,"1,201",630,652
2021년04월_여_10~19세,"65,251","12,859","17,173","8,913","4,128","1,808","3,531","2,502","2,484","1,694","1,331","1,332","1,196","1,773",862,"1,020","1,073",731,841
2021년04월_여_20~29세,"77,625","17,354","21,171","11,274","3,814","1,524","3,907","3,079","2,644","1,640","1,316","1,355","1,152","1,957","1,130","1,012","1,357",980,959
2021년04월_여_30~39세,"77,898","16,654","22,221","10,179","4,153","1,691","4,215","2,549","2,697","1,617","1,247","1,370","1,300","2,077","1,155","1,115","1,626",976,"1,056"
2021년04월_여_40~49세,"107,892","21,287","28,831","15,747","6,902","2,969","6,141","3,938","3,762","2,235","2,044","2,370","1,994","2,609","1,192","1,155","1,747","1,372","1,597"
2021년04월_여_50~59세,"128,272","23,220","30,176","18,056","7,500","3,344","7,594","5,090","5,847","4,024","3,207","3,643","3,028","3,295","1,748","1,624","2,382","2,177","2,317"
2021년04월_여_60~69세,"124,839","20,312","23,886","18,097","7,326","3,981","6,824","5,679","6,853","5,050","3,954","4,328","3,585","3,519","1,820","1,629","2,518","2,636","2,842"
2021년04월_여_70~79세,"73,977","11,684","11,939","10,821","4,362","2,712","3,828","3,970","3,815","2,844","2,625","2,640","2,445","2,586","1,293","1,131","1,374","1,968","1,940"
2021년04월_여_80~89세,"47,491","7,701","8,076","6,464","2,470","1,385","2,144","2,669","2,848","2,113","1,786","1,781","1,455","1,463",914,760,997,"1,248","1,217"
2021년04월_여_90~99세,"8,852","1,432","1,452","1,355",425,223,490,487,487,406,258,297,256,282,171,123,183,265,260
2021년04월_여_100세 이상,364,44,50,57,9,14,13,25,30,23,16,13,10,14,6,9,3,15,13
