,강원도 철원군,강원도 철원군 철원읍,강원도 철원군 김화읍,강원도 철원군 갈말읍,강원도 철원군 동송읍,강원도 철원군 서면,강원도 철원군 서면와수출장소,강원도 철원군 근남면,강원도 철원군 근북면,강원도 철원군 근동면,강원도 철원군 원동면,강원도 철원군 원남면,강원도 철원군 임남면
2020년05월_계_총인구수,"45,084","5,494","3,683","12,166","15,541","1,996","3,864","2,228",112,0,0,0,0
2020년05월_계_연령구간인구수,"45,084","5,494","3,683","12,166","15,541","1,996","3,864","2,228",112,0,0,0,0
2020년05월_계_0~9세,"3,383",421,380,826,"1,189",148,244,175,0,0,0,0,0
2020년05월_계_10~19세,"3,914",515,254,"1,034","1,498",101,366,142,4,0,0,0,0
2020년05월_계_20~29세,"6,001",708,605,"1,676","1,843",437,443,287,2,0,0,0,0
2020년05월_계_30~39세,"4,775",578,476,"1,243","1,623",233,381,237,4,0,0,0,0
2020년05월_계_40~49세,"5,803",703,383,"1,659","2,100",197,550,201,10,0,0,0,0
2020년05월_계_50~59세,"7,379",910,503,"2,094","2,591",245,660,361,15,0,0,0,0
2020년05월_계_60~69세,"6,470",735,478,"1,778","2,226",267,579,385,22,0,0,0,0
2020년05월_계_70~79세,"4,813",616,374,"1,231","1,625",228,399,298,42,0,0,0,0
2020년05월_계_80~89세,"2,155",271,194,523,710,115,203,126,13,0,0,0,0
2020년05월_계_90~99세,346,35,34,92,114,21,35,15,0,0,0,0,0
2020년05월_계_100세 이상,45,2,2,10,22,4,4,1,0,0,0,0,0
2020년05월_남_총인구수,"23,475","2,819","1,974","6,536","7,829","1,122","1,953","1,190",52,0,0,0,0
2020년05월_남_연령구간인구수,"23,475","2,819","1,974","6,536","7,829","1,122","1,953","1,190",52,0,0,0,0
2020년05월_남_0~9세,"1,728",197,220,413,593,73,132,100,0,0,0,0,0
2020년05월_남_10~19세,"2,033",286,128,563,738,58,188,69,3,0,0,0,0
2020년05월_남_20~29세,"3,919",435,402,"1,163","1,105",328,279,207,0,0,0,0,0
2020년05월_남_30~39세,"2,612",316,260,699,858,145,195,137,2,0,0,0,0
2020년05월_남_40~49세,"3,128",381,220,889,"1,099",113,303,116,7,0,0,0,0
2020년05월_남_50~59세,"3,919",491,279,"1,125","1,355",133,339,188,9,0,0,0,0
2020년05월_남_60~69세,"3,131",342,235,886,"1,065",130,268,198,7,0,0,0,0
2020년05월_남_70~79세,"2,146",270,150,573,733,100,170,133,17,0,0,0,0
2020년05월_남_80~89세,774,93,75,205,247,35,75,37,7,0,0,0,0
2020년05월_남_90~99세,73,8,5,16,31,5,3,5,0,0,0,0,0
2020년05월_남_100세 이상,12,0,0,4,5,2,1,0,0,0,0,0,0
2020년05월_여_총인구수,"21,609","2,675","1,709","5,630","7,712",874,"1,911","1,038",60,0,0,0,0
2020년05월_여_연령구간인구수,"21,609","2,675","1,709","5,630","7,712",874,"1,911","1,038",60,0,0,0,0
2020년05월_여_0~9세,"1,655",224,160,413,596,75,112,75,0,0,0,0,0
2020년05월_여_10~19세,"1,881",229,126,471,760,43,178,73,1,0,0,0,0
2020년05월_여_20~29세,"2,082",273,203,513,738,109,164,80,2,0,0,0,0
2020년05월_여_30~39세,"2,163",262,216,544,765,88,186,100,2,0,0,0,0
2020년05월_여_40~49세,"2,675",322,163,770,"1,001",84,247,85,3,0,0,0,0
2020년05월_여_50~59세,"3,460",419,224,969,"1,236",112,321,173,6,0,0,0,0
2020년05월_여_60~69세,"3,339",393,243,892,"1,161",137,311,187,15,0,0,0,0
2020년05월_여_70~79세,"2,667",346,224,658,892,128,229,165,25,0,0,0,0
2020년05월_여_80~89세,"1,381",178,119,318,463,80,128,89,6,0,0,0,0
2020년05월_여_90~99세,273,27,29,76,83,16,32,10,0,0,0,0,0
2020년05월_여_100세 이상,33,2,2,6,17,2,3,1,0,0,0,0,0
