카테고리,강원도 횡성군,강원도 횡성군 횡성읍,강원도 횡성군 우천면,강원도 횡성군 안흥면,강원도 횡성군 둔내면,강원도 횡성군 갑천면,강원도 횡성군 청일면,강원도 횡성군 공근면,강원도 횡성군 서원면,강원도 횡성군 강림면
2020년01월_계_총인구수,"46,377","20,924","4,460","3,031","5,841","2,366","2,404","3,496","2,119","1,736"
2020년01월_계_연령구간인구수,"46,377","20,924","4,460","3,031","5,841","2,366","2,404","3,496","2,119","1,736"
2020년01월_계_0~9세,"2,244","1,533",134,62,248,42,33,87,68,37
2020년01월_계_10~19세,"3,619","2,093",217,481,393,92,71,131,70,71
2020년01월_계_20~29세,"4,005","2,354",382,151,412,127,137,217,131,94
2020년01월_계_30~39세,"3,634","2,181",255,130,449,122,89,199,133,76
2020년01월_계_40~49세,"5,239","3,023",428,191,666,179,177,275,156,144
2020년01월_계_50~59세,"9,009","3,643",941,593,"1,234",477,552,768,430,371
2020년01월_계_60~69세,"9,411","3,053","1,041",724,"1,269",671,676,890,595,492
2020년01월_계_70~79세,"5,628","1,837",652,429,728,402,405,545,307,323
2020년01월_계_80~89세,"3,086","1,031",355,226,383,217,226,334,195,119
2020년01월_계_90~99세,472,168,50,40,57,33,36,47,33,8
2020년01월_계_100세 이상,30,8,5,4,2,4,2,3,1,1
2020년01월_남_총인구수,"23,687","10,499","2,310","1,550","3,051","1,206","1,230","1,813","1,121",907
2020년01월_남_연령구간인구수,"23,687","10,499","2,310","1,550","3,051","1,206","1,230","1,813","1,121",907
2020년01월_남_0~9세,"1,171",798,71,33,128,21,15,45,39,21
2020년01월_남_10~19세,"1,886","1,079",106,250,217,45,43,68,36,42
2020년01월_남_20~29세,"2,232","1,256",239,90,234,67,77,130,75,64
2020년01월_남_30~39세,"1,931","1,112",135,61,260,66,52,120,80,45
2020년01월_남_40~49세,"2,885","1,611",243,106,372,105,103,170,94,81
2020년01월_남_50~59세,"4,749","1,908",512,308,653,238,288,409,232,201
2020년01월_남_60~69세,"4,907","1,536",547,391,664,362,372,473,325,237
2020년01월_남_70~79세,"2,697",787,325,220,364,206,202,275,155,163
2020년01월_남_80~89세,"1,107",365,120,82,148,87,70,110,75,50
2020년01월_남_90~99세,110,44,12,8,11,7,7,10,9,2
2020년01월_남_100세 이상,12,3,0,1,0,2,1,3,1,1
2020년01월_여_총인구수,"22,690","10,425","2,150","1,481","2,790","1,160","1,174","1,683",998,829
2020년01월_여_연령구간인구수,"22,690","10,425","2,150","1,481","2,790","1,160","1,174","1,683",998,829
2020년01월_여_0~9세,"1,073",735,63,29,120,21,18,42,29,16
2020년01월_여_10~19세,"1,733","1,014",111,231,176,47,28,63,34,29
2020년01월_여_20~29세,"1,773","1,098",143,61,178,60,60,87,56,30
2020년01월_여_30~39세,"1,703","1,069",120,69,189,56,37,79,53,31
2020년01월_여_40~49세,"2,354","1,412",185,85,294,74,74,105,62,63
2020년01월_여_50~59세,"4,260","1,735",429,285,581,239,264,359,198,170
2020년01월_여_60~69세,"4,504","1,517",494,333,605,309,304,417,270,255
2020년01월_여_70~79세,"2,931","1,050",327,209,364,196,203,270,152,160
2020년01월_여_80~89세,"1,979",666,235,144,235,130,156,224,120,69
2020년01월_여_90~99세,362,124,38,32,46,26,29,37,24,6
2020년01월_여_100세 이상,18,5,5,3,2,2,1,0,0,0
