,전라남도 해남군,전라남도 해남군 해남읍,전라남도 해남군 삼산면,전라남도 해남군 화산면,전라남도 해남군 현산면,전라남도 해남군 송지면,전라남도 해남군 북평면,전라남도 해남군 북일면,전라남도 해남군 옥천면,전라남도 해남군 계곡면,전라남도 해남군 마산면,전라남도 해남군 황산면,전라남도 해남군 산이면,전라남도 해남군 문내면,전라남도 해남군 화원면
2021년05월_계_총인구수,"68,153","24,712","2,904","3,198","2,779","6,085","2,798","1,996","2,950","2,123","2,417","4,829","3,745","4,013","3,604"
2021년05월_계_연령구간인구수,"68,153","24,712","2,904","3,198","2,779","6,085","2,798","1,996","2,950","2,123","2,417","4,829","3,745","4,013","3,604"
2021년05월_계_0~9세,"3,832","2,235",89,125,63,276,90,42,84,72,74,182,181,185,134
2021년05월_계_10~19세,"5,113","2,895",145,127,127,355,167,89,150,81,123,237,194,231,192
2021년05월_계_20~29세,"5,508","2,749",215,197,146,456,173,126,192,86,138,287,231,262,250
2021년05월_계_30~39세,"4,848","2,481",148,193,123,375,127,74,123,102,111,270,252,238,231
2021년05월_계_40~49세,"7,881","3,796",265,288,236,629,241,160,306,202,229,409,374,374,372
2021년05월_계_50~59세,"11,445","4,091",553,516,482,"1,056",470,330,494,294,423,825,610,686,615
2021년05월_계_60~69세,"12,584","3,333",614,678,632,"1,236",581,421,575,463,474,"1,174",744,869,790
2021년05월_계_70~79세,"9,880","2,005",520,640,560,979,564,415,536,407,461,820,690,708,575
2021년05월_계_80~89세,"6,147",975,303,393,356,651,344,298,413,361,326,550,409,395,373
2021년05월_계_90~99세,874,150,50,40,49,69,40,41,70,54,53,70,59,63,66
2021년05월_계_100세 이상,41,2,2,1,5,3,1,0,7,1,5,5,1,2,6
2021년05월_남_총인구수,"33,705","12,145","1,460","1,591","1,385","2,975","1,358",951,"1,481",993,"1,224","2,374","1,906","2,004","1,858"
2021년05월_남_연령구간인구수,"33,705","12,145","1,460","1,591","1,385","2,975","1,358",951,"1,481",993,"1,224","2,374","1,906","2,004","1,858"
2021년05월_남_0~9세,"1,937","1,121",44,67,34,135,40,24,47,31,45,86,92,99,72
2021년05월_남_10~19세,"2,643","1,479",82,66,69,176,87,45,81,44,70,129,97,125,93
2021년05월_남_20~29세,"3,101","1,482",116,97,93,284,99,70,106,55,88,182,131,165,133
2021년05월_남_30~39세,"2,574","1,224",89,123,80,213,63,41,74,45,60,157,140,121,144
2021년05월_남_40~49세,"4,406","1,838",163,188,141,372,146,104,186,130,154,244,266,220,254
2021년05월_남_50~59세,"6,350","2,146",302,304,278,553,264,193,291,164,264,465,357,392,377
2021년05월_남_60~69세,"6,307","1,615",326,329,332,591,285,212,310,226,241,586,404,434,416
2021년05월_남_70~79세,"4,319",905,225,288,241,434,252,158,234,177,194,349,292,323,247
2021년05월_남_80~89세,"1,907",303,102,120,111,209,110,99,138,108,97,165,121,115,109
2021년05월_남_90~99세,161,32,11,9,6,8,12,5,14,13,11,11,6,10,13
2021년05월_남_100세 이상,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021년05월_여_총인구수,"34,448","12,567","1,444","1,607","1,394","3,110","1,440","1,045","1,469","1,130","1,193","2,455","1,839","2,009","1,746"
2021년05월_여_연령구간인구수,"34,448","12,567","1,444","1,607","1,394","3,110","1,440","1,045","1,469","1,130","1,193","2,455","1,839","2,009","1,746"
2021년05월_여_0~9세,"1,895","1,114",45,58,29,141,50,18,37,41,29,96,89,86,62
2021년05월_여_10~19세,"2,470","1,416",63,61,58,179,80,44,69,37,53,108,97,106,99
2021년05월_여_20~29세,"2,407","1,267",99,100,53,172,74,56,86,31,50,105,100,97,117
2021년05월_여_30~39세,"2,274","1,257",59,70,43,162,64,33,49,57,51,113,112,117,87
2021년05월_여_40~49세,"3,475","1,958",102,100,95,257,95,56,120,72,75,165,108,154,118
2021년05월_여_50~59세,"5,095","1,945",251,212,204,503,206,137,203,130,159,360,253,294,238
2021년05월_여_60~69세,"6,277","1,718",288,349,300,645,296,209,265,237,233,588,340,435,374
2021년05월_여_70~79세,"5,561","1,100",295,352,319,545,312,257,302,230,267,471,398,385,328
2021년05월_여_80~89세,"4,240",672,201,273,245,442,234,199,275,253,229,385,288,280,264
2021년05월_여_90~99세,713,118,39,31,43,61,28,36,56,41,42,59,53,53,53
2021년05월_여_100세 이상,41,2,2,1,5,3,1,0,7,1,5,5,1,2,6
