,울산광역시,울산광역시 중구,울산광역시 남구,울산광역시 동구,울산광역시 북구,울산광역시 울주군
2020년08월_계_총인구수,"1,140,310","219,249","321,955","157,589","218,765","222,752"
2020년08월_계_연령구간인구수,"1,140,310","219,249","321,955","157,589","218,765","222,752"
2020년08월_계_0~9세,"100,818","17,063","24,394","15,346","25,719","18,296"
2020년08월_계_10~19세,"113,185","20,326","31,034","15,578","23,578","22,669"
2020년08월_계_20~29세,"145,980","27,395","46,135","17,963","27,964","26,523"
2020년08월_계_30~39세,"154,757","27,002","42,934","23,686","34,796","26,339"
2020년08월_계_40~49세,"188,931","34,738","52,181","25,891","38,449","37,672"
2020년08월_계_50~59세,"210,425","41,778","62,213","26,119","38,595","41,720"
2020년08월_계_60~69세,"141,600","31,165","40,596","22,131","18,979","28,729"
2020년08월_계_70~79세,"59,134","14,052","16,256","8,072","7,254","13,500"
2020년08월_계_80~89세,"22,267","5,071","5,510","2,420","2,971","6,295"
2020년08월_계_90~99세,"3,046",605,668,358,440,975
2020년08월_계_100세 이상,167,54,34,25,20,34
2020년08월_남_총인구수,"585,922","111,137","164,160","82,449","113,233","114,943"
2020년08월_남_연령구간인구수,"585,922","111,137","164,160","82,449","113,233","114,943"
2020년08월_남_0~9세,"51,822","8,838","12,546","7,859","13,209","9,370"
2020년08월_남_10~19세,"59,623","10,864","16,385","8,233","12,320","11,821"
2020년08월_남_20~29세,"81,937","15,249","25,747","10,132","15,750","15,059"
2020년08월_남_30~39세,"82,064","14,210","22,767","13,085","18,040","13,962"
2020년08월_남_40~49세,"96,042","17,631","25,448","14,035","19,650","19,278"
2020년08월_남_50~59세,"107,223","20,825","31,347","12,918","20,035","22,098"
2020년08월_남_60~69세,"71,424","15,216","20,157","11,255","9,938","14,858"
2020년08월_남_70~79세,"27,971","6,441","7,763","4,108","3,347","6,312"
2020년08월_남_80~89세,"7,277","1,754","1,873",772,874,"2,004"
2020년08월_남_90~99세,506,98,118,48,66,176
2020년08월_남_100세 이상,33,11,9,4,4,5
2020년08월_여_총인구수,"554,388","108,112","157,795","75,140","105,532","107,809"
2020년08월_여_연령구간인구수,"554,388","108,112","157,795","75,140","105,532","107,809"
2020년08월_여_0~9세,"48,996","8,225","11,848","7,487","12,510","8,926"
2020년08월_여_10~19세,"53,562","9,462","14,649","7,345","11,258","10,848"
2020년08월_여_20~29세,"64,043","12,146","20,388","7,831","12,214","11,464"
2020년08월_여_30~39세,"72,693","12,792","20,167","10,601","16,756","12,377"
2020년08월_여_40~49세,"92,889","17,107","26,733","11,856","18,799","18,394"
2020년08월_여_50~59세,"103,202","20,953","30,866","13,201","18,560","19,622"
2020년08월_여_60~69세,"70,176","15,949","20,439","10,876","9,041","13,871"
2020년08월_여_70~79세,"31,163","7,611","8,493","3,964","3,907","7,188"
2020년08월_여_80~89세,"14,990","3,317","3,637","1,648","2,097","4,291"
2020년08월_여_90~99세,"2,540",507,550,310,374,799
2020년08월_여_100세 이상,134,43,25,21,16,29
