,경기도 평택시,경기도 평택시 팽성읍,경기도 평택시 안중읍,경기도 평택시 포승읍,경기도 평택시 청북읍,경기도 평택시 진위면,경기도 평택시 서탄면,경기도 평택시 고덕면,경기도 평택시 오성면,경기도 평택시 현덕면,경기도 평택시 중앙동,경기도 평택시 서정동,경기도 평택시 송탄동,경기도 평택시 지산동,경기도 평택시 송북동,경기도 평택시 신장1동,경기도 평택시 신장2동,경기도 평택시 신평동,경기도 평택시 원평동,경기도 평택시 통복동,경기도 평택시 비전1동,경기도 평택시 비전2동,경기도 평택시 용이동,경기도 평택시 세교동
2021년03월_계_총인구수,"544,368","27,418","43,530","24,071","27,057","11,263","3,637","24,709","6,684","5,238","44,019","25,299","20,103","12,720","22,003","7,341","5,741","22,683","10,583","4,095","87,450","54,075","25,472","29,177"
2021년03월_계_연령구간인구수,"544,368","27,418","43,530","24,071","27,057","11,263","3,637","24,709","6,684","5,238","44,019","25,299","20,103","12,720","22,003","7,341","5,741","22,683","10,583","4,095","87,450","54,075","25,472","29,177"
2021년03월_계_0~9세,"49,471","1,588","3,895","1,861","4,025",490,112,"2,823",311,148,"2,869","1,284","2,373",697,"1,603",575,165,"1,024",518,127,"11,251","5,746","3,394","2,592"
2021년03월_계_10~19세,"53,668","1,779","5,761","1,922","3,245",812,203,"1,964",479,291,"4,853","2,300","1,836",894,"2,196",495,285,"1,722",648,209,"9,492","6,216","3,161","2,905"
2021년03월_계_20~29세,"74,995","3,057","5,828","3,132","2,391","1,469",342,"3,800",697,432,"7,241","3,659","2,644","2,534","2,918","1,045",714,"3,951","1,647",618,"11,650","7,362","3,462","4,402"
2021년03월_계_30~39세,"82,252","3,056","5,580","3,901","4,878","1,357",333,"4,804",613,341,"5,349","3,043","3,420","2,258","2,612","1,244",636,"2,915","1,479",430,"16,914","8,070","4,715","4,304"
2021년03월_계_40~49세,"94,681","3,946","8,506","4,587","5,506","1,655",465,"3,960",887,604,"7,560","4,082","3,676","2,109","3,704","1,208",775,"3,416","1,549",507,"16,660","9,497","5,171","4,651"
2021년03월_계_50~59세,"87,790","5,006","6,983","3,900","3,010","2,091",674,"3,572","1,283",965,"8,168","4,823","3,220","1,967","4,043","1,123","1,002","4,218","1,882",799,"11,817","8,706","3,224","5,314"
2021년03월_계_60~69세,"56,705","4,524","3,894","2,701","2,227","1,816",746,"2,145","1,192","1,139","4,582","3,304","1,788","1,222","2,770",844,"1,017","3,035","1,532",744,"5,999","5,027","1,519","2,938"
2021년03월_계_70~79세,"28,458","2,735","1,932","1,321","1,091","1,020",470,"1,019",700,783,"2,208","1,812",731,697,"1,377",508,697,"1,577",862,445,"2,424","2,205",544,"1,300"
2021년03월_계_80~89세,"14,300","1,535","1,009",631,568,490,264,534,453,458,"1,052",877,356,304,665,248,364,742,417,190,"1,094","1,114",248,687
2021년03월_계_90~99세,"1,951",182,139,111,113,62,28,87,67,74,133,112,58,36,103,44,63,81,48,25,145,124,34,82
2021년03월_계_100세 이상,97,10,3,4,3,1,0,1,2,3,4,3,1,2,12,7,23,2,1,1,4,8,0,2
2021년03월_남_총인구수,"282,242","14,274","22,416","14,460","14,308","6,196","1,999","13,105","3,586","2,772","22,661","12,788","10,496","6,931","11,028","3,701","2,918","11,701","5,522","2,143","44,391","26,802","13,333","14,711"
2021년03월_남_연령구간인구수,"282,242","14,274","22,416","14,460","14,308","6,196","1,999","13,105","3,586","2,772","22,661","12,788","10,496","6,931","11,028","3,701","2,918","11,701","5,522","2,143","44,391","26,802","13,333","14,711"
2021년03월_남_0~9세,"25,170",811,"1,929",918,"2,077",241,54,"1,404",175,84,"1,449",637,"1,205",331,813,295,89,538,248,62,"5,738","2,928","1,800","1,344"
2021년03월_남_10~19세,"27,691",934,"2,904","1,030","1,675",437,121,981,244,148,"2,500","1,183",914,436,"1,111",255,160,909,336,122,"4,921","3,259","1,632","1,479"
2021년03월_남_20~29세,"41,253","1,748","3,136","2,028","1,334",901,221,"2,252",406,260,"4,084","1,997","1,445","1,454","1,594",575,395,"2,134",933,357,"6,017","3,808","1,842","2,332"
2021년03월_남_30~39세,"44,836","1,713","3,059","2,598","2,526",861,193,"2,627",377,197,"3,026","1,718","1,795","1,378","1,323",681,390,"1,684",875,265,"8,729","4,031","2,487","2,303"
2021년03월_남_40~49세,"50,568","2,212","4,348","3,006","3,126",983,301,"2,205",541,382,"3,856","2,165","2,025","1,213","1,927",665,470,"1,800",826,276,"8,537","4,608","2,743","2,353"
2021년03월_남_50~59세,"46,245","2,788","3,835","2,482","1,703","1,153",384,"1,855",736,563,"4,175","2,427","1,671","1,073","2,043",582,531,"2,168","1,006",431,"6,012","4,274","1,721","2,632"
