,세종특별자치시 세종특별자치시,세종특별자치시  조치원읍,세종특별자치시  연기면,세종특별자치시  연동면,세종특별자치시  부강면,세종특별자치시  금남면,세종특별자치시  장군면,세종특별자치시  연서면,세종특별자치시  전의면,세종특별자치시  전동면,세종특별자치시  소정면,세종특별자치시  한솔동,세종특별자치시  새롬동,세종특별자치시  도담동,세종특별자치시  아름동,세종특별자치시  종촌동,세종특별자치시  고운동,세종특별자치시  소담동,세종특별자치시  보람동,세종특별자치시  대평동,세종특별자치시  다정동
2021년02월_계_총인구수,"359,569","43,316","2,776","3,161","6,237","8,953","6,859","7,485","5,662","3,544","2,444","19,173","30,157","40,692","23,621","29,455","34,437","33,190","19,360","11,198","27,849"
2021년02월_계_연령구간인구수,"359,569","43,316","2,776","3,161","6,237","8,953","6,859","7,485","5,662","3,544","2,444","19,173","30,157","40,692","23,621","29,455","34,437","33,190","19,360","11,198","27,849"
2021년02월_계_0~9세,"47,289","3,202",88,87,320,324,221,324,185,71,99,"2,586","4,352","5,829","3,513","4,640","5,991","5,821","3,151","1,648","4,837"
2021년02월_계_10~19세,"43,332","4,197",103,130,370,413,308,422,388,116,183,"3,329","4,024","5,443","4,332","4,177","4,807","3,577","2,521","1,082","3,410"
2021년02월_계_20~29세,"37,759","6,452",383,297,745,917,"1,024",877,558,282,270,"1,734","3,674","4,561","1,808","2,590","2,581","3,121","1,868","1,352","2,665"
2021년02월_계_30~39세,"61,557","5,481",354,291,727,912,907,735,517,243,184,"2,537","6,104","7,556","3,402","5,404","6,518","7,733","3,626","2,266","6,060"
2021년02월_계_40~49세,"69,982","6,911",334,336,834,"1,033",940,906,684,349,345,"4,485","6,272","8,728","5,964","6,316","7,577","6,422","3,942","1,946","5,658"
2021년02월_계_50~59세,"45,760","6,696",540,537,"1,104","1,626","1,294","1,251","1,041",704,447,"2,582","3,279","4,647","2,745","3,200","3,477","3,745","2,321","1,661","2,863"
2021년02월_계_60~69세,"30,908","5,465",524,680,"1,062","1,798","1,142","1,418","1,027",877,417,"1,194","1,675","2,353","1,207","1,958","2,377","1,913","1,310",866,"1,645"
2021년02월_계_70~79세,"14,469","3,129",264,422,624,"1,138",589,911,673,521,274,487,535,"1,026",450,792,832,600,441,242,519
2021년02월_계_80~89세,"7,227","1,532",157,313,398,669,383,566,498,321,198,199,193,453,164,336,231,201,149,108,158
2021년02월_계_90~99세,"1,236",237,27,64,52,118,49,72,86,54,26,38,49,96,35,42,46,53,31,27,34
2021년02월_계_100세 이상,50,14,2,4,1,5,2,3,5,6,1,2,0,0,1,0,0,4,0,0,0
2021년02월_남_총인구수,"179,528","22,426","1,568","1,647","3,446","4,726","3,952","4,087","3,006","1,923","1,299","9,460","14,628","19,656","11,707","14,295","16,849","16,357","9,484","5,562","13,450"
2021년02월_남_연령구간인구수,"179,528","22,426","1,568","1,647","3,446","4,726","3,952","4,087","3,006","1,923","1,299","9,460","14,628","19,656","11,707","14,295","16,849","16,357","9,484","5,562","13,450"
2021년02월_남_0~9세,"24,220","1,653",44,41,166,154,119,155,96,31,55,"1,347","2,233","3,001","1,829","2,361","3,052","2,986","1,598",879,"2,420"
2021년02월_남_10~19세,"21,778","2,133",50,66,206,196,153,233,220,61,89,"1,682","1,943","2,730","2,262","2,058","2,450","1,745","1,286",540,"1,675"
2021년02월_남_20~29세,"19,239","3,651",235,187,487,543,653,572,328,155,159,903,"1,657","2,017",903,"1,201","1,254","1,515",900,681,"1,238"
2021년02월_남_30~39세,"30,063","3,006",239,168,459,551,612,466,317,157,114,"1,142","2,904","3,503","1,522","2,546","3,016","3,724","1,664","1,120","2,833"
2021년02월_남_40~49세,"35,638","3,701",213,204,509,642,635,549,406,218,205,"2,150","3,132","4,270","2,856","3,147","3,821","3,215","1,973",966,"2,826"
2021년02월_남_50~59세,"23,872","3,559",325,302,648,900,731,723,591,421,258,"1,354","1,644","2,416","1,479","1,614","1,660","1,862","1,178",806,"1,401"
2021년02월_남_60~69세,"15,313","2,716",286,366,539,949,611,746,553,491,227,590,802,"1,110",578,883,"1,099",966,622,419,760
2021년02월_남_70~79세,"6,675","1,369",122,200,269,538,289,408,291,265,120,219,250,464,216,367,401,289,219,123,256
2021년02월_남_80~89세,"2,452",572,53,96,144,228,136,218,189,113,66,62,54,126,52,107,85,48,39,25,39
2021년02월_남_90~99세,267,63,1,16,18,24,13,17,15,9,5,11,9,19,9,11,11,6,5,3,2
2021년02월_남_100세 이상,11,3,0,1,1,1,0,0,0,2,1,0,0,0,1,0,0,1,0,0,0
2021년02월_여_총인구수,"180,041","20,890","1,208","1,514","2,791","4,227","2,907","3,398","2,656","1,621","1,145","9,713","15,529","21,036","11,914","15,160","17,588","16,833","9,876","5,636","14,399"
