,경기도 양주시,경기도 양주시 백석읍,경기도 양주시 은현면,경기도 양주시 남면,경기도 양주시 광적면,경기도 양주시 장흥면,경기도 양주시 양주1동,경기도 양주시 양주2동,경기도 양주시 회천1동,경기도 양주시 회천2동,경기도 양주시 회천3동,경기도 양주시 회천4동
2020년11월_계_총인구수,"230,273","26,440","6,003","7,061","11,970","10,422","5,390","50,354","9,810","27,156","27,707","47,960"
2020년11월_계_연령구간인구수,"230,273","26,440","6,003","7,061","11,970","10,422","5,390","50,354","9,810","27,156","27,707","47,960"
2020년11월_계_0~9세,"20,027","1,427",151,389,625,504,205,"4,965",649,"1,942","2,334","6,836"
2020년11월_계_10~19세,"24,130","2,560",328,417,888,545,277,"7,094",771,"2,700","3,545","5,005"
2020년11월_계_20~29세,"27,347","3,287",678,822,"1,288","1,086",581,"5,371","1,543","3,513","3,899","5,279"
2020년11월_계_30~39세,"28,120","2,342",466,791,"1,168","1,088",453,"5,473","1,186","2,869","3,032","9,252"
2020년11월_계_40~49세,"39,476","3,930",686,806,"1,711","1,155",639,"10,390","1,390","4,419","5,142","9,208"
2020년11월_계_50~59세,"38,041","5,196","1,289","1,278","2,487","1,796","1,088","7,288","1,811","5,430","4,669","5,709"
2020년11월_계_60~69세,"28,746","4,207","1,348","1,405","2,135","2,188","1,091","5,070","1,332","3,594","2,463","3,913"
2020년11월_계_70~79세,"16,242","2,253",669,709,"1,080","1,286",677,"3,312",746,"1,846","1,661","2,003"
2020년11월_계_80~89세,"7,051","1,082",329,364,508,629,327,"1,224",328,746,867,647
2020년11월_계_90~99세,"1,024",148,56,75,75,138,48,160,42,89,91,102
2020년11월_계_100세 이상,69,8,3,5,5,7,4,7,12,8,4,6
2020년11월_남_총인구수,"116,847","13,363","3,413","3,945","6,460","5,349","2,817","24,619","5,166","13,779","13,738","24,198"
2020년11월_남_연령구간인구수,"116,847","13,363","3,413","3,945","6,460","5,349","2,817","24,619","5,166","13,779","13,738","24,198"
2020년11월_남_0~9세,"10,200",705,76,185,319,272,105,"2,518",333,998,"1,204","3,485"
2020년11월_남_10~19세,"12,271","1,306",176,217,474,299,152,"3,557",386,"1,399","1,821","2,484"
2020년11월_남_20~29세,"14,693","1,808",411,529,744,644,313,"2,727",905,"1,864","2,038","2,710"
2020년11월_남_30~39세,"14,492","1,259",297,478,663,605,253,"2,622",639,"1,520","1,490","4,666"
2020년11월_남_40~49세,"20,347","2,006",431,484,980,624,367,"5,123",741,"2,284","2,547","4,760"
2020년11월_남_50~59세,"19,938","2,695",781,756,"1,375",897,574,"3,797",988,"2,780","2,388","2,907"
2020년11월_남_60~69세,"14,435","2,135",758,788,"1,163","1,077",600,"2,257",684,"1,824","1,204","1,945"
2020년11월_남_70~79세,"7,524","1,026",345,354,523,643,316,"1,496",347,813,670,991
2020년11월_남_80~89세,"2,693",397,124,136,198,252,128,480,128,276,341,233
2020년11월_남_90~99세,242,26,14,16,21,32,8,42,13,21,32,17
2020년11월_남_100세 이상,12,0,0,2,0,4,1,0,2,0,3,0
2020년11월_여_총인구수,"113,426","13,077","2,590","3,116","5,510","5,073","2,573","25,735","4,644","13,377","13,969","23,762"
2020년11월_여_연령구간인구수,"113,426","13,077","2,590","3,116","5,510","5,073","2,573","25,735","4,644","13,377","13,969","23,762"
2020년11월_여_0~9세,"9,827",722,75,204,306,232,100,"2,447",316,944,"1,130","3,351"
2020년11월_여_10~19세,"11,859","1,254",152,200,414,246,125,"3,537",385,"1,301","1,724","2,521"
2020년11월_여_20~29세,"12,654","1,479",267,293,544,442,268,"2,644",638,"1,649","1,861","2,569"
2020년11월_여_30~39세,"13,628","1,083",169,313,505,483,200,"2,851",547,"1,349","1,542","4,586"
2020년11월_여_40~49세,"19,129","1,924",255,322,731,531,272,"5,267",649,"2,135","2,595","4,448"
2020년11월_여_50~59세,"18,103","2,501",508,522,"1,112",899,514,"3,491",823,"2,650","2,281","2,802"
2020년11월_여_60~69세,"14,311","2,072",590,617,972,"1,111",491,"2,813",648,"1,770","1,259","1,968"
2020년11월_여_70~79세,"8,718","1,227",324,355,557,643,361,"1,816",399,"1,033",991,"1,012"
2020년11월_여_80~89세,"4,358",685,205,228,310,377,199,744,200,470,526,414
2020년11월_여_90~99세,782,122,42,59,54,106,40,118,29,68,59,85
2020년11월_여_100세 이상,57,8,3,3,5,3,3,7,10,8,1,6
