,경상북도 영덕군,경상북도 영덕군 영덕읍,경상북도 영덕군 강구면,경상북도 영덕군 남정면,경상북도 영덕군 달산면,경상북도 영덕군 지품면,경상북도 영덕군 지품면원전출장소,경상북도 영덕군 축산면,경상북도 영덕군 축산면축산출장소,경상북도 영덕군 영해면,경상북도 영덕군 병곡면,경상북도 영덕군 창수면
2020년10월_계_총인구수,"36,473","11,095","6,270","2,378","1,134","1,484",535,933,"1,744","6,417","2,793","1,690"
2020년10월_계_연령구간인구수,"36,473","11,095","6,270","2,378","1,134","1,484",535,933,"1,744","6,417","2,793","1,690"
2020년10월_계_0~9세,"1,695",818,232,49,18,35,9,33,41,355,81,24
2020년10월_계_10~19세,"2,130",949,297,67,43,38,17,32,75,443,121,48
2020년10월_계_20~29세,"2,466",953,447,130,50,76,17,48,90,484,117,54
2020년10월_계_30~39세,"2,448","1,054",395,111,48,52,12,36,79,468,131,62
2020년10월_계_40~49세,"3,931","1,584",699,188,69,112,31,86,166,687,204,105
2020년10월_계_50~59세,"6,232","1,871","1,146",406,178,274,76,141,309,"1,116",453,262
2020년10월_계_60~69세,"7,337","1,796","1,375",555,273,364,146,195,414,"1,195",616,408
2020년10월_계_70~79세,"5,953","1,239","1,078",484,246,307,139,198,365,938,560,399
2020년10월_계_80~89세,"3,734",705,532,335,179,198,79,147,187,636,452,284
2020년10월_계_90~99세,518,116,67,52,28,27,9,15,18,93,56,37
2020년10월_계_100세 이상,29,10,2,1,2,1,0,2,0,2,2,7
2020년10월_남_총인구수,"17,279","5,313","2,955","1,151",505,734,252,440,821,"2,968","1,309",831
2020년10월_남_연령구간인구수,"17,279","5,313","2,955","1,151",505,734,252,440,821,"2,968","1,309",831
2020년10월_남_0~9세,844,395,122,27,10,21,4,20,26,164,44,11
2020년10월_남_10~19세,"1,099",476,168,40,22,22,8,18,42,225,55,23
2020년10월_남_20~29세,"1,427",551,255,81,27,47,11,26,49,277,71,32
2020년10월_남_30~39세,"1,254",511,212,61,28,28,8,17,44,233,73,39
2020년10월_남_40~49세,"2,189",807,400,122,33,74,24,54,96,367,141,71
2020년10월_남_50~59세,"3,304","1,000",583,232,100,154,44,83,160,559,248,141
2020년10월_남_60~69세,"3,510",838,641,286,142,186,68,90,194,552,298,215
2020년10월_남_70~79세,"2,375",491,404,188,89,127,55,86,146,382,227,180
2020년10월_남_80~89세,"1,180",219,162,104,50,66,29,42,57,200,142,109
2020년10월_남_90~99세,90,22,7,10,4,9,1,3,7,9,10,8
2020년10월_남_100세 이상,7,3,1,0,0,0,0,1,0,0,0,2
2020년10월_여_총인구수,"19,194","5,782","3,315","1,227",629,750,283,493,923,"3,449","1,484",859
2020년10월_여_연령구간인구수,"19,194","5,782","3,315","1,227",629,750,283,493,923,"3,449","1,484",859
2020년10월_여_0~9세,851,423,110,22,8,14,5,13,15,191,37,13
2020년10월_여_10~19세,"1,031",473,129,27,21,16,9,14,33,218,66,25
2020년10월_여_20~29세,"1,039",402,192,49,23,29,6,22,41,207,46,22
2020년10월_여_30~39세,"1,194",543,183,50,20,24,4,19,35,235,58,23
2020년10월_여_40~49세,"1,742",777,299,66,36,38,7,32,70,320,63,34
2020년10월_여_50~59세,"2,928",871,563,174,78,120,32,58,149,557,205,121
2020년10월_여_60~69세,"3,827",958,734,269,131,178,78,105,220,643,318,193
2020년10월_여_70~79세,"3,578",748,674,296,157,180,84,112,219,556,333,219
2020년10월_여_80~89세,"2,554",486,370,231,129,132,50,105,130,436,310,175
2020년10월_여_90~99세,428,94,60,42,24,18,8,12,11,84,46,29
2020년10월_여_100세 이상,22,7,1,1,2,1,0,1,0,2,2,5
