카테고리,경기도 파주시,경기도 파주시 문산읍,경기도 파주시 파주읍,경기도 파주시 법원읍,경기도 파주시 조리읍,경기도 파주시 월롱면,경기도 파주시 탄현면,경기도 파주시 광탄면,경기도 파주시 파평면,경기도 파주시 적성면,경기도 파주시 군내면,경기도 파주시 장단출장소,경기도 파주시 장단면,경기도 파주시 진동면,경기도 파주시 진서면,경기도 파주시 금촌1동,경기도 파주시 금촌2동,경기도 파주시 금촌3동,경기도 파주시 교하동,경기도 파주시 운정1동,경기도 파주시 운정2동,경기도 파주시 운정3동
2020년05월_계_총인구수,"455,471","48,523","13,110","10,956","30,240","9,264","13,491","11,559","3,933","7,608",0,577,0,157,0,"22,622","33,702","27,473","41,003","45,313","62,420","73,520"
2020년05월_계_연령구간인구수,"455,471","48,523","13,110","10,956","30,240","9,264","13,491","11,559","3,933","7,608",0,577,0,157,0,"22,622","33,702","27,473","41,003","45,313","62,420","73,520"
2020년05월_계_0~9세,"44,568","5,190",553,370,"1,866",197,729,521,111,590,0,21,0,5,0,"1,247","3,632","2,454","4,066","5,334","9,236","8,446"
2020년05월_계_10~19세,"48,295","4,750",789,800,"2,823",294,"1,036",679,197,544,0,39,0,12,0,"1,550","4,311","2,798","5,518","5,873","7,475","8,807"
2020년05월_계_20~29세,"55,586","5,736","1,449","1,338","3,843","2,222","1,501","1,284",425,954,0,61,0,3,0,"3,496","4,303","3,822","4,441","5,081","6,699","8,928"
2020년05월_계_30~39세,"66,699","7,939","1,343",926,"3,136","2,239","1,528","1,080",266,879,0,50,0,9,0,"2,943","4,792","3,819","5,217","6,730","12,191","11,612"
2020년05월_계_40~49세,"79,109","7,444","1,722","1,316","4,534",935,"2,203","1,375",378,863,0,76,0,16,0,"3,398","6,243","4,384","8,349","8,951","12,224","14,698"
2020년05월_계_50~59세,"70,655","6,920","2,543","2,250","5,963","1,337","2,584","2,381",780,"1,243",0,102,0,27,0,"4,257","5,119","4,587","6,427","6,615","7,124","10,396"
2020년05월_계_60~69세,"46,572","5,015","2,234","1,921","4,282","1,109","1,963","2,161",760,"1,186",0,95,0,32,0,"2,987","2,650","2,977","3,719","3,712","4,002","5,767"
2020년05월_계_70~79세,"28,315","3,495","1,469","1,285","2,449",544,"1,175","1,251",592,915,0,91,0,35,0,"1,803","1,732","1,712","2,100","2,018","2,365","3,284"
2020년05월_계_80~89세,"13,528","1,757",840,644,"1,163",340,652,681,358,368,0,40,0,16,0,812,801,815,998,867,967,"1,409"
2020년05월_계_90~99세,"1,952",250,126,93,168,44,111,132,56,64,0,2,0,2,0,113,108,101,157,122,135,168
2020년05월_계_100세 이상,192,27,42,13,13,3,9,14,10,2,0,0,0,0,0,16,11,4,11,10,2,5
2020년05월_남_총인구수,"231,256","24,739","6,991","5,818","15,377","5,888","7,315","6,276","2,049","4,064",0,295,0,85,0,"11,933","16,539","14,125","20,862","22,239","30,532","36,129"
2020년05월_남_연령구간인구수,"231,256","24,739","6,991","5,818","15,377","5,888","7,315","6,276","2,049","4,064",0,295,0,85,0,"11,933","16,539","14,125","20,862","22,239","30,532","36,129"
2020년05월_남_0~9세,"22,741","2,597",296,190,940,92,389,267,66,299,0,10,0,1,0,649,"1,871","1,222","2,067","2,733","4,680","4,372"
2020년05월_남_10~19세,"24,966","2,478",422,447,"1,411",165,534,370,101,308,0,14,0,4,0,831,"2,224","1,476","2,898","2,956","3,771","4,556"
2020년05월_남_20~29세,"29,232","3,072",877,802,"2,106","1,314",845,783,274,592,0,34,0,3,0,"1,924","2,161","2,067","2,440","2,459","3,093","4,386"
2020년05월_남_30~39세,"35,579","4,424",787,534,"1,717","1,841",919,654,146,495,0,26,0,5,0,"1,728","2,432","2,084","2,597","3,298","6,170","5,722"
2020년05월_남_40~49세,"40,644","3,952","1,025",745,"2,322",655,"1,250",799,224,497,0,53,0,5,0,"1,832","3,010","2,271","4,180","4,423","6,130","7,271"
2020년05월_남_50~59세,"37,034","3,568","1,442","1,238","3,119",817,"1,503","1,329",430,668,0,53,0,19,0,"2,383","2,603","2,392","3,467","3,319","3,522","5,162"
2020년05월_남_60~69세,"23,083","2,406","1,164","1,019","2,182",608,"1,041","1,194",382,632,0,49,0,16,0,"1,473","1,220","1,491","1,897","1,807","1,817","2,685"
2020년05월_남_70~79세,"12,458","1,503",636,593,"1,092",278,555,628,274,416,0,39,0,22,0,800,703,775,929,882,943,"1,390"
2020년05월_남_80~89세,"4,973",646,297,220,439,111,254,217,136,142,0,16,0,8,0,282,287,316,356,333,370,543
2020년05월_남_90~99세,487,80,34,26,44,7,24,31,10,15,0,1,0,2,0,25,26,29,30,27,35,41
2020년05월_남_100세 이상,59,13,11,4,5,0,1,4,6,0,0,0,0,0,0,6,2,2,1,2,1,1
2020년05월_여_총인구수,"224,215","23,784","6,119","5,138","14,863","3,376","6,176","5,283","1,884","3,544",0,282,0,72,0,"10,689","17,163","13,348","20,141","23,074","31,888","37,391"
2020년05월_여_연령구간인구수,"224,215","23,784","6,119","5,138","14,863","3,376","6,176","5,283","1,884","3,544",0,282,0,72,0,"10,689","17,163","13,348","20,141","23,074","31,888","37,391"
2020년05월_여_0~9세,"21,827","2,593",257,180,926,105,340,254,45,291,0,11,0,4,0,598,"1,761","1,232","1,999","2,601","4,556","4,074"
2020년05월_여_10~19세,"23,329","2,272",367,353,"1,412",129,502,309,96,236,0,25,0,8,0,719,"2,087","1,322","2,620","2,917","3,704","4,251"
2020년05월_여_20~29세,"26,354","2,664",572,536,"1,737",908,656,501,151,362,0,27,0,0,0,"1,572","2,142","1,755","2,001","2,622","3,606","4,542"
2020년05월_여_30~39세,"31,120","3,515",556,392,"1,419",398,609,426,120,384,0,24,0,4,0,"1,215","2,360","1,735","2,620","3,432","6,021","5,890"
2020년05월_여_40~49세,"38,465","3,492",697,571,"2,212",280,953,576,154,366,0,23,0,11,0,"1,566","3,233","2,113","4,169","4,528","6,094","7,427"
2020년05월_여_50~59세,"33,621","3,352","1,101","1,012","2,844",520,"1,081","1,052",350,575,0,49,0,8,0,"1,874","2,516","2,195","2,960","3,296","3,602","5,234"
2020년05월_여_60~69세,"23,489","2,609","1,070",902,"2,100",501,922,967,378,554,0,46,0,16,0,"1,514","1,430","1,486","1,822","1,905","2,185","3,082"
2020년05월_여_70~79세,"15,857","1,992",833,692,"1,357",266,620,623,318,499,0,52,0,13,0,"1,003","1,029",937,"1,171","1,136","1,422","1,894"
2020년05월_여_80~89세,"8,555","1,111",543,424,724,229,398,464,222,226,0,24,0,8,0,530,514,499,642,534,597,866
2020년05월_여_90~99세,"1,465",170,92,67,124,37,87,101,46,49,0,1,0,0,0,88,82,72,127,95,100,127
2020년05월_여_100세 이상,133,14,31,9,8,3,8,10,4,2,0,0,0,0,0,10,9,2,10,8,1,4
