,경기도 구리시,경기도 구리시 갈매동,경기도 구리시 동구동,경기도 구리시 인창동,경기도 구리시 교문1동,경기도 구리시 교문2동,경기도 구리시 수택1동,경기도 구리시 수택2동,경기도 구리시 수택3동
2021년06월_계_총인구수,"194,389","31,073","37,853","23,323","16,466","22,096","16,206","25,656","21,716"
2021년06월_계_연령구간인구수,"194,389","31,073","37,853","23,323","16,466","22,096","16,206","25,656","21,716"
2021년06월_계_0~9세,"14,533","4,442","2,634","1,708",712,"1,529",679,"1,302","1,527"
2021년06월_계_10~19세,"17,639","2,327","3,844","2,358","1,076","2,649","1,097","2,045","2,243"
2021년06월_계_20~29세,"26,721","3,249","5,582","3,338","2,216","3,051","2,469","3,795","3,021"
2021년06월_계_30~39세,"25,425","5,687","4,544","2,983","2,013","2,459","1,921","3,170","2,648"
2021년06월_계_40~49세,"32,130","5,914","6,191","3,900","2,500","3,776","2,312","3,641","3,896"
2021년06월_계_50~59세,"35,038","4,135","7,214","4,251","3,181","3,908","3,324","5,039","3,986"
2021년06월_계_60~69세,"25,547","3,407","4,587","2,781","2,729","2,852","2,653","4,002","2,536"
2021년06월_계_70~79세,"11,610","1,435","2,087","1,343","1,324","1,238","1,193","1,761","1,229"
2021년06월_계_80~89세,"5,028",412,"1,018",596,604,559,495,793,551
2021년06월_계_90~99세,666,65,146,63,82,71,61,103,75
2021년06월_계_100세 이상,52,0,6,2,29,4,2,5,4
2021년06월_남_총인구수,"96,457","15,429","18,659","11,399","8,415","10,745","8,100","12,750","10,960"
2021년06월_남_연령구간인구수,"96,457","15,429","18,659","11,399","8,415","10,745","8,100","12,750","10,960"
2021년06월_남_0~9세,"7,480","2,292","1,383",862,371,766,367,652,787
2021년06월_남_10~19세,"9,105","1,158","2,050","1,222",520,"1,345",574,"1,084","1,152"
2021년06월_남_20~29세,"13,734","1,623","2,864","1,685","1,155","1,591","1,217","1,990","1,609"
2021년06월_남_30~39세,"12,813","2,730","2,294","1,467","1,106","1,204","1,042","1,625","1,345"
2021년06월_남_40~49세,"16,059","3,153","2,953","1,889","1,351","1,744","1,164","1,898","1,907"
2021년06월_남_50~59세,"17,273","2,000","3,435","2,085","1,649","1,892","1,664","2,485","2,063"
2021년06월_남_60~69세,"12,717","1,623","2,350","1,345","1,384","1,390","1,365","1,955","1,305"
2021년06월_남_70~79세,"5,203",701,892,596,617,568,518,755,556
2021년06월_남_80~89세,"1,879",137,393,226,226,225,172,284,216
2021년06월_남_90~99세,174,12,43,21,24,19,16,20,19
2021년06월_남_100세 이상,20,0,2,1,12,1,1,2,1
2021년06월_여_총인구수,"97,932","15,644","19,194","11,924","8,051","11,351","8,106","12,906","10,756"
2021년06월_여_연령구간인구수,"97,932","15,644","19,194","11,924","8,051","11,351","8,106","12,906","10,756"
2021년06월_여_0~9세,"7,053","2,150","1,251",846,341,763,312,650,740
2021년06월_여_10~19세,"8,534","1,169","1,794","1,136",556,"1,304",523,961,"1,091"
2021년06월_여_20~29세,"12,987","1,626","2,718","1,653","1,061","1,460","1,252","1,805","1,412"
2021년06월_여_30~39세,"12,612","2,957","2,250","1,516",907,"1,255",879,"1,545","1,303"
2021년06월_여_40~49세,"16,071","2,761","3,238","2,011","1,149","2,032","1,148","1,743","1,989"
2021년06월_여_50~59세,"17,765","2,135","3,779","2,166","1,532","2,016","1,660","2,554","1,923"
2021년06월_여_60~69세,"12,830","1,784","2,237","1,436","1,345","1,462","1,288","2,047","1,231"
2021년06월_여_70~79세,"6,407",734,"1,195",747,707,670,675,"1,006",673
2021년06월_여_80~89세,"3,149",275,625,370,378,334,323,509,335
2021년06월_여_90~99세,492,53,103,42,58,52,45,83,56
2021년06월_여_100세 이상,32,0,4,1,17,3,1,3,3
