카테고리,서울특별시 서초구,서울특별시 서초구 서초1동,서울특별시 서초구 서초2동,서울특별시 서초구 서초3동,서울특별시 서초구 서초4동,서울특별시 서초구 잠원동,서울특별시 서초구 반포본동,서울특별시 서초구 반포1동,서울특별시 서초구 반포2동,서울특별시 서초구 반포3동,서울특별시 서초구 반포4동,서울특별시 서초구 방배본동,서울특별시 서초구 방배1동,서울특별시 서초구 방배2동,서울특별시 서초구 방배3동,서울특별시 서초구 방배4동,서울특별시 서초구 양재1동,서울특별시 서초구 양재2동,서울특별시 서초구 내곡동
2020년02월_계_총인구수,"431,336","21,306","18,658","30,900","31,787","34,946","12,131","32,931","16,252","20,304","19,732","21,377","17,579","20,777","22,158","23,725","45,396","22,911","18,466"
2020년02월_계_연령구간인구수,"431,336","21,306","18,658","30,900","31,787","34,946","12,131","32,931","16,252","20,304","19,732","21,377","17,579","20,777","22,158","23,725","45,396","22,911","18,466"
2020년02월_계_0~9세,"35,952","1,625","1,523","1,762","3,180","2,739",632,"3,236","1,981","1,877","1,813","1,565","1,243","1,270","1,414","1,703","4,565","1,598","2,226"
2020년02월_계_10~19세,"45,825","1,959","1,680","2,766","4,207","4,064","1,987","3,545","2,732","2,757","2,192","2,890","1,390","1,700","2,115","2,643","4,277","1,666","1,255"
2020년02월_계_20~29세,"56,281","2,859","2,712","5,116","3,605","4,607","1,515","4,386","1,378","2,238","2,414","2,672","2,567","3,004","2,960","3,250","5,480","3,515","2,003"
2020년02월_계_30~39세,"66,448","3,785","3,837","5,030","3,996","5,331",922,"5,881","1,707","2,531","2,862","2,507","3,128","3,236","3,128","3,695","7,234","4,599","3,039"
2020년02월_계_40~49세,"78,925","3,879","3,307","4,939","6,505","6,721","2,417","6,714","3,761","4,296","3,629","4,079","2,912","3,200","3,381","4,365","7,879","3,961","2,980"
2020년02월_계_50~59세,"62,999","2,945","2,441","4,753","4,637","5,538","2,085","4,077","2,073","3,017","2,836","3,432","2,455","3,285","3,700","3,487","6,348","3,345","2,545"
2020년02월_계_60~69세,"46,770","2,378","1,783","3,535","3,015","3,396","1,213","2,946","1,311","1,928","2,277","2,203","2,064","2,827","3,151","2,333","5,488","2,515","2,407"
2020년02월_계_70~79세,"26,766","1,306",995,"2,120","1,827","1,690",979,"1,552",914,"1,134","1,195","1,314","1,296","1,633","1,630","1,574","2,914","1,253","1,440"
2020년02월_계_80~89세,"9,371",467,294,740,671,699,334,475,304,434,417,608,431,516,562,579,990,364,486
2020년02월_계_90~99세,"1,784",99,69,123,128,142,37,100,67,79,91,102,81,93,111,84,215,88,75
