,광주광역시 광산구,광주광역시 광산구 송정1동,광주광역시 광산구 송정2동,광주광역시 광산구 도산동,광주광역시 광산구 신흥동,광주광역시 광산구 어룡동,광주광역시 광산구 우산동,광주광역시 광산구 월곡1동,광주광역시 광산구 월곡2동,광주광역시 광산구 비아동,광주광역시 광산구 첨단1동,광주광역시 광산구 첨단2동,광주광역시 광산구 신가동,광주광역시 광산구 운남동,광주광역시 광산구 수완동,광주광역시 광산구 하남동,광주광역시 광산구 임곡동,광주광역시 광산구 동곡동,광주광역시 광산구 평동,광주광역시 광산구 삼도동,광주광역시 광산구 본량동,광주광역시 광산구 신창동
2020년07월_계_총인구수,"407,133","11,253","6,710","15,976","4,750","32,916","27,179","11,560","16,375","7,333","27,289","43,720","20,792","31,868","78,338","23,325","2,180","1,938","4,041","2,287","2,084","35,219"
2020년07월_계_연령구간인구수,"407,133","11,253","6,710","15,976","4,750","32,916","27,179","11,560","16,375","7,333","27,289","43,720","20,792","31,868","78,338","23,325","2,180","1,938","4,041","2,287","2,084","35,219"
2020년07월_계_0~9세,"41,450",739,357,"1,538",352,"4,067","2,193",773,"1,242",690,"2,004","3,952","2,196","3,179","10,722","3,191",65,50,139,59,43,"3,899"
2020년07월_계_10~19세,"53,272","1,215",406,"1,750",431,"3,682","2,172","1,205","2,133",782,"3,599","5,800","3,126","4,090","13,609","3,143",124,81,144,117,89,"5,574"
2020년07월_계_20~29세,"58,256","1,751",974,"2,219",612,"3,991","4,148","1,979","2,459",923,"5,113","7,843","2,918","4,821","9,364","2,817",188,179,415,171,148,"5,223"
2020년07월_계_30~39세,"55,848","1,235",931,"2,312",578,"5,638","4,209","1,328","1,819",937,"3,270","5,895","2,607","4,225","10,961","3,716",120,144,450,158,135,"5,180"
2020년07월_계_40~49세,"77,462","1,953",890,"2,802",725,"6,053","4,085","1,773","2,994","1,408","4,502","8,233","4,325","5,950","18,099","4,740",187,181,509,211,237,"7,605"
2020년07월_계_50~59세,"63,070","1,823","1,095","2,437",801,"4,508","4,820","2,305","3,021","1,317","5,418","7,502","3,157","5,453","9,482","3,127",387,330,656,401,339,"4,691"
2020년07월_계_60~69세,"32,048","1,302",938,"1,447",618,"2,910","3,109","1,343","1,652",660,"2,117","2,634","1,374","2,266","3,750","1,719",450,399,783,464,350,"1,763"
2020년07월_계_70~79세,"16,932",871,771,"1,016",449,"1,393","1,530",557,729,386,801,"1,188",777,"1,264","1,667",579,360,372,582,367,396,877
2020년07월_계_80~89세,"7,615",313,304,388,148,575,781,263,290,208,399,584,275,547,590,255,258,179,296,298,308,356
2020년07월_계_90~99세,"1,116",48,38,62,32,93,129,34,33,22,66,85,33,69,90,34,40,20,64,38,37,49
2020년07월_계_100세 이상,64,3,6,5,4,6,3,0,3,0,0,4,4,4,4,4,1,3,3,3,2,2
2020년07월_남_총인구수,"205,039","5,670","3,388","8,032","2,399","16,819","13,802","5,871","8,309","3,858","13,542","22,042","10,601","15,632","38,715","11,877","1,115",991,"2,226","1,172","1,035","17,943"
2020년07월_남_연령구간인구수,"205,039","5,670","3,388","8,032","2,399","16,819","13,802","5,871","8,309","3,858","13,542","22,042","10,601","15,632","38,715","11,877","1,115",991,"2,226","1,172","1,035","17,943"
2020년07월_남_0~9세,"21,304",371,195,810,183,"2,100","1,129",400,648,337,"1,012","2,056","1,140","1,605","5,544","1,631",28,28,68,25,18,"1,976"
2020년07월_남_10~19세,"27,449",635,206,938,230,"1,873","1,128",638,"1,109",419,"1,819","2,989","1,600","2,139","6,837","1,645",68,42,71,64,50,"2,949"
2020년07월_남_20~29세,"30,824",957,523,"1,179",332,"2,171","2,181","1,060","1,312",520,"2,697","4,187","1,580","2,454","4,818","1,461",105,107,246,108,77,"2,749"
2020년07월_남_30~39세,"28,308",663,533,"1,188",308,"2,912","2,332",724,931,493,"1,676","3,047","1,275","2,096","5,054","1,815",72,91,292,100,77,"2,629"
2020년07월_남_40~49세,"38,644","1,006",488,"1,433",384,"3,276","2,114",881,"1,481",769,"2,027","3,850","2,188","2,873","8,821","2,511",112,111,345,127,154,"3,693"
2020년07월_남_50~59세,"32,825",964,553,"1,235",416,"2,249","2,449","1,141","1,552",745,"2,651","3,885","1,740","2,753","5,037","1,573",235,198,420,253,197,"2,579"
2020년07월_남_60~69세,"15,982",601,424,676,281,"1,436","1,630",685,833,349,"1,147","1,368",660,"1,059","1,759",905,246,194,417,249,196,867
2020년07월_남_70~79세,"7,266",352,350,435,208,619,639,257,339,167,358,479,334,472,679,263,166,171,267,163,160,388
2020년07월_남_80~89세,"2,226",110,107,126,51,168,186,78,95,53,144,163,76,164,154,66,78,45,86,77,95,104
2020년07월_남_90~99세,206,11,9,12,6,14,14,7,9,6,11,17,7,17,12,7,5,3,14,5,11,9
2020년07월_남_100세 이상,5,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0
2020년07월_여_총인구수,"202,094","5,583","3,322","7,944","2,351","16,097","13,377","5,689","8,066","3,475","13,747","21,678","10,191","16,236","39,623","11,448","1,065",947,"1,815","1,115","1,049","17,276"
2020년07월_여_연령구간인구수,"202,094","5,583","3,322","7,944","2,351","16,097","13,377","5,689","8,066","3,475","13,747","21,678","10,191","16,236","39,623","11,448","1,065",947,"1,815","1,115","1,049","17,276"
2020년07월_여_0~9세,"20,146",368,162,728,169,"1,967","1,064",373,594,353,992,"1,896","1,056","1,574","5,178","1,560",37,22,71,34,25,"1,923"
2020년07월_여_10~19세,"25,823",580,200,812,201,"1,809","1,044",567,"1,024",363,"1,780","2,811","1,526","1,951","6,772","1,498",56,39,73,53,39,"2,625"
2020년07월_여_20~29세,"27,432",794,451,"1,040",280,"1,820","1,967",919,"1,147",403,"2,416","3,656","1,338","2,367","4,546","1,356",83,72,169,63,71,"2,474"
2020년07월_여_30~39세,"27,540",572,398,"1,124",270,"2,726","1,877",604,888,444,"1,594","2,848","1,332","2,129","5,907","1,901",48,53,158,58,58,"2,551"
2020년07월_여_40~49세,"38,818",947,402,"1,369",341,"2,777","1,971",892,"1,513",639,"2,475","4,383","2,137","3,077","9,278","2,229",75,70,164,84,83,"3,912"
2020년07월_여_50~59세,"30,245",859,542,"1,202",385,"2,259","2,371","1,164","1,469",572,"2,767","3,617","1,417","2,700","4,445","1,554",152,132,236,148,142,"2,112"
2020년07월_여_60~69세,"16,066",701,514,771,337,"1,474","1,479",658,819,311,970,"1,266",714,"1,207","1,991",814,204,205,366,215,154,896
2020년07월_여_70~79세,"9,666",519,421,581,241,774,891,300,390,219,443,709,443,792,988,316,194,201,315,204,236,489
2020년07월_여_80~89세,"5,389",203,197,262,97,407,595,185,195,155,255,421,199,383,436,189,180,134,210,221,213,252
2020년07월_여_90~99세,910,37,29,50,26,79,115,27,24,16,55,68,26,52,78,27,35,17,50,33,26,40
2020년07월_여_100세 이상,59,3,6,5,4,5,3,0,3,0,0,3,3,4,4,4,1,2,3,2,2,2
