,서울특별시 광진구,서울특별시 광진구 화양동,서울특별시 광진구 군자동,서울특별시 광진구 중곡제1동,서울특별시 광진구 중곡제2동,서울특별시 광진구 중곡제3동,서울특별시 광진구 중곡제4동,서울특별시 광진구 능동,서울특별시 광진구 광장동,서울특별시 광진구 자양제1동,서울특별시 광진구 자양제2동,서울특별시 광진구 자양제3동,서울특별시 광진구 자양제4동,서울특별시 광진구 구의제1동,서울특별시 광진구 구의제2동,서울특별시 광진구 구의제3동
2020년12월_계_총인구수,"346,682","22,658","19,930","15,792","21,943","16,683","29,387","11,610","35,440","22,790","25,641","28,687","17,810","22,040","26,954","29,317"
2020년12월_계_연령구간인구수,"346,682","22,658","19,930","15,792","21,943","16,683","29,387","11,610","35,440","22,790","25,641","28,687","17,810","22,040","26,954","29,317"
2020년12월_계_0~9세,"19,572",381,889,774,"1,208",765,"1,483",578,"3,315","1,017","1,628","2,335",710,852,"1,774","1,863"
2020년12월_계_10~19세,"25,931",713,"1,047",764,"1,408",957,"1,950",553,"5,511","1,513","1,889","2,640",879,"1,189","2,361","2,557"
2020년12월_계_20~29세,"62,940","9,653","4,493","2,829","3,915","2,712","4,493","2,405","4,147","4,390","3,859","3,953","2,707","4,836","3,777","4,771"
2020년12월_계_30~39세,"55,983","4,383","3,637","2,990","3,932","2,750","4,387","2,668","3,839","3,789","3,934","4,335","2,612","4,228","3,875","4,624"
2020년12월_계_40~49세,"52,482","2,189","2,627","2,193","3,006","2,323","4,178","1,641","7,692","3,385","4,039","4,594","2,468","3,217","4,358","4,572"
2020년12월_계_50~59세,"54,541","2,091","2,899","2,532","3,571","2,921","5,323","1,415","5,470","3,628","4,283","4,675","3,120","3,191","4,526","4,896"
2020년12월_계_60~69세,"42,460","1,701","2,364","2,084","2,833","2,405","4,363","1,258","3,022","2,852","3,610","3,554","2,992","2,441","3,492","3,489"
2020년12월_계_70~79세,"22,428","1,050","1,366","1,174","1,494","1,293","2,305",746,"1,473","1,536","1,694","1,615","1,619","1,429","1,938","1,696"
2020년12월_계_80~89세,"8,850",408,532,387,496,483,767,294,810,584,596,847,608,580,737,721
2020년12월_계_90~99세,"1,277",66,66,56,71,60,111,46,151,82,96,124,78,62,92,116
2020년12월_계_100세 이상,218,23,10,9,9,14,27,6,10,14,13,15,17,15,24,12
2020년12월_남_총인구수,"167,310","10,734","9,841","7,686","10,394","8,281","14,401","5,329","17,122","10,950","12,496","13,771","8,877","10,528","12,961","13,939"
2020년12월_남_연령구간인구수,"167,310","10,734","9,841","7,686","10,394","8,281","14,401","5,329","17,122","10,950","12,496","13,771","8,877","10,528","12,961","13,939"
2020년12월_남_0~9세,"9,977",182,461,404,623,413,774,295,"1,723",493,839,"1,169",345,438,900,918
2020년12월_남_10~19세,"13,219",330,546,394,709,491,"1,049",291,"2,817",793,"1,003","1,304",431,590,"1,193","1,278"
2020년12월_남_20~29세,"29,521","4,131","2,128","1,287","1,749","1,346","2,256","1,011","2,057","2,069","1,915","1,944","1,320","2,217","1,856","2,235"
2020년12월_남_30~39세,"27,696","2,301","1,868","1,518","1,908","1,439","2,194","1,197","1,656","1,904","1,945","2,051","1,410","2,122","1,937","2,246"
