,대구광역시 동구,대구광역시 동구 신암1동,대구광역시 동구 신암2동,대구광역시 동구 신암3동,대구광역시 동구 신암4동,대구광역시 동구 신암5동,대구광역시 동구 신천1.2동,대구광역시 동구 신천3동,대구광역시 동구 신천4동,대구광역시 동구 효목1동,대구광역시 동구 효목2동,대구광역시 동구 도평동,대구광역시 동구 불로.봉무동,대구광역시 동구 지저동,대구광역시 동구 동촌동,대구광역시 동구 방촌동,대구광역시 동구 해안동,대구광역시 동구 안심1동,대구광역시 동구 안심2동,대구광역시 동구 안심3동,대구광역시 동구 안심4동,대구광역시 동구 혁신동,대구광역시 동구 공산동
2020년10월_계_총인구수,"342,552","7,720","10,729","8,879","13,128","6,581","13,340","12,558","7,518","14,199","14,443","4,181","21,813","15,019","15,927","18,344","15,273","43,792","11,408","21,399","29,615","18,861","17,825"
2020년10월_계_연령구간인구수,"342,552","7,720","10,729","8,879","13,128","6,581","13,340","12,558","7,518","14,199","14,443","4,181","21,813","15,019","15,927","18,344","15,273","43,792","11,408","21,399","29,615","18,861","17,825"
2020년10월_계_0~9세,"25,474",286,"1,054",721,436,228,820,910,163,547,734,196,"2,332",702,871,889,764,"3,881",667,"2,493","2,640","3,119","1,021"
2020년10월_계_10~19세,"26,710",456,842,587,710,415,925,"1,034",372,864,"1,014",252,"2,318",949,936,"1,306",926,"3,714",676,"2,694","2,985","1,451","1,284"
2020년10월_계_20~29세,"41,769",884,"1,009",995,"1,868",800,"1,555","1,669","1,283","1,822","1,835",616,"2,272","2,008","2,158","2,399","1,876","5,342","1,461","2,207","3,870","2,009","1,831"
2020년10월_계_30~39세,"44,218",680,"1,480","1,277","1,489",576,"1,571","1,587","1,064","1,453","1,604",457,"2,902","1,597","1,927","1,778","1,640","5,835","1,424","3,174","4,248","4,665","1,790"
2020년10월_계_40~49세,"51,544",982,"1,865","1,222","1,771",850,"1,931","1,958",995,"1,730","2,062",495,"3,977","1,838","2,040","2,336","1,964","6,901","1,481","4,226","4,957","3,481","2,482"
2020년10월_계_50~59세,"57,196","1,357","1,541","1,410","2,604","1,236","2,232","2,226","1,300","2,587","2,449",746,"3,316","3,002","3,001","3,560","2,819","7,116","2,200","2,850","4,675","1,719","3,250"
2020년10월_계_60~69세,"51,006","1,419","1,406","1,379","2,322","1,275","2,085","1,656","1,249","2,639","2,506",712,"2,694","2,784","2,710","3,260","2,781","6,183","1,916","1,948","3,555","1,492","3,035"
2020년10월_계_70~79세,"30,177","1,077","1,014",858,"1,338",805,"1,471",978,725,"1,734","1,507",469,"1,385","1,497","1,565","1,875","1,713","3,225","1,108","1,253","1,874",669,"2,037"
