카테고리,강원도 춘천시,강원도 춘천시 신북읍,강원도 춘천시 동면,강원도 춘천시 동산면,강원도 춘천시 신동면,강원도 춘천시 남면,강원도 춘천시 서면,강원도 춘천시 사북면,강원도 춘천시 북산면,강원도 춘천시 동내면,강원도 춘천시 남산면,강원도 춘천시 교동,강원도 춘천시 조운동,강원도 춘천시 약사명동,강원도 춘천시 근화동,강원도 춘천시 소양동,강원도 춘천시 후평1동,강원도 춘천시 후평2동,강원도 춘천시 후평3동,강원도 춘천시 효자1동,강원도 춘천시 효자2동,강원도 춘천시 효자3동,강원도 춘천시 석사동,강원도 춘천시 퇴계동,강원도 춘천시 강남동,강원도 춘천시 신사우동
2020년05월_계_총인구수,"281,439","7,807","19,669","1,499","2,579","1,100","3,866","2,568",956,"17,330","3,529","3,600","2,977","2,347","8,969","9,997","11,994","15,195","21,405","4,644","11,974","4,636","35,881","49,642","16,849","20,426"
2020년05월_계_연령구간인구수,"281,439","7,807","19,669","1,499","2,579","1,100","3,866","2,568",956,"17,330","3,529","3,600","2,977","2,347","8,969","9,997","11,994","15,195","21,405","4,644","11,974","4,636","35,881","49,642","16,849","20,426"
2020년05월_계_0~9세,"21,985",365,"2,288",27,111,25,120,73,18,"1,539",82,110,92,95,983,818,569,"1,345","1,782",350,440,161,"2,744","4,526","1,283","2,039"
2020년05월_계_10~19세,"27,394",483,"2,421",68,143,38,194,154,23,"1,716",167,195,148,124,686,769,890,"1,517","2,083",412,735,247,"4,503","6,122","1,380","2,176"
2020년05월_계_20~29세,"36,943",838,"1,889",129,256,42,241,173,37,"2,173",257,834,420,274,"1,066","1,254","1,903","2,189","2,702",550,"2,614","1,042","5,138","6,232","2,214","2,476"
2020년05월_계_30~39세,"34,570",693,"2,539",99,209,70,237,122,40,"2,449",277,422,316,228,"1,472","1,323","1,391","2,180","2,924",513,"1,283",631,"3,943","6,415","2,182","2,612"
2020년05월_계_40~49세,"42,604",928,"3,560",122,267,91,358,226,68,"2,874",366,387,370,273,"1,203","1,408","1,579","2,251","3,174",710,"1,476",524,"6,135","8,568","2,410","3,276"
2020년05월_계_50~59세,"47,033","1,482","3,079",277,510,220,739,503,191,"2,816",699,527,529,422,"1,296","1,756","2,062","2,469","3,497",787,"1,848",711,"6,264","8,273","2,955","3,121"
2020년05월_계_60~69세,"36,611","1,385","2,283",380,559,268,914,628,286,"2,084",863,522,515,409,"1,060","1,318","1,846","1,649","2,783",638,"1,677",648,"3,764","5,282","2,465","2,385"
2020년05월_계_70~79세,"21,096",940,"1,011",224,287,191,580,416,193,"1,036",518,378,348,303,753,838,"1,115",981,"1,537",440,"1,179",412,"2,093","2,605","1,265","1,453"
2020년05월_계_80~89세,"11,248",603,501,159,213,132,393,229,90,551,253,199,196,172,378,430,542,515,801,208,633,229,"1,118","1,383",578,742
2020년05월_계_90~99세,"1,846",86,96,13,23,22,83,43,10,88,44,24,41,44,67,72,92,93,121,36,81,29,174,227,112,125
2020년05월_계_100세 이상,109,4,2,1,1,1,7,1,0,4,3,2,2,3,5,11,5,6,1,0,8,2,5,9,5,21
2020년05월_남_총인구수,"138,877","3,912","9,764",820,"1,332",597,"1,981","1,254",533,"8,655","1,864","1,824","1,443","1,143","4,535","4,842","5,908","7,280","10,143","2,335","6,325","2,320","17,586","23,926","8,288","10,267"
2020년05월_남_연령구간인구수,"138,877","3,912","9,764",820,"1,332",597,"1,981","1,254",533,"8,655","1,864","1,824","1,443","1,143","4,535","4,842","5,908","7,280","10,143","2,335","6,325","2,320","17,586","23,926","8,288","10,267"
2020년05월_남_0~9세,"11,291",178,"1,196",12,60,18,63,36,12,810,49,72,44,49,516,398,296,692,884,180,216,85,"1,364","2,330",678,"1,053"
2020년05월_남_10~19세,"14,240",248,"1,260",44,64,20,107,86,7,865,95,106,76,68,381,415,458,795,"1,033",231,392,118,"2,304","3,181",712,"1,174"
2020년05월_남_20~29세,"19,692",465,"1,032",74,161,29,128,108,22,"1,123",138,437,216,158,569,657,988,"1,136","1,356",312,"1,540",505,"2,689","3,257","1,184","1,408"
2020년05월_남_30~39세,"17,550",376,"1,181",59,114,42,128,65,27,"1,266",163,236,162,125,758,658,764,"1,078","1,482",260,765,355,"2,021","3,063","1,128","1,274"
2020년05월_남_40~49세,"21,115",498,"1,773",78,153,56,215,111,39,"1,493",215,214,210,142,629,716,809,"1,055","1,516",372,811,303,"2,902","3,975","1,177","1,653"
2020년05월_남_50~59세,"23,551",782,"1,559",158,283,135,399,238,113,"1,422",393,276,272,211,719,866,"1,034","1,158","1,644",383,"1,039",352,"3,142","3,971","1,394","1,608"
2020년05월_남_60~69세,"17,705",712,"1,108",222,273,141,506,323,174,"1,018",443,232,244,203,508,605,856,762,"1,299",310,810,310,"1,844","2,508","1,160","1,134"
2020년05월_남_70~79세,"9,203",425,460,107,145,92,286,190,97,449,269,176,153,120,291,350,483,407,642,182,491,180,860,"1,087",614,647
2020년05월_남_80~89세,"4,049",203,179,64,75,56,125,88,39,188,86,68,55,58,138,154,201,168,257,92,242,102,422,503,212,274
2020년05월_남_90~99세,433,23,15,2,3,8,20,9,3,20,11,5,10,7,25,19,18,28,29,13,13,9,36,50,28,29
2020년05월_남_100세 이상,48,2,1,0,1,0,4,0,0,1,2,2,1,2,1,4,1,1,1,0,6,1,2,1,1,13
2020년05월_여_총인구수,"142,562","3,895","9,905",679,"1,247",503,"1,885","1,314",423,"8,675","1,665","1,776","1,534","1,204","4,434","5,155","6,086","7,915","11,262","2,309","5,649","2,316","18,295","25,716","8,561","10,159"
2020년05월_여_연령구간인구수,"142,562","3,895","9,905",679,"1,247",503,"1,885","1,314",423,"8,675","1,665","1,776","1,534","1,204","4,434","5,155","6,086","7,915","11,262","2,309","5,649","2,316","18,295","25,716","8,561","10,159"
2020년05월_여_0~9세,"10,694",187,"1,092",15,51,7,57,37,6,729,33,38,48,46,467,420,273,653,898,170,224,76,"1,380","2,196",605,986
2020년05월_여_10~19세,"13,154",235,"1,161",24,79,18,87,68,16,851,72,89,72,56,305,354,432,722,"1,050",181,343,129,"2,199","2,941",668,"1,002"
2020년05월_여_20~29세,"17,251",373,857,55,95,13,113,65,15,"1,050",119,397,204,116,497,597,915,"1,053","1,346",238,"1,074",537,"2,449","2,975","1,030","1,068"
2020년05월_여_30~39세,"17,020",317,"1,358",40,95,28,109,57,13,"1,183",114,186,154,103,714,665,627,"1,102","1,442",253,518,276,"1,922","3,352","1,054","1,338"
2020년05월_여_40~49세,"21,489",430,"1,787",44,114,35,143,115,29,"1,381",151,173,160,131,574,692,770,"1,196","1,658",338,665,221,"3,233","4,593","1,233","1,623"
2020년05월_여_50~59세,"23,482",700,"1,520",119,227,85,340,265,78,"1,394",306,251,257,211,577,890,"1,028","1,311","1,853",404,809,359,"3,122","4,302","1,561","1,513"
2020년05월_여_60~69세,"18,906",673,"1,175",158,286,127,408,305,112,"1,066",420,290,271,206,552,713,990,887,"1,484",328,867,338,"1,920","2,774","1,305","1,251"
2020년05월_여_70~79세,"11,893",515,551,117,142,99,294,226,96,587,249,202,195,183,462,488,632,574,895,258,688,232,"1,233","1,518",651,806
2020년05월_여_80~89세,"7,199",400,322,95,138,76,268,141,51,363,167,131,141,114,240,276,341,347,544,116,391,127,696,880,366,468
2020년05월_여_90~99세,"1,413",63,81,11,20,14,63,34,7,68,33,19,31,37,42,53,74,65,92,23,68,20,138,177,84,96
2020년05월_여_100세 이상,61,2,1,1,0,1,3,1,0,3,1,0,1,1,4,7,4,5,0,0,2,1,3,8,4,8
