,전라남도 진도군,전라남도 진도군 진도읍,전라남도 진도군 군내면,전라남도 진도군 고군면,전라남도 진도군 의신면,전라남도 진도군 임회면,전라남도 진도군 지산면,전라남도 진도군 조도면,전라남도 진도군 조도면가사출장소,전라남도 진도군 조도면거차출장소
2021년06월_계_총인구수,"30,368","10,863","2,984","3,588","3,445","3,412","3,125","2,298",264,389
2021년06월_계_연령구간인구수,"30,368","10,863","2,984","3,588","3,445","3,412","3,125","2,298",264,389
2021년06월_계_0~9세,"1,619",870,103,183,117,108,103,97,14,24
2021년06월_계_10~19세,"2,180","1,152",161,241,156,186,111,125,6,42
2021년06월_계_20~29세,"2,503","1,245",194,256,212,217,208,133,17,21
2021년06월_계_30~39세,"2,159","1,106",169,241,183,171,140,113,14,22
2021년06월_계_40~49세,"3,506","1,594",298,385,345,305,229,270,30,50
2021년06월_계_50~59세,"4,965","1,700",520,555,601,599,491,384,45,70
2021년06월_계_60~69세,"5,428","1,530",595,747,725,662,650,413,45,61
2021년06월_계_70~79세,"4,588","1,044",534,535,630,657,658,417,50,63
2021년06월_계_80~89세,"3,024",549,365,388,415,435,482,320,40,30
2021년06월_계_90~99세,384,70,45,54,60,72,51,23,3,6
2021년06월_계_100세 이상,12,3,0,3,1,0,2,3,0,0
2021년06월_남_총인구수,"15,052","5,352","1,513","1,753","1,761","1,644","1,500","1,190",140,199
2021년06월_남_연령구간인구수,"15,052","5,352","1,513","1,753","1,761","1,644","1,500","1,190",140,199
2021년06월_남_0~9세,792,414,55,95,66,54,48,43,7,10
2021년06월_남_10~19세,"1,105",593,78,120,82,88,53,63,6,22
2021년06월_남_20~29세,"1,466",720,123,139,121,120,132,88,7,16
2021년06월_남_30~39세,"1,157",550,100,134,115,94,78,66,9,11
2021년06월_남_40~49세,"2,045",820,181,237,231,188,154,178,22,34
2021년06월_남_50~59세,"2,797",870,300,307,357,339,292,257,28,47
2021년06월_남_60~69세,"2,745",738,316,368,368,345,320,234,28,28
2021년06월_남_70~79세,"1,982",464,239,225,276,281,279,171,24,23
2021년06월_남_80~89세,893,167,111,121,132,126,134,87,8,7
2021년06월_남_90~99세,70,16,10,7,13,9,10,3,1,1
2021년06월_남_100세 이상,0,0,0,0,0,0,0,0,0,0
2021년06월_여_총인구수,"15,316","5,511","1,471","1,835","1,684","1,768","1,625","1,108",124,190
2021년06월_여_연령구간인구수,"15,316","5,511","1,471","1,835","1,684","1,768","1,625","1,108",124,190
2021년06월_여_0~9세,827,456,48,88,51,54,55,54,7,14
2021년06월_여_10~19세,"1,075",559,83,121,74,98,58,62,0,20
2021년06월_여_20~29세,"1,037",525,71,117,91,97,76,45,10,5
2021년06월_여_30~39세,"1,002",556,69,107,68,77,62,47,5,11
2021년06월_여_40~49세,"1,461",774,117,148,114,117,75,92,8,16
2021년06월_여_50~59세,"2,168",830,220,248,244,260,199,127,17,23
2021년06월_여_60~69세,"2,683",792,279,379,357,317,330,179,17,33
2021년06월_여_70~79세,"2,606",580,295,310,354,376,379,246,26,40
2021년06월_여_80~89세,"2,131",382,254,267,283,309,348,233,32,23
2021년06월_여_90~99세,314,54,35,47,47,63,41,20,2,5
2021년06월_여_100세 이상,12,3,0,3,1,0,2,3,0,0
