,강원도 철원군,강원도 철원군 철원읍,강원도 철원군 김화읍,강원도 철원군 갈말읍,강원도 철원군 동송읍,강원도 철원군 서면,강원도 철원군 서면와수출장소,강원도 철원군 근남면,강원도 철원군 근북면,강원도 철원군 근동면,강원도 철원군 원동면,강원도 철원군 원남면,강원도 철원군 임남면
2021년08월_계_총인구수,"43,691","5,316","3,531","11,846","15,084","1,883","3,715","2,212",104,0,0,0,0
2021년08월_계_연령구간인구수,"43,691","5,316","3,531","11,846","15,084","1,883","3,715","2,212",104,0,0,0,0
2021년08월_계_0~9세,"3,225",424,359,779,"1,099",162,230,172,0,0,0,0,0
2021년08월_계_10~19세,"3,651",463,257,956,"1,425",83,330,134,3,0,0,0,0
2021년08월_계_20~29세,"5,397",624,486,"1,549","1,690",356,420,271,1,0,0,0,0
2021년08월_계_30~39세,"4,584",581,469,"1,212","1,495",239,335,251,2,0,0,0,0
2021년08월_계_40~49세,"5,530",647,390,"1,573","2,011",181,525,195,8,0,0,0,0
2021년08월_계_50~59세,"6,969",851,452,"1,976","2,493",223,621,335,18,0,0,0,0
2021년08월_계_60~69세,"7,057",819,521,"1,955","2,429",284,614,417,18,0,0,0,0
2021년08월_계_70~79세,"4,563",579,351,"1,188","1,533",216,379,283,34,0,0,0,0
2021년08월_계_80~89세,"2,336",291,209,559,780,119,224,135,19,0,0,0,0
2021년08월_계_90~99세,363,37,35,91,126,19,36,18,1,0,0,0,0
2021년08월_계_100세 이상,16,0,2,8,3,1,1,1,0,0,0,0,0
2021년08월_남_총인구수,"22,693","2,709","1,885","6,352","7,587","1,050","1,877","1,185",48,0,0,0,0
2021년08월_남_연령구간인구수,"22,693","2,709","1,885","6,352","7,587","1,050","1,877","1,185",48,0,0,0,0
2021년08월_남_0~9세,"1,612",198,195,382,538,83,122,94,0,0,0,0,0
2021년08월_남_10~19세,"1,904",257,133,528,703,53,161,67,2,0,0,0,0
2021년08월_남_20~29세,"3,493",368,322,"1,054","1,018",262,269,199,1,0,0,0,0
2021년08월_남_30~39세,"2,554",321,264,710,794,150,172,142,1,0,0,0,0
2021년08월_남_40~49세,"2,946",345,222,825,"1,032",108,293,116,5,0,0,0,0
2021년08월_남_50~59세,"3,722",465,245,"1,045","1,337",120,329,170,11,0,0,0,0
2021년08월_남_60~69세,"3,493",397,273,"1,017","1,163",135,287,215,6,0,0,0,0
2021년08월_남_70~79세,"2,045",252,145,537,707,97,163,132,12,0,0,0,0
2021년08월_남_80~89세,838,98,79,230,263,36,76,46,10,0,0,0,0
2021년08월_남_90~99세,82,8,7,21,32,5,5,4,0,0,0,0,0
2021년08월_남_100세 이상,4,0,0,3,0,1,0,0,0,0,0,0,0
2021년08월_여_총인구수,"20,998","2,607","1,646","5,494","7,497",833,"1,838","1,027",56,0,0,0,0
2021년08월_여_연령구간인구수,"20,998","2,607","1,646","5,494","7,497",833,"1,838","1,027",56,0,0,0,0
2021년08월_여_0~9세,"1,613",226,164,397,561,79,108,78,0,0,0,0,0
2021년08월_여_10~19세,"1,747",206,124,428,722,30,169,67,1,0,0,0,0
2021년08월_여_20~29세,"1,904",256,164,495,672,94,151,72,0,0,0,0,0
2021년08월_여_30~39세,"2,030",260,205,502,701,89,163,109,1,0,0,0,0
2021년08월_여_40~49세,"2,584",302,168,748,979,73,232,79,3,0,0,0,0
2021년08월_여_50~59세,"3,247",386,207,931,"1,156",103,292,165,7,0,0,0,0
2021년08월_여_60~69세,"3,564",422,248,938,"1,266",149,327,202,12,0,0,0,0
2021년08월_여_70~79세,"2,518",327,206,651,826,119,216,151,22,0,0,0,0
2021년08월_여_80~89세,"1,498",193,130,329,517,83,148,89,9,0,0,0,0
2021년08월_여_90~99세,281,29,28,70,94,14,31,14,1,0,0,0,0
2021년08월_여_100세 이상,12,0,2,5,3,0,1,1,0,0,0,0,0
