,인천광역시,인천광역시 중구,인천광역시 동구,인천광역시 미추홀구,인천광역시 연수구,인천광역시 남동구,인천광역시 부평구,인천광역시 계양구,인천광역시 서구,인천광역시 강화군,인천광역시 옹진군
2021년06월_계_총인구수,"2,936,367","140,175","61,436","404,618","390,827","521,340","490,609","296,442","541,304","69,285","20,331"
2021년06월_계_연령구간인구수,"2,936,367","140,175","61,436","404,618","390,827","521,340","490,609","296,442","541,304","69,285","20,331"
2021년06월_계_0~9세,"221,908","11,667","3,550","26,669","38,190","39,766","31,652","17,995","48,198","3,308",913
2021년06월_계_10~19세,"271,701","12,773","4,930","31,544","43,087","49,245","42,171","26,079","56,257","4,538","1,077"
2021년06월_계_20~29세,"395,569","18,763","6,453","56,771","51,963","69,911","68,810","43,370","71,730","5,184","2,614"
2021년06월_계_30~39세,"400,817","21,307","6,630","55,439","57,665","70,528","66,422","37,789","77,915","5,317","1,805"
2021년06월_계_40~49세,"480,627","24,625","9,721","63,311","69,097","87,639","75,946","45,219","95,034","7,670","2,365"
2021년06월_계_50~59세,"508,561","20,619","9,928","66,781","64,784","89,077","88,810","59,866","93,446","11,713","3,537"
2021년06월_계_60~69세,"386,075","16,619","10,260","57,552","41,342","68,966","68,808","41,724","61,670","14,899","4,235"
2021년06월_계_70~79세,"177,988","9,291","6,569","31,173","15,806","31,065","31,431","15,646","24,637","9,992","2,378"
2021년06월_계_80~89세,"80,076","3,866","2,943","13,315","7,472","13,050","14,331","7,544","10,619","5,796","1,140"
2021년06월_계_90~99세,"12,507",622,414,"1,971","1,372","2,009","2,112","1,180","1,721",850,256
2021년06월_계_100세 이상,538,23,38,92,49,84,116,30,77,18,11
2021년06월_남_총인구수,"1,470,544","72,886","31,040","203,742","194,215","258,876","242,460","147,719","273,411","34,644","11,551"
2021년06월_남_연령구간인구수,"1,470,544","72,886","31,040","203,742","194,215","258,876","242,460","147,719","273,411","34,644","11,551"
2021년06월_남_0~9세,"113,942","6,029","1,852","13,623","19,510","20,465","16,177","9,165","24,916","1,740",465
2021년06월_남_10~19세,"139,687","6,613","2,567","16,263","22,108","25,203","21,853","13,363","28,810","2,323",584
2021년06월_남_20~29세,"206,203","9,582","3,512","29,887","26,988","36,071","35,359","22,740","37,237","2,938","1,889"
2021년06월_남_30~39세,"207,430","11,603","3,560","29,776","28,358","36,362","34,320","19,707","39,840","2,792","1,112"
2021년06월_남_40~49세,"245,973","13,441","5,234","33,518","34,025","44,617","38,325","22,578","48,584","4,156","1,495"
2021년06월_남_50~59세,"254,123","11,412","5,308","33,651","31,926","43,904","43,371","29,130","47,332","6,032","2,057"
2021년06월_남_60~69세,"191,282","8,338","4,984","27,543","21,232","33,267","33,517","21,285","31,395","7,432","2,289"
2021년06월_남_70~79세,"81,391","4,303","2,893","14,149","7,311","14,134","14,196","7,067","11,428","4,723","1,187"
2021년06월_남_80~89세,"27,762","1,415","1,029","4,854","2,461","4,458","4,889","2,428","3,510","2,302",416
2021년06월_남_90~99세,"2,624",143,92,451,286,382,431,249,335,201,54
2021년06월_남_100세 이상,127,7,9,27,10,13,22,7,24,5,3
2021년06월_여_총인구수,"1,465,823","67,289","30,396","200,876","196,612","262,464","248,149","148,723","267,893","34,641","8,780"
2021년06월_여_연령구간인구수,"1,465,823","67,289","30,396","200,876","196,612","262,464","248,149","148,723","267,893","34,641","8,780"
2021년06월_여_0~9세,"107,966","5,638","1,698","13,046","18,680","19,301","15,475","8,830","23,282","1,568",448
2021년06월_여_10~19세,"132,014","6,160","2,363","15,281","20,979","24,042","20,318","12,716","27,447","2,215",493
2021년06월_여_20~29세,"189,366","9,181","2,941","26,884","24,975","33,840","33,451","20,630","34,493","2,246",725
2021년06월_여_30~39세,"193,387","9,704","3,070","25,663","29,307","34,166","32,102","18,082","38,075","2,525",693
2021년06월_여_40~49세,"234,654","11,184","4,487","29,793","35,072","43,022","37,621","22,641","46,450","3,514",870
2021년06월_여_50~59세,"254,438","9,207","4,620","33,130","32,858","45,173","45,439","30,736","46,114","5,681","1,480"
2021년06월_여_60~69세,"194,793","8,281","5,276","30,009","20,110","35,699","35,291","20,439","30,275","7,467","1,946"
2021년06월_여_70~79세,"96,597","4,988","3,676","17,024","8,495","16,931","17,235","8,579","13,209","5,269","1,191"
2021년06월_여_80~89세,"52,314","2,451","1,914","8,461","5,011","8,592","9,442","5,116","7,109","3,494",724
2021년06월_여_90~99세,"9,883",479,322,"1,520","1,086","1,627","1,681",931,"1,386",649,202
2021년06월_여_100세 이상,411,16,29,65,39,71,94,23,53,13,8
