,경상북도 울진군,경상북도 울진군 울진읍,경상북도 울진군 평해읍,경상북도 울진군 북면,경상북도 울진군 북면하당출장소,경상북도 울진군 근남면,경상북도 울진군 기성면,경상북도 울진군 온정면,경상북도 울진군 죽변면,경상북도 울진군 후포면,경상북도 울진군 금강송면,경상북도 울진군 매화면
2020년07월_계_총인구수,"48,789","14,033","2,904","6,652",708,"2,751","2,583","1,754","6,537","7,532","1,280","2,055"
2020년07월_계_연령구간인구수,"48,789","14,033","2,904","6,652",708,"2,751","2,583","1,754","6,537","7,532","1,280","2,055"
2020년07월_계_0~9세,"2,961","1,113",69,783,6,124,58,47,320,368,23,50
2020년07월_계_10~19세,"3,838","1,677",270,454,28,124,100,63,415,570,43,94
2020년07월_계_20~29세,"4,497","1,534",186,738,46,207,181,114,706,647,44,94
2020년07월_계_30~39세,"4,378","1,426",160,"1,142",26,168,123,62,596,544,45,86
2020년07월_계_40~49세,"6,323","2,365",250,940,61,300,160,148,859,947,120,173
2020년07월_계_50~59세,"8,682","2,399",473,"1,037",152,501,463,277,"1,291","1,437",295,357
2020년07월_계_60~69세,"7,970","1,671",536,763,142,531,565,370,"1,137","1,532",301,422
2020년07월_계_70~79세,"5,741","1,087",527,460,129,403,458,354,731,985,228,379
2020년07월_계_80~89세,"3,770",642,367,291,104,335,396,278,428,430,161,338
2020년07월_계_90~99세,612,117,64,40,14,57,78,41,51,71,18,61
2020년07월_계_100세 이상,17,2,2,4,0,1,1,0,3,1,2,1
2020년07월_남_총인구수,"24,409","7,071","1,417","3,489",369,"1,367","1,212",849,"3,344","3,706",622,963
2020년07월_남_연령구간인구수,"24,409","7,071","1,417","3,489",369,"1,367","1,212",849,"3,344","3,706",622,963
2020년07월_남_0~9세,"1,509",589,39,389,4,70,27,20,151,187,11,22
2020년07월_남_10~19세,"2,093",881,202,246,13,60,46,37,230,307,23,48
2020년07월_남_20~29세,"2,652",866,106,436,28,135,122,67,431,383,24,54
2020년07월_남_30~39세,"2,387",737,96,620,18,91,74,40,342,284,29,56
2020년07월_남_40~49세,"3,464","1,186",142,543,44,178,91,78,495,532,60,115
2020년07월_남_50~59세,"4,680","1,284",262,584,99,282,256,159,671,723,160,200
2020년07월_남_60~69세,"3,914",824,235,375,78,275,273,189,586,709,162,208
2020년07월_남_70~79세,"2,465",460,207,215,50,158,196,158,318,441,98,164
2020년07월_남_80~89세,"1,152",228,119,79,34,110,117,92,110,129,45,89
2020년07월_남_90~99세,91,16,9,2,1,8,10,9,9,11,9,7
2020년07월_남_100세 이상,2,0,0,0,0,0,0,0,1,0,1,0
2020년07월_여_총인구수,"24,380","6,962","1,487","3,163",339,"1,384","1,371",905,"3,193","3,826",658,"1,092"
2020년07월_여_연령구간인구수,"24,380","6,962","1,487","3,163",339,"1,384","1,371",905,"3,193","3,826",658,"1,092"
2020년07월_여_0~9세,"1,452",524,30,394,2,54,31,27,169,181,12,28
2020년07월_여_10~19세,"1,745",796,68,208,15,64,54,26,185,263,20,46
2020년07월_여_20~29세,"1,845",668,80,302,18,72,59,47,275,264,20,40
2020년07월_여_30~39세,"1,991",689,64,522,8,77,49,22,254,260,16,30
2020년07월_여_40~49세,"2,859","1,179",108,397,17,122,69,70,364,415,60,58
2020년07월_여_50~59세,"4,002","1,115",211,453,53,219,207,118,620,714,135,157
2020년07월_여_60~69세,"4,056",847,301,388,64,256,292,181,551,823,139,214
2020년07월_여_70~79세,"3,276",627,320,245,79,245,262,196,413,544,130,215
2020년07월_여_80~89세,"2,618",414,248,212,70,225,279,186,318,301,116,249
2020년07월_여_90~99세,521,101,55,38,13,49,68,32,42,60,9,54
2020년07월_여_100세 이상,15,2,2,4,0,1,1,0,2,1,1,1
