카테고리,전라남도 장흥군,전라남도 장흥군 장흥읍,전라남도 장흥군 관산읍,전라남도 장흥군 대덕읍,전라남도 장흥군 용산면,전라남도 장흥군 안양면,전라남도 장흥군 장동면,전라남도 장흥군 장평면,전라남도 장흥군 유치면,전라남도 장흥군 부산면,전라남도 장흥군 회진면
2021년06월_계_총인구수,"37,028","15,119","4,870","3,324","2,309","2,800","1,240","2,094","1,063","1,437","2,772"
2021년06월_계_연령구간인구수,"37,028","15,119","4,870","3,324","2,309","2,800","1,240","2,094","1,063","1,437","2,772"
2021년06월_계_0~9세,"1,894","1,237",145,130,80,75,35,36,13,37,106
2021년06월_계_10~19세,"2,671","1,547",280,195,103,125,48,103,34,71,165
2021년06월_계_20~29세,"2,985","1,575",317,207,133,192,67,140,57,91,206
2021년06월_계_30~39세,"2,604","1,473",267,180,135,153,66,89,46,47,148
2021년06월_계_40~49세,"3,950","2,058",401,322,191,250,92,147,92,138,259
2021년06월_계_50~59세,"6,194","2,467",833,555,340,480,206,377,243,245,448
2021년06월_계_60~69세,"6,687","2,198",996,680,512,582,265,392,254,248,560
2021년06월_계_70~79세,"5,380","1,472",880,564,402,472,210,401,172,262,545
2021년06월_계_80~89세,"3,980",916,646,422,337,385,224,368,129,244,309
2021년06월_계_90~99세,659,165,102,67,73,85,25,40,23,53,26
2021년06월_계_100세 이상,24,11,3,2,3,1,2,1,0,1,0
2021년06월_남_총인구수,"18,009","7,371","2,372","1,599","1,118","1,366",592,998,538,703,"1,352"
2021년06월_남_연령구간인구수,"18,009","7,371","2,372","1,599","1,118","1,366",592,998,538,703,"1,352"
2021년06월_남_0~9세,949,611,83,49,43,47,14,17,3,23,59
2021년06월_남_10~19세,"1,412",803,160,102,58,72,24,51,20,34,88
2021년06월_남_20~29세,"1,693",873,186,116,82,112,34,78,36,49,127
2021년06월_남_30~39세,"1,371",723,144,98,84,93,37,53,30,24,85
2021년06월_남_40~49세,"2,175","1,028",233,202,116,146,62,100,55,83,150
2021년06월_남_50~59세,"3,397","1,312",447,312,191,273,122,214,144,149,233
2021년06월_남_60~69세,"3,339","1,057",515,341,270,298,133,204,131,133,257
2021년06월_남_70~79세,"2,296",637,363,235,168,206,95,166,75,109,242
2021년06월_남_80~89세,"1,248",296,218,129,94,105,65,107,38,89,107
2021년06월_남_90~99세,126,30,23,15,12,14,5,8,6,9,4
2021년06월_남_100세 이상,3,1,0,0,0,0,1,0,0,1,0
2021년06월_여_총인구수,"19,019","7,748","2,498","1,725","1,191","1,434",648,"1,096",525,734,"1,420"
2021년06월_여_연령구간인구수,"19,019","7,748","2,498","1,725","1,191","1,434",648,"1,096",525,734,"1,420"
2021년06월_여_0~9세,945,626,62,81,37,28,21,19,10,14,47
2021년06월_여_10~19세,"1,259",744,120,93,45,53,24,52,14,37,77
2021년06월_여_20~29세,"1,292",702,131,91,51,80,33,62,21,42,79
2021년06월_여_30~39세,"1,233",750,123,82,51,60,29,36,16,23,63
2021년06월_여_40~49세,"1,775","1,030",168,120,75,104,30,47,37,55,109
2021년06월_여_50~59세,"2,797","1,155",386,243,149,207,84,163,99,96,215
2021년06월_여_60~69세,"3,348","1,141",481,339,242,284,132,188,123,115,303
2021년06월_여_70~79세,"3,084",835,517,329,234,266,115,235,97,153,303
2021년06월_여_80~89세,"2,732",620,428,293,243,280,159,261,91,155,202
2021년06월_여_90~99세,533,135,79,52,61,71,20,32,17,44,22
2021년06월_여_100세 이상,21,10,3,2,3,1,1,1,0,0,0
