카테고리,경기도 안산시,경기도 안산시 상록구,경기도 안산시 상록구 일동,경기도 안산시 상록구 이동,경기도 안산시 상록구 사동,경기도 안산시 상록구 사이동,경기도 안산시 상록구 해양동,경기도 안산시 상록구 본오1동,경기도 안산시 상록구 본오2동,경기도 안산시 상록구 본오3동,경기도 안산시 상록구 부곡동,경기도 안산시 상록구 월피동,경기도 안산시 상록구 성포동,경기도 안산시 상록구 반월동,경기도 안산시 상록구 안산동,경기도 안산시 단원구,경기도 안산시 단원구 와동,경기도 안산시 단원구 고잔동,경기도 안산시 단원구 중앙동,경기도 안산시 단원구 호수동,경기도 안산시 단원구 원곡동,경기도 안산시 단원구 백운동,경기도 안산시 단원구 신길동,경기도 안산시 단원구 초지동,경기도 안산시 단원구 선부1동,경기도 안산시 단원구 선부2동,경기도 안산시 단원구 선부3동,경기도 안산시 단원구 대부동
2020년03월_계_총인구수,"652,763","347,334","25,733","24,845","34,026","33,322","24,983","39,062","27,474","20,740","22,331","39,671","27,559","18,349","9,239","305,429","39,060","22,311","25,898","45,209","6,503","18,697","22,819","47,509","14,938","17,742","36,201","8,542"
2020년03월_계_연령구간인구수,"652,763","347,334","25,733","24,845","34,026","33,322","24,983","39,062","27,474","20,740","22,331","39,671","27,559","18,349","9,239","305,429","39,060","22,311","25,898","45,209","6,503","18,697","22,819","47,509","14,938","17,742","36,201","8,542"
2020년03월_계_0~9세,"46,168","24,201","1,923","1,278","2,088","2,762","2,677","2,934","1,729","1,115","1,611","2,477","1,861","1,212",534,"21,967","2,773","1,318","1,751","3,626",301,"1,392","1,754","3,963","1,071","1,014","2,696",308
2020년03월_계_10~19세,"66,861","35,369","2,639","1,760","3,155","3,807","3,150","4,333","3,118","1,903","2,261","4,212","2,838","1,392",801,"31,492","4,157","2,047","2,401","5,548",321,"1,880","2,607","5,198","1,267","1,791","3,879",396
2020년03월_계_20~29세,"105,647","57,070","3,917","4,539","6,115","5,345","4,027","6,044","4,414","3,594","3,600","7,145","4,884","2,241","1,205","48,577","5,991","4,292","5,083","7,778",507,"2,853","3,122","7,530","2,203","2,647","5,880",691
2020년03월_계_30~39세,"85,931","44,011","3,321","3,993","4,867","4,232","3,308","4,981","3,099","2,576","2,523","4,522","3,319","2,285",985,"41,920","5,305","3,204","4,140","5,491",679,"2,526","3,048","7,260","2,337","2,074","5,199",657
2020년03월_계_40~49세,"110,706","58,845","4,740","4,155","5,958","5,733","4,451","7,198","4,787","3,421","3,841","6,495","3,890","2,755","1,421","51,861","7,223","3,442","3,909","7,739","1,107","2,942","4,152","8,504","2,379","3,118","6,412",934
2020년03월_계_50~59세,"126,688","67,562","4,648","4,640","6,296","6,379","4,356","7,345","5,485","4,276","4,597","8,299","5,876","3,483","1,882","59,126","7,501","4,145","4,676","9,227","1,710","3,713","4,245","8,223","2,864","3,922","6,974","1,926"
2020년03월_계_60~69세,"65,919","34,756","2,432","2,552","2,724","3,160","2,092","3,480","2,672","2,139","2,209","3,921","3,105","2,814","1,456","31,163","3,600","2,260","2,648","3,896",995,"2,241","2,458","4,098","1,770","1,919","3,304","1,974"
2020년03월_계_70~79세,"28,857","16,362","1,423","1,273","1,542","1,212",622,"1,824","1,397","1,091","1,091","1,612","1,104","1,533",638,"12,495","1,660","1,023",826,"1,195",603,818,933,"1,733",648,810,"1,194","1,052"
