카테고리,경상남도 진주시,경상남도 진주시 문산읍,경상남도 진주시 내동면,경상남도 진주시 정촌면,경상남도 진주시 금곡면,경상남도 진주시 진성면,경상남도 진주시 일반성면,경상남도 진주시 이반성면,경상남도 진주시 사봉면,경상남도 진주시 지수면,경상남도 진주시 대곡면,경상남도 진주시 금산면,경상남도 진주시 집현면,경상남도 진주시 미천면,경상남도 진주시 명석면,경상남도 진주시 대평면,경상남도 진주시 수곡면,경상남도 진주시 천전동,경상남도 진주시 성북동,경상남도 진주시 중앙동,경상남도 진주시 상봉동,경상남도 진주시 상대동,경상남도 진주시 하대동,경상남도 진주시 상평동,경상남도 진주시 초장동,경상남도 진주시 평거동,경상남도 진주시 신안동,경상남도 진주시 이현동,경상남도 진주시 판문동,경상남도 진주시 가호동,경상남도 진주시 충무공동
2020년10월_계_총인구수,"347,759","8,277","4,148","7,845","2,247","1,927","2,638","1,611","1,517","1,482","3,276","21,148","4,748","1,630","4,047","1,076","2,236","27,746","10,868","11,367","14,337","19,971","24,976","11,920","26,932","27,884","11,874","12,247","21,409","26,718","29,657"
2020년10월_계_연령구간인구수,"347,759","8,277","4,148","7,845","2,247","1,927","2,638","1,611","1,517","1,482","3,276","21,148","4,748","1,630","4,047","1,076","2,236","27,746","10,868","11,367","14,337","19,971","24,976","11,920","26,932","27,884","11,874","12,247","21,409","26,718","29,657"
2020년10월_계_0~9세,"28,563",632,378,886,43,48,93,28,32,41,60,"2,215",245,19,139,28,62,"1,586",469,349,632,"1,062","1,428",800,"3,446","2,164",670,705,"2,536","2,420","5,347"
2020년10월_계_10~19세,"35,366",683,465,471,118,58,191,50,51,76,152,"2,807",420,59,204,44,109,"2,535",737,705,"1,088","1,626","2,548","1,077","4,047","3,559","1,120","1,299","2,997","2,664","3,406"
2020년10월_계_20~29세,"44,980",808,412,987,160,130,228,76,72,102,210,"2,274",438,84,348,103,142,"4,251","1,441","1,094","1,841","2,958","3,828","1,541","3,336","4,142","1,694","1,627","2,355","5,093","3,205"
2020년10월_계_30~39세,"41,848",926,426,"1,500",130,121,183,67,83,72,177,"2,475",391,58,230,57,106,"2,734","1,262",861,"1,384","2,161","2,614","1,435","3,761","3,062","1,151","1,097","2,650","4,110","6,564"
2020년10월_계_40~49세,"54,387","1,072",676,"1,079",189,154,299,114,153,157,281,"3,797",659,123,433,101,220,"3,964","1,589","1,434","1,933","2,868","3,769","1,768","5,279","4,779","1,647","1,818","4,088","4,150","5,794"
2020년10월_계_50~59세,"57,915","1,440",675,"1,214",387,352,503,283,232,253,590,"3,381",880,298,783,195,425,"4,599","1,844","2,013","2,673","3,689","5,097","2,134","4,020","5,176","2,108","2,385","3,241","3,917","3,128"
2020년10월_계_60~69세,"45,064","1,364",574,954,457,475,503,409,348,295,696,"2,373",801,373,938,235,486,"3,975","1,864","2,380","2,477","3,126","3,449","1,839","1,807","2,793","1,929","1,878","2,124","2,607","1,535"
2020년10월_계_70~79세,"25,543",816,325,454,420,291,355,317,308,253,593,"1,162",544,327,580,163,358,"2,724","1,094","1,744","1,562","1,766","1,537",957,832,"1,383","1,021","1,000",968,"1,216",473
2020년10월_계_80~89세,"12,276",453,186,249,287,258,254,236,213,193,440,586,322,257,338,129,300,"1,197",484,682,660,652,624,325,355,712,472,373,399,471,169
2020년10월_계_90~99세,"1,721",81,28,47,56,38,28,31,24,39,74,77,45,31,51,20,27,165,77,87,84,62,80,42,42,113,60,60,50,68,34
2020년10월_계_100세 이상,96,2,3,4,0,2,1,0,1,1,3,1,3,1,3,1,1,16,7,18,3,1,2,2,7,1,2,5,1,2,2
2020년10월_남_총인구수,"172,010","4,188","2,068","4,019","1,057",938,"1,291",809,755,745,"1,622","10,631","2,387",789,"2,000",516,"1,085","13,616","5,363","5,481","7,043","9,899","12,503","6,045","13,639","13,402","5,675","6,044","10,240","13,449","14,711"
2020년10월_남_연령구간인구수,"172,010","4,188","2,068","4,019","1,057",938,"1,291",809,755,745,"1,622","10,631","2,387",789,"2,000",516,"1,085","13,616","5,363","5,481","7,043","9,899","12,503","6,045","13,639","13,402","5,675","6,044","10,240","13,449","14,711"
2020년10월_남_0~9세,"14,816",347,205,448,20,25,45,20,14,19,34,"1,170",129,8,72,11,35,835,253,182,362,536,760,377,"1,853","1,104",351,373,"1,283","1,280","2,665"
2020년10월_남_10~19세,"18,661",361,228,254,64,27,102,31,33,35,81,"1,484",217,34,101,23,61,"1,388",392,390,582,832,"1,363",541,"2,285","1,855",594,732,"1,452","1,357","1,762"
2020년10월_남_20~29세,"24,751",450,215,551,98,73,144,52,43,66,144,"1,324",259,51,197,59,73,"2,326",763,622,960,"1,653","2,153",865,"1,846","2,197",878,936,"1,259","2,891","1,603"
2020년10월_남_30~39세,"21,361",486,211,801,72,69,88,46,48,44,94,"1,230",197,32,132,26,54,"1,464",677,488,737,"1,147","1,443",759,"1,748","1,525",597,549,"1,207","2,196","3,194"
2020년10월_남_40~49세,"27,111",578,330,601,121,100,171,74,110,106,181,"1,850",354,83,238,61,145,"1,963",848,801,"1,045","1,469","1,779",943,"2,456","2,115",787,846,"1,958","2,023","2,975"
2020년10월_남_50~59세,"28,533",754,363,567,208,192,269,171,135,150,342,"1,677",484,172,410,109,239,"2,228",890,"1,001","1,314","1,763","2,436","1,081","2,043","2,463",963,"1,148","1,566","1,878","1,517"
2020년10월_남_60~69세,"21,552",727,295,510,232,242,258,214,173,150,344,"1,164",415,206,479,131,259,"1,772",860,"1,049","1,136","1,415","1,665",901,934,"1,341",864,884,"1,011","1,201",720
2020년10월_남_70~79세,"11,155",349,164,216,152,124,147,131,140,123,267,530,228,133,257,66,138,"1,192",492,728,684,811,714,442,365,551,455,461,382,485,228
2020년10월_남_80~89세,"3,748",121,52,67,84,77,59,64,54,47,119,189,95,64,105,28,76,405,178,201,210,258,176,127,97,230,173,105,114,129,44
2020년10월_남_90~99세,301,15,4,4,6,9,7,6,5,5,15,13,9,6,8,2,5,37,9,16,13,15,13,9,9,21,12,9,8,8,3
2020년10월_남_100세 이상,21,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,6,1,3,0,0,1,0,3,0,1,1,0,1,0
2020년10월_여_총인구수,"175,749","4,089","2,080","3,826","1,190",989,"1,347",802,762,737,"1,654","10,517","2,361",841,"2,047",560,"1,151","14,130","5,505","5,886","7,294","10,072","12,473","5,875","13,293","14,482","6,199","6,203","11,169","13,269","14,946"
2020년10월_여_연령구간인구수,"175,749","4,089","2,080","3,826","1,190",989,"1,347",802,762,737,"1,654","10,517","2,361",841,"2,047",560,"1,151","14,130","5,505","5,886","7,294","10,072","12,473","5,875","13,293","14,482","6,199","6,203","11,169","13,269","14,946"
2020년10월_여_0~9세,"13,747",285,173,438,23,23,48,8,18,22,26,"1,045",116,11,67,17,27,751,216,167,270,526,668,423,"1,593","1,060",319,332,"1,253","1,140","2,682"
2020년10월_여_10~19세,"16,705",322,237,217,54,31,89,19,18,41,71,"1,323",203,25,103,21,48,"1,147",345,315,506,794,"1,185",536,"1,762","1,704",526,567,"1,545","1,307","1,644"
2020년10월_여_20~29세,"20,229",358,197,436,62,57,84,24,29,36,66,950,179,33,151,44,69,"1,925",678,472,881,"1,305","1,675",676,"1,490","1,945",816,691,"1,096","2,202","1,602"
2020년10월_여_30~39세,"20,487",440,215,699,58,52,95,21,35,28,83,"1,245",194,26,98,31,52,"1,270",585,373,647,"1,014","1,171",676,"2,013","1,537",554,548,"1,443","1,914","3,370"
2020년10월_여_40~49세,"27,276",494,346,478,68,54,128,40,43,51,100,"1,947",305,40,195,40,75,"2,001",741,633,888,"1,399","1,990",825,"2,823","2,664",860,972,"2,130","2,127","2,819"
2020년10월_여_50~59세,"29,382",686,312,647,179,160,234,112,97,103,248,"1,704",396,126,373,86,186,"2,371",954,"1,012","1,359","1,926","2,661","1,053","1,977","2,713","1,145","1,237","1,675","2,039","1,611"
2020년10월_여_60~69세,"23,512",637,279,444,225,233,245,195,175,145,352,"1,209",386,167,459,104,227,"2,203","1,004","1,331","1,341","1,711","1,784",938,873,"1,452","1,065",994,"1,113","1,406",815
2020년10월_여_70~79세,"14,388",467,161,238,268,167,208,186,168,130,326,632,316,194,323,97,220,"1,532",602,"1,016",878,955,823,515,467,832,566,539,586,731,245
2020년10월_여_80~89세,"8,528",332,134,182,203,181,195,172,159,146,321,397,227,193,233,101,224,792,306,481,450,394,448,198,258,482,299,268,285,342,125
2020년10월_여_90~99세,"1,420",66,24,43,50,29,21,25,19,34,59,64,36,25,43,18,22,128,68,71,71,47,67,33,33,92,48,51,42,60,31
2020년10월_여_100세 이상,75,2,2,4,0,2,0,0,1,1,2,1,3,1,2,1,1,10,6,15,3,1,1,2,4,1,1,4,1,1,2
