카테고리,충청남도 아산시,충청남도 아산시 염치읍,충청남도 아산시 배방읍,충청남도 아산시 송악면,충청남도 아산시 탕정면,충청남도 아산시 음봉면,충청남도 아산시 둔포면,충청남도 아산시 영인면,충청남도 아산시 인주면,충청남도 아산시 선장면,충청남도 아산시 도고면,충청남도 아산시 신창면,충청남도 아산시 온양1동,충청남도 아산시 온양2동,충청남도 아산시 온양3동,충청남도 아산시 온양4동,충청남도 아산시 온양5동,충청남도 아산시 온양6동
2020년09월_계_총인구수,"314,282","6,561","74,703","4,246","21,082","19,729","21,538","5,569","6,492","3,145","4,460","19,944","9,478","10,787","36,824","18,912","21,717","29,095"
2020년09월_계_연령구간인구수,"314,282","6,561","74,703","4,246","21,082","19,729","21,538","5,569","6,492","3,145","4,460","19,944","9,478","10,787","36,824","18,912","21,717","29,095"
2020년09월_계_0~9세,"33,503",398,"9,622",213,"3,037","2,639","2,478",151,293,62,115,"1,659",919,450,"4,147","1,611","2,334","3,375"
2020년09월_계_10~19세,"34,281",492,"9,216",357,"2,901","1,685","1,440",277,399,114,180,"2,055",728,815,"4,822","2,485","2,768","3,547"
2020년09월_계_20~29세,"36,037",572,"9,305",309,"2,505","1,992","2,401",426,576,192,361,"2,362","1,066","1,694","4,453","2,157","2,771","2,895"
2020년09월_계_30~39세,"48,619",639,"13,777",264,"4,013","3,640","4,631",390,634,171,308,"2,424","1,762","1,205","5,259","2,204","3,053","4,245"
2020년09월_계_40~49세,"55,859",889,"14,346",570,"4,448","3,368","3,449",600,944,272,399,"3,424","1,515","1,471","6,974","3,523","4,064","5,603"
2020년09월_계_50~59세,"45,851","1,160","9,451",760,"2,270","2,723","3,070","1,021","1,287",533,862,"3,211","1,336","2,032","5,266","3,190","3,324","4,355"
2020년09월_계_60~69세,"31,164","1,140","5,116",798,"1,012","2,061","2,217","1,209","1,083",761,959,"2,410","1,100","1,621","3,198","1,970","1,820","2,689"
2020년09월_계_70~79세,"17,936",722,"2,528",570,549,988,"1,135",829,704,575,730,"1,502",680,"1,002","1,774","1,125","1,031","1,492"
2020년09월_계_80~89세,"9,626",481,"1,168",346,301,547,614,581,505,406,495,795,299,428,820,561,475,804
2020년09월_계_90~99세,"1,293",64,164,55,46,85,100,81,64,50,48,94,59,59,100,76,67,81
2020년09월_계_100세 이상,113,4,10,4,0,1,3,4,3,9,3,8,14,10,11,10,10,9
