,인천광역시 미추홀구,인천광역시 미추홀구 숭의2동,인천광역시 미추홀구 숭의1.3동,인천광역시 미추홀구 숭의4동,인천광역시 미추홀구 용현1.4동,인천광역시 미추홀구 용현2동,인천광역시 미추홀구 용현3동,인천광역시 미추홀구 용현5동,인천광역시 미추홀구 학익1동,인천광역시 미추홀구 학익2동,인천광역시 미추홀구 도화1동,인천광역시 미추홀구 도화2.3동,인천광역시 미추홀구 주안1동,인천광역시 미추홀구 주안2동,인천광역시 미추홀구 주안3동,인천광역시 미추홀구 주안4동,인천광역시 미추홀구 주안5동,인천광역시 미추홀구 주안6동,인천광역시 미추홀구 주안7동,인천광역시 미추홀구 주안8동,인천광역시 미추홀구 관교동,인천광역시 미추홀구 문학동
2021년11월_계_총인구수,"407,010","14,677","13,808","16,431","17,382","17,906","7,620","47,680","32,137","18,279","23,226","32,913","20,499","16,804","8,769","13,536","20,543","21,999","12,500","21,009","15,092","14,200"
2021년11월_계_연령구간인구수,"407,010","14,677","13,808","16,431","17,382","17,906","7,620","47,680","32,137","18,279","23,226","32,913","20,499","16,804","8,769","13,536","20,543","21,999","12,500","21,009","15,092","14,200"
2021년11월_계_0~9세,"26,150","1,063","1,043","1,014",602,"1,283",272,"3,802","2,186","1,002","1,561","3,159","1,147",908,421,515,"1,066","1,855",500,"1,111",899,741
2021년11월_계_10~19세,"31,561",917,829,"1,259",935,"1,312",330,"4,939","3,514","1,647","1,526","2,573",872,"1,111",639,809,"1,293","1,827",893,"1,853","1,301","1,182"
2021년11월_계_20~29세,"56,897","1,901","2,078","2,112","4,053","2,526","1,005","6,738","4,193","2,275","3,216","3,875","4,185","2,125","1,191","1,656","2,886","2,797","1,457","2,772","1,937","1,919"
2021년11월_계_30~39세,"55,652","2,177","2,360","2,141","1,788","2,792",906,"6,257","3,377","2,034","3,518","5,667","4,263","2,061",946,"1,487","3,174","3,319","1,249","2,432","1,798","1,906"
2021년11월_계_40~49세,"63,484","2,183","2,036","2,499","2,055","2,635",964,"8,304","5,541","2,762","3,535","5,423","3,150","2,408","1,309","1,798","3,060","3,786","1,846","3,168","2,216","2,806"
2021년11월_계_50~59세,"67,331","2,383","2,171","2,688","2,613","2,724","1,295","7,818","5,787","3,301","3,853","4,808","3,146","2,830","1,453","2,285","3,499","3,257","2,239","3,871","2,641","2,669"
2021년11월_계_60~69세,"58,851","2,124","1,765","2,526","2,689","2,459","1,428","5,705","4,387","2,807","3,295","4,373","2,339","2,877","1,482","2,555","3,124","2,955","2,343","3,327","2,529","1,762"
2021년11월_계_70~79세,"31,187","1,249",937,"1,444","1,764","1,494",913,"2,731","2,122","1,585","1,813","2,021",901,"1,644",908,"1,636","1,597","1,459","1,300","1,654","1,188",827
2021년11월_계_80~89세,"13,796",583,507,649,760,582,447,"1,214",901,750,801,879,429,739,362,690,724,637,587,724,496,335
2021년11월_계_90~99세,"2,029",92,77,97,120,97,57,171,127,112,105,123,65,100,53,103,114,104,83,94,83,52
2021년11월_계_100세 이상,72,5,5,2,3,2,3,1,2,4,3,12,2,1,5,2,6,3,3,3,4,1
2021년11월_남_총인구수,"205,009","7,406","6,873","8,226","9,435","8,999","4,037","23,639","16,008","8,968","11,592","16,718","10,775","8,481","4,459","6,788","10,283","10,995","6,078","10,256","7,374","7,619"
2021년11월_남_연령구간인구수,"205,009","7,406","6,873","8,226","9,435","8,999","4,037","23,639","16,008","8,968","11,592","16,718","10,775","8,481","4,459","6,788","10,283","10,995","6,078","10,256","7,374","7,619"
2021년11월_남_0~9세,"13,358",546,545,516,308,678,141,"1,920","1,087",492,828,"1,600",602,460,215,256,535,969,252,557,473,378
2021년11월_남_10~19세,"16,303",467,422,673,507,698,174,"2,566","1,855",853,749,"1,339",439,583,342,390,633,936,479,932,665,601
2021년11월_남_20~29세,"29,953","1,003","1,008","1,110","2,577","1,265",595,"3,395","2,219","1,240","1,625","1,976","2,103","1,153",644,901,"1,481","1,425",782,"1,463",978,"1,010"
2021년11월_남_30~39세,"29,969","1,184","1,245","1,143","1,082","1,484",540,"3,196","1,727","1,067","1,876","3,044","2,403","1,100",534,839,"1,803","1,709",683,"1,303",921,"1,086"
2021년11월_남_40~49세,"33,608","1,201","1,117","1,281","1,185","1,373",586,"4,194","2,736","1,380","1,890","2,936","1,815","1,301",709,"1,013","1,660","2,012",939,"1,601","1,099","1,580"
2021년11월_남_50~59세,"33,991","1,228","1,067","1,377","1,367","1,372",719,"3,879","2,921","1,622","1,918","2,391","1,632","1,474",743,"1,187","1,734","1,660","1,074","1,837","1,250","1,539"
2021년11월_남_60~69세,"28,117","1,022",864,"1,205","1,280","1,188",674,"2,780","2,133","1,307","1,554","2,169","1,161","1,346",724,"1,157","1,475","1,340","1,075","1,538","1,204",921
2021년11월_남_70~79세,"14,182",538,418,665,793,704,417,"1,221",965,717,820,926,431,771,405,760,697,675,555,736,591,377
2021년11월_남_80~89세,"5,052",191,174,223,304,217,173,452,341,261,297,316,176,272,123,268,246,250,218,262,169,119
2021년11월_남_90~99세,455,25,12,32,31,18,18,36,24,29,34,16,11,21,18,16,17,19,20,27,23,8
2021년11월_남_100세 이상,21,1,1,1,1,2,0,0,0,0,1,5,2,0,2,1,2,0,1,0,1,0
2021년11월_여_총인구수,"202,001","7,271","6,935","8,205","7,947","8,907","3,583","24,041","16,129","9,311","11,634","16,195","9,724","8,323","4,310","6,748","10,260","11,004","6,422","10,753","7,718","6,581"
2021년11월_여_연령구간인구수,"202,001","7,271","6,935","8,205","7,947","8,907","3,583","24,041","16,129","9,311","11,634","16,195","9,724","8,323","4,310","6,748","10,260","11,004","6,422","10,753","7,718","6,581"
2021년11월_여_0~9세,"12,792",517,498,498,294,605,131,"1,882","1,099",510,733,"1,559",545,448,206,259,531,886,248,554,426,363
2021년11월_여_10~19세,"15,258",450,407,586,428,614,156,"2,373","1,659",794,777,"1,234",433,528,297,419,660,891,414,921,636,581
2021년11월_여_20~29세,"26,944",898,"1,070","1,002","1,476","1,261",410,"3,343","1,974","1,035","1,591","1,899","2,082",972,547,755,"1,405","1,372",675,"1,309",959,909
2021년11월_여_30~39세,"25,683",993,"1,115",998,706,"1,308",366,"3,061","1,650",967,"1,642","2,623","1,860",961,412,648,"1,371","1,610",566,"1,129",877,820
2021년11월_여_40~49세,"29,876",982,919,"1,218",870,"1,262",378,"4,110","2,805","1,382","1,645","2,487","1,335","1,107",600,785,"1,400","1,774",907,"1,567","1,117","1,226"
2021년11월_여_50~59세,"33,340","1,155","1,104","1,311","1,246","1,352",576,"3,939","2,866","1,679","1,935","2,417","1,514","1,356",710,"1,098","1,765","1,597","1,165","2,034","1,391","1,130"
2021년11월_여_60~69세,"30,734","1,102",901,"1,321","1,409","1,271",754,"2,925","2,254","1,500","1,741","2,204","1,178","1,531",758,"1,398","1,649","1,615","1,268","1,789","1,325",841
2021년11월_여_70~79세,"17,005",711,519,779,971,790,496,"1,510","1,157",868,993,"1,095",470,873,503,876,900,784,745,918,597,450
2021년11월_여_80~89세,"8,744",392,333,426,456,365,274,762,560,489,504,563,253,467,239,422,478,387,369,462,327,216
2021년11월_여_90~99세,"1,574",67,65,65,89,79,39,135,103,83,71,107,54,79,35,87,97,85,63,67,60,44
2021년11월_여_100세 이상,51,4,4,1,2,0,3,1,2,4,2,7,0,1,3,1,4,3,2,3,3,1
