,전라남도 영광군,전라남도 영광군 영광읍,전라남도 영광군 백수읍,전라남도 영광군 홍농읍,전라남도 영광군 대마면,전라남도 영광군 묘량면,전라남도 영광군 불갑면,전라남도 영광군 군서면,전라남도 영광군 군남면,전라남도 영광군 염산면,전라남도 영광군 법성면,전라남도 영광군 낙월면,전라남도 영광군 낙월면안마출장소
2021년04월_계_총인구수,"52,587","21,703","4,642","6,839","1,762","1,752","1,372","2,315","2,381","4,016","5,236",380,189
2021년04월_계_연령구간인구수,"52,587","21,703","4,642","6,839","1,762","1,752","1,372","2,315","2,381","4,016","5,236",380,189
2021년04월_계_0~9세,"3,689","2,027",178,634,82,87,64,88,80,152,272,14,11
2021년04월_계_10~19세,"4,135","2,372",238,531,110,75,58,169,84,153,331,9,5
2021년04월_계_20~29세,"4,894","2,386",337,823,149,121,87,168,117,227,445,27,7
2021년04월_계_30~39세,"4,782","2,267",271,903,146,113,114,126,127,251,437,18,9
2021년04월_계_40~49세,"6,397","3,314",431,850,146,141,105,231,183,364,542,59,31
2021년04월_계_50~59세,"8,465","3,403",791,"1,122",290,286,224,381,339,646,869,85,29
2021년04월_계_60~69세,"8,517","2,907",859,874,323,337,304,414,464,926,957,100,52
2021년04월_계_70~79세,"7,061","1,927",891,713,287,306,247,415,524,836,836,45,34
2021년04월_계_80~89세,"4,075",958,568,346,193,253,148,282,412,403,482,20,10
2021년04월_계_90~99세,548,133,75,40,35,33,21,37,51,58,61,3,1
2021년04월_계_100세 이상,24,9,3,3,1,0,0,4,0,0,4,0,0
2021년04월_남_총인구수,"26,299","10,703","2,320","3,596",937,857,686,"1,163","1,134","1,969","2,587",233,114
2021년04월_남_연령구간인구수,"26,299","10,703","2,320","3,596",937,857,686,"1,163","1,134","1,969","2,587",233,114
2021년04월_남_0~9세,"1,873","1,029",90,338,39,46,28,38,44,71,137,6,7
2021년04월_남_10~19세,"2,169","1,242",131,258,78,36,25,93,49,76,173,5,3
2021년04월_남_20~29세,"2,766","1,280",206,491,86,61,51,100,66,139,263,18,5
2021년04월_남_30~39세,"2,478","1,109",160,500,84,51,59,71,65,139,224,12,4
2021년04월_남_40~49세,"3,590","1,664",279,479,95,96,69,149,112,248,331,45,23
2021년04월_남_50~59세,"4,702","1,759",477,641,176,157,130,246,206,360,470,60,20
2021년04월_남_60~69세,"4,316","1,396",431,467,187,187,159,206,238,459,499,58,29
2021년04월_남_70~79세,"3,040",879,356,305,127,135,114,164,208,366,342,24,20
2021년04월_남_80~89세,"1,255",316,175,110,56,79,47,88,137,100,139,5,3
2021년04월_남_90~99세,110,29,15,7,9,9,4,8,9,11,9,0,0
2021년04월_남_100세 이상,0,0,0,0,0,0,0,0,0,0,0,0,0
2021년04월_여_총인구수,"26,288","11,000","2,322","3,243",825,895,686,"1,152","1,247","2,047","2,649",147,75
2021년04월_여_연령구간인구수,"26,288","11,000","2,322","3,243",825,895,686,"1,152","1,247","2,047","2,649",147,75
2021년04월_여_0~9세,"1,816",998,88,296,43,41,36,50,36,81,135,8,4
2021년04월_여_10~19세,"1,966","1,130",107,273,32,39,33,76,35,77,158,4,2
2021년04월_여_20~29세,"2,128","1,106",131,332,63,60,36,68,51,88,182,9,2
2021년04월_여_30~39세,"2,304","1,158",111,403,62,62,55,55,62,112,213,6,5
2021년04월_여_40~49세,"2,807","1,650",152,371,51,45,36,82,71,116,211,14,8
2021년04월_여_50~59세,"3,763","1,644",314,481,114,129,94,135,133,286,399,25,9
2021년04월_여_60~69세,"4,201","1,511",428,407,136,150,145,208,226,467,458,42,23
2021년04월_여_70~79세,"4,021","1,048",535,408,160,171,133,251,316,470,494,21,14
2021년04월_여_80~89세,"2,820",642,393,236,137,174,101,194,275,303,343,15,7
2021년04월_여_90~99세,438,104,60,33,26,24,17,29,42,47,52,3,1
2021년04월_여_100세 이상,24,9,3,3,1,0,0,4,0,0,4,0,0
