카테고리,강원도 정선군,강원도 정선군 정선읍,강원도 정선군 고한읍,강원도 정선군 사북읍,강원도 정선군 신동읍,강원도 정선군 신동읍함백출장소,강원도 정선군 남면,강원도 정선군 북평면,강원도 정선군 임계면,강원도 정선군 화암면,강원도 정선군 여량면
2021년11월_계_총인구수,"35,639","10,441","4,358","4,687","1,821","1,582","3,179","2,493","3,452","1,640","1,986"
2021년11월_계_연령구간인구수,"35,639","10,441","4,358","4,687","1,821","1,582","3,179","2,493","3,452","1,640","1,986"
2021년11월_계_0~9세,"1,633",605,264,276,65,38,123,83,88,46,45
2021년11월_계_10~19세,"2,422",968,226,365,117,101,184,159,141,81,80
2021년11월_계_20~29세,"2,593",946,295,387,113,109,189,165,169,102,118
2021년11월_계_30~39세,"2,781",872,650,400,96,83,237,139,155,60,89
2021년11월_계_40~49세,"4,648","1,564",685,745,198,151,427,269,281,150,178
2021년11월_계_50~59세,"6,678","1,868",698,886,352,320,615,487,712,376,364
2021년11월_계_60~69세,"7,894","1,875",841,960,453,386,831,570,947,453,578
2021년11월_계_70~79세,"4,369","1,077",499,474,263,248,362,350,543,229,324
2021년11월_계_80~89세,"2,290",558,183,180,151,129,188,228,367,124,182
2021년11월_계_90~99세,321,104,17,13,13,15,22,42,49,19,27
2021년11월_계_100세 이상,10,4,0,1,0,2,1,1,0,0,1
2021년11월_남_총인구수,"18,573","5,364","2,294","2,444",944,791,"1,692","1,262","1,836",895,"1,051"
2021년11월_남_연령구간인구수,"18,573","5,364","2,294","2,444",944,791,"1,692","1,262","1,836",895,"1,051"
2021년11월_남_0~9세,839,319,134,140,31,14,63,46,42,24,26
2021년11월_남_10~19세,"1,250",513,102,185,54,56,92,78,72,48,50
2021년11월_남_20~29세,"1,523",566,165,223,71,62,115,104,95,62,60
2021년11월_남_30~39세,"1,544",446,377,210,56,53,144,76,101,30,51
2021년11월_남_40~49세,"2,673",820,422,414,117,93,259,148,182,94,124
2021년11월_남_50~59세,"3,742","1,023",399,491,203,185,337,270,399,234,201
2021년11월_남_60~69세,"4,179",983,402,498,253,201,450,290,530,256,316
2021년11월_남_70~79세,"1,976",482,228,217,101,95,166,163,260,105,159
2021년11월_남_80~89세,780,191,62,65,54,28,62,79,143,39,57
2021년11월_남_90~99세,64,19,3,1,4,3,4,8,12,3,7
2021년11월_남_100세 이상,3,2,0,0,0,1,0,0,0,0,0
2021년11월_여_총인구수,"17,066","5,077","2,064","2,243",877,791,"1,487","1,231","1,616",745,935
2021년11월_여_연령구간인구수,"17,066","5,077","2,064","2,243",877,791,"1,487","1,231","1,616",745,935
2021년11월_여_0~9세,794,286,130,136,34,24,60,37,46,22,19
2021년11월_여_10~19세,"1,172",455,124,180,63,45,92,81,69,33,30
2021년11월_여_20~29세,"1,070",380,130,164,42,47,74,61,74,40,58
2021년11월_여_30~39세,"1,237",426,273,190,40,30,93,63,54,30,38
2021년11월_여_40~49세,"1,975",744,263,331,81,58,168,121,99,56,54
2021년11월_여_50~59세,"2,936",845,299,395,149,135,278,217,313,142,163
2021년11월_여_60~69세,"3,715",892,439,462,200,185,381,280,417,197,262
2021년11월_여_70~79세,"2,393",595,271,257,162,153,196,187,283,124,165
2021년11월_여_80~89세,"1,510",367,121,115,97,101,126,149,224,85,125
2021년11월_여_90~99세,257,85,14,12,9,12,18,34,37,16,20
2021년11월_여_100세 이상,7,2,0,1,0,1,1,1,0,0,1
