카테고리,충청북도,충청북도 청주시,충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구,충청북도 충주시,충청북도 제천시,충청북도 보은군,충청북도 옥천군,충청북도 영동군,충청북도 증평군,충청북도 진천군,충청북도 괴산군,충청북도 음성군,충청북도 단양군
2020년08월_계_총인구수,"1,598,162","843,782","185,904","198,128","265,825","193,925","210,304","133,170","32,522","50,792","47,706","37,136","81,949","37,354","94,179","29,268"
2020년08월_계_연령구간인구수,"1,598,162","843,782","185,904","198,128","265,825","193,925","210,304","133,170","32,522","50,792","47,706","37,136","81,949","37,354","94,179","29,268"
2020년08월_계_0~9세,"125,667","75,503","15,817","14,565","24,546","20,575","14,886","8,949","1,498","2,684","2,433","3,407","7,592","1,266","6,234","1,215"
2020년08월_계_10~19세,"150,379","86,554","19,504","20,893","26,757","19,400","19,070","11,840","2,147","3,935","3,447","3,406","8,037","2,044","7,865","2,034"
2020년08월_계_20~29세,"198,229","119,589","23,955","28,670","41,067","25,897","24,311","14,750","2,397","4,445","4,492","4,522","8,945","2,905","9,587","2,286"
2020년08월_계_30~39세,"196,123","119,124","22,237","23,484","41,414","31,989","23,597","13,226","2,269","3,980","3,383","4,819","11,189","2,411","10,079","2,046"
2020년08월_계_40~49세,"242,036","136,916","29,775","31,509","43,514","32,118","31,142","18,583","3,368","6,336","5,463","5,688","13,215","3,884","14,074","3,367"
2020년08월_계_50~59세,"274,200","137,915","32,354","34,916","43,047","27,598","37,903","24,182","5,970","9,103","8,552","6,073","13,608","7,296","17,830","5,768"
2020년08월_계_60~69세,"217,212","94,460","22,945","24,782","26,834","19,899","30,865","22,230","6,668","9,679","8,989","4,898","9,955","8,381","14,870","6,217"
2020년08월_계_70~79세,"120,092","46,996","12,178","12,436","12,057","10,325","17,490","12,414","4,583","6,297","6,507","2,680","5,501","5,418","8,283","3,923"
2020년08월_계_80~89세,"64,660","23,229","6,120","5,990","5,765","5,354","9,719","6,113","3,102","3,730","3,871","1,464","3,427","3,278","4,611","2,116"
2020년08월_계_90~99세,"9,003","3,305",962,835,786,722,"1,251",811,493,574,531,168,461,443,691,275
2020년08월_계_100세 이상,561,191,57,48,38,48,70,72,27,29,38,11,19,28,55,21
2020년08월_남_총인구수,"810,023","425,096","92,559","98,394","134,855","99,288","106,345","66,804","16,370","25,583","23,689","19,298","42,920","19,136","49,950","14,832"
2020년08월_남_연령구간인구수,"810,023","425,096","92,559","98,394","134,855","99,288","106,345","66,804","16,370","25,583","23,689","19,298","42,920","19,136","49,950","14,832"
2020년08월_남_0~9세,"64,251","38,488","8,006","7,412","12,524","10,546","7,552","4,577",780,"1,399","1,253","1,754","3,914",642,"3,259",633
2020년08월_남_10~19세,"78,284","45,057","10,200","10,899","13,897","10,061","9,908","6,121","1,145","2,077","1,764","1,770","4,209","1,059","4,091","1,083"
2020년08월_남_20~29세,"110,184","65,176","13,003","15,565","22,238","14,370","13,953","8,188","1,414","2,512","2,516","2,628","5,154","1,720","5,592","1,331"
2020년08월_남_30~39세,"103,926","62,288","11,342","12,060","21,814","17,072","12,716","6,911","1,249","2,076","1,786","2,673","6,133","1,358","5,643","1,093"
2020년08월_남_40~49세,"125,398","69,241","14,780","15,532","22,057","16,872","15,997","9,560","1,888","3,401","2,978","3,083","7,242","2,237","7,913","1,858"
2020년08월_남_50~59세,"141,082","69,031","16,171","17,177","21,585","14,098","19,424","12,383","3,285","4,863","4,510","3,196","7,439","3,951","9,915","3,085"
2020년08월_남_60~69세,"108,705","46,309","11,380","11,993","13,181","9,755","15,423","11,037","3,409","4,956","4,571","2,461","5,077","4,390","7,880","3,192"
2020년08월_남_70~79세,"53,932","20,983","5,388","5,507","5,489","4,599","7,716","5,616","2,027","2,892","2,841","1,192","2,496","2,519","3,901","1,749"
2020년08월_남_80~89세,"22,084","7,797","2,054","2,070","1,916","1,757","3,328","2,209","1,064","1,253","1,334",493,"1,163","1,149","1,562",732
2020년08월_남_90~99세,"2,023",677,224,164,148,141,312,179,108,147,125,45,89,104,169,68
2020년08월_남_100세 이상,154,49,11,15,6,17,16,23,1,7,11,3,4,7,25,8
2020년08월_여_총인구수,"788,139","418,686","93,345","99,734","130,970","94,637","103,959","66,366","16,152","25,209","24,017","17,838","39,029","18,218","44,229","14,436"
2020년08월_여_연령구간인구수,"788,139","418,686","93,345","99,734","130,970","94,637","103,959","66,366","16,152","25,209","24,017","17,838","39,029","18,218","44,229","14,436"
2020년08월_여_0~9세,"61,416","37,015","7,811","7,153","12,022","10,029","7,334","4,372",718,"1,285","1,180","1,653","3,678",624,"2,975",582
2020년08월_여_10~19세,"72,095","41,497","9,304","9,994","12,860","9,339","9,162","5,719","1,002","1,858","1,683","1,636","3,828",985,"3,774",951
2020년08월_여_20~29세,"88,045","54,413","10,952","13,105","18,829","11,527","10,358","6,562",983,"1,933","1,976","1,894","3,791","1,185","3,995",955
2020년08월_여_30~39세,"92,197","56,836","10,895","11,424","19,600","14,917","10,881","6,315","1,020","1,904","1,597","2,146","5,056","1,053","4,436",953
2020년08월_여_40~49세,"116,638","67,675","14,995","15,977","21,457","15,246","15,145","9,023","1,480","2,935","2,485","2,605","5,973","1,647","6,161","1,509"
2020년08월_여_50~59세,"133,118","68,884","16,183","17,739","21,462","13,500","18,479","11,799","2,685","4,240","4,042","2,877","6,169","3,345","7,915","2,683"
2020년08월_여_60~69세,"108,507","48,151","11,565","12,789","13,653","10,144","15,442","11,193","3,259","4,723","4,418","2,437","4,878","3,991","6,990","3,025"
2020년08월_여_70~79세,"66,160","26,013","6,790","6,929","6,568","5,726","9,774","6,798","2,556","3,405","3,666","1,488","3,005","2,899","4,382","2,174"
2020년08월_여_80~89세,"42,576","15,432","4,066","3,920","3,849","3,597","6,391","3,904","2,038","2,477","2,537",971,"2,264","2,129","3,049","1,384"
2020년08월_여_90~99세,"6,980","2,628",738,671,638,581,939,632,385,427,406,123,372,339,522,207
2020년08월_여_100세 이상,407,142,46,33,32,31,54,49,26,22,27,8,15,21,30,13
