카테고리,강원도 양구군,강원도 양구군 양구읍,강원도 양구군 남면,강원도 양구군 동면,강원도 양구군 방산면,강원도 양구군 해안면
2020년05월_계_총인구수,"22,378","14,330","3,341","2,053","1,330","1,324"
2020년05월_계_연령구간인구수,"22,378","14,330","3,341","2,053","1,330","1,324"
2020년05월_계_0~9세,"1,796","1,511",120,72,53,40
2020년05월_계_10~19세,"2,117","1,670",195,100,66,86
2020년05월_계_20~29세,"3,083","1,846",390,466,266,115
2020년05월_계_30~39세,"2,592","2,009",251,130,112,90
2020년05월_계_40~49세,"2,597","1,893",315,164,80,145
2020년05월_계_50~59세,"3,633","2,077",671,359,222,304
2020년05월_계_60~69세,"3,232","1,731",657,335,259,250
2020년05월_계_70~79세,"2,060",975,458,277,164,186
2020년05월_계_80~89세,"1,109",541,247,128,99,94
2020년05월_계_90~99세,144,65,34,22,9,14
2020년05월_계_100세 이상,15,12,3,0,0,0
2020년05월_남_총인구수,"11,802","7,320","1,806","1,185",776,715
2020년05월_남_연령구간인구수,"11,802","7,320","1,806","1,185",776,715
2020년05월_남_0~9세,902,754,61,37,25,25
2020년05월_남_10~19세,"1,071",828,107,48,37,51
2020년05월_남_20~29세,"2,044","1,101",284,363,224,72
2020년05월_남_30~39세,"1,437","1,075",156,85,70,51
2020년05월_남_40~49세,"1,412","1,001",184,94,46,87
2020년05월_남_50~59세,"1,922","1,058",375,193,129,167
2020년05월_남_60~69세,"1,704",889,351,189,138,137
2020년05월_남_70~79세,896,414,198,122,71,91
2020년05월_남_80~89세,371,175,82,48,34,32
2020년05월_남_90~99세,37,20,7,6,2,2
2020년05월_남_100세 이상,6,5,1,0,0,0
2020년05월_여_총인구수,"10,576","7,010","1,535",868,554,609
2020년05월_여_연령구간인구수,"10,576","7,010","1,535",868,554,609
2020년05월_여_0~9세,894,757,59,35,28,15
2020년05월_여_10~19세,"1,046",842,88,52,29,35
2020년05월_여_20~29세,"1,039",745,106,103,42,43
2020년05월_여_30~39세,"1,155",934,95,45,42,39
2020년05월_여_40~49세,"1,185",892,131,70,34,58
2020년05월_여_50~59세,"1,711","1,019",296,166,93,137
2020년05월_여_60~69세,"1,528",842,306,146,121,113
2020년05월_여_70~79세,"1,164",561,260,155,93,95
2020년05월_여_80~89세,738,366,165,80,65,62
2020년05월_여_90~99세,107,45,27,16,7,12
2020년05월_여_100세 이상,9,7,2,0,0,0
