카테고리,광주광역시 남구,광주광역시 남구 양림동,광주광역시 남구 방림1동,광주광역시 남구 방림2동,광주광역시 남구 봉선1동,광주광역시 남구 봉선2동,광주광역시 남구 사직동,광주광역시 남구 월산동,광주광역시 남구 월산4동,광주광역시 남구 월산5동,광주광역시 남구 백운1동,광주광역시 남구 백운2동,광주광역시 남구 주월1동,광주광역시 남구 주월2동,광주광역시 남구 진월동,광주광역시 남구 효덕동,광주광역시 남구 송암동,광주광역시 남구 대촌동
2021년10월_계_총인구수,"215,043","7,080","6,671","8,955","13,501","28,688","5,221","8,302","8,512","6,460","12,209","6,362","21,874","8,045","29,403","16,189","21,266","6,305"
2021년10월_계_연령구간인구수,"215,043","7,080","6,671","8,955","13,501","28,688","5,221","8,302","8,512","6,460","12,209","6,362","21,874","8,045","29,403","16,189","21,266","6,305"
2021년10월_계_0~9세,"16,991",434,509,449,792,"2,835",261,504,315,235,900,450,"1,675",453,"2,134","1,553","3,104",388
2021년10월_계_10~19세,"22,647",755,654,737,"1,272","4,867",288,473,556,337,"1,125",419,"2,237",545,"4,076","1,732","2,172",402
2021년10월_계_20~29세,"27,713",800,837,"1,190","1,969","3,169",642,979,"1,139",924,"1,485",990,"3,177","1,049","4,189","2,139","2,518",517
2021년10월_계_30~39세,"25,214",645,785,840,"1,512","2,707",615,"1,070","1,011",746,"1,381",879,"2,594",890,"2,876","2,253","3,826",584
2021년10월_계_40~49세,"34,154","1,036","1,067","1,213","2,000","5,576",737,"1,130","1,123",812,"1,846",861,"3,483","1,069","4,930","2,730","3,742",799
2021년10월_계_50~59세,"32,879","1,095",973,"1,465","2,134","4,290",841,"1,278","1,440","1,149","1,879",942,"3,556","1,355","4,712","2,109","2,681",980
2021년10월_계_60~69세,"28,999","1,018",912,"1,429","1,961","2,955",833,"1,274","1,518","1,248","1,898",915,"2,896","1,442","3,463","2,030","2,015","1,192"
2021년10월_계_70~79세,"17,514",861,643,"1,087","1,135","1,443",667,"1,065",970,696,"1,132",618,"1,585",880,"2,001","1,134",785,812
2021년10월_계_80~89세,"7,751",375,258,478,628,719,305,466,386,275,481,254,588,322,893,424,349,550
2021년10월_계_90~99세,"1,141",58,27,65,96,125,31,62,52,38,81,34,79,38,129,79,71,76
2021년10월_계_100세 이상,40,3,6,2,2,2,1,1,2,0,1,0,4,2,0,6,3,5
2021년10월_남_총인구수,"103,318","3,243","3,184","4,223","6,338","13,413","2,704","4,262","4,378","3,233","5,757","3,130","10,583","3,989","13,723","7,753","10,294","3,111"
2021년10월_남_연령구간인구수,"103,318","3,243","3,184","4,223","6,338","13,413","2,704","4,262","4,378","3,233","5,757","3,130","10,583","3,989","13,723","7,753","10,294","3,111"
2021년10월_남_0~9세,"8,653",210,260,233,411,"1,407",129,263,159,121,466,232,861,224,"1,040",797,"1,625",215
2021년10월_남_10~19세,"11,324",381,327,374,642,"2,447",157,257,302,173,540,208,"1,147",282,"1,910",904,"1,084",189
2021년10월_남_20~29세,"14,183",394,434,609,997,"1,641",349,545,622,484,760,449,"1,599",572,"2,167","1,014","1,254",293
2021년10월_남_30~39세,"12,528",314,381,441,772,"1,186",339,580,565,419,683,454,"1,308",486,"1,340","1,096","1,853",311
2021년10월_남_40~49세,"16,829",501,530,604,971,"2,531",422,679,646,471,903,483,"1,710",543,"2,177","1,346","1,860",452
2021년10월_남_50~59세,"15,616",493,465,676,975,"1,975",459,685,743,558,880,474,"1,652",637,"2,230",974,"1,232",508
2021년10월_남_60~69세,"13,255",427,399,622,865,"1,310",416,609,733,598,832,422,"1,367",679,"1,532",928,909,607
2021년10월_남_70~79세,"7,805",364,283,475,465,632,304,466,449,305,471,293,710,414,930,527,361,356
2021년10월_남_80~89세,"2,875",141,96,174,218,258,120,165,144,97,203,110,221,138,364,149,107,170
2021년10월_남_90~99세,243,16,7,15,22,26,9,13,15,7,19,5,7,13,33,18,9,9
2021년10월_남_100세 이상,7,2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
2021년10월_여_총인구수,"111,725","3,837","3,487","4,732","7,163","15,275","2,517","4,040","4,134","3,227","6,452","3,232","11,291","4,056","15,680","8,436","10,972","3,194"
2021년10월_여_연령구간인구수,"111,725","3,837","3,487","4,732","7,163","15,275","2,517","4,040","4,134","3,227","6,452","3,232","11,291","4,056","15,680","8,436","10,972","3,194"
2021년10월_여_0~9세,"8,338",224,249,216,381,"1,428",132,241,156,114,434,218,814,229,"1,094",756,"1,479",173
2021년10월_여_10~19세,"11,323",374,327,363,630,"2,420",131,216,254,164,585,211,"1,090",263,"2,166",828,"1,088",213
2021년10월_여_20~29세,"13,530",406,403,581,972,"1,528",293,434,517,440,725,541,"1,578",477,"2,022","1,125","1,264",224
2021년10월_여_30~39세,"12,686",331,404,399,740,"1,521",276,490,446,327,698,425,"1,286",404,"1,536","1,157","1,973",273
2021년10월_여_40~49세,"17,325",535,537,609,"1,029","3,045",315,451,477,341,943,378,"1,773",526,"2,753","1,384","1,882",347
2021년10월_여_50~59세,"17,263",602,508,789,"1,159","2,315",382,593,697,591,999,468,"1,904",718,"2,482","1,135","1,449",472
2021년10월_여_60~69세,"15,744",591,513,807,"1,096","1,645",417,665,785,650,"1,066",493,"1,529",763,"1,931","1,102","1,106",585
2021년10월_여_70~79세,"9,709",497,360,612,670,811,363,599,521,391,661,325,875,466,"1,071",607,424,456
2021년10월_여_80~89세,"4,876",234,162,304,410,461,185,301,242,178,278,144,367,184,529,275,242,380
2021년10월_여_90~99세,898,42,20,50,74,99,22,49,37,31,62,29,72,25,96,61,62,67
2021년10월_여_100세 이상,33,1,4,2,2,2,1,1,2,0,1,0,3,1,0,6,3,4
