,충청남도 보령시,충청남도 보령시 웅천읍,충청남도 보령시 주포면,충청남도 보령시 오천면,충청남도 보령시 오천면어항출장소,충청남도 보령시 원산도출장소,충청남도 보령시 천북면,충청남도 보령시 청소면,충청남도 보령시 청라면,충청남도 보령시 남포면,충청남도 보령시 주산면,충청남도 보령시 미산면,충청남도 보령시 성주면,충청남도 보령시 주교면,충청남도 보령시 대천1동,충청남도 보령시 대천2동,충청남도 보령시 대천3동,충청남도 보령시 대천4동,충청남도 보령시 대천5동
2021년03월_계_총인구수,"99,234","6,113","1,671","2,177","1,638","1,107","3,488","2,611","3,896","5,128","2,431","1,710","2,216","5,267","14,280","6,856","16,474","15,782","6,389"
2021년03월_계_연령구간인구수,"99,234","6,113","1,671","2,177","1,638","1,107","3,488","2,611","3,896","5,128","2,431","1,710","2,216","5,267","14,280","6,856","16,474","15,782","6,389"
2021년03월_계_0~9세,"5,959",130,38,42,55,29,111,60,122,138,42,48,73,188,"1,035",474,"1,605","1,544",225
2021년03월_계_10~19세,"8,156",295,105,113,104,62,177,104,205,247,88,57,105,325,"1,446",649,"1,920","1,784",370
2021년03월_계_20~29세,"9,374",393,197,142,129,60,216,142,267,365,109,88,165,465,"1,661",729,"1,995","1,755",496
2021년03월_계_30~39세,"9,179",337,80,121,119,63,204,139,198,279,96,76,139,386,"1,550",736,"2,175","1,941",540
2021년03월_계_40~49세,"13,741",572,164,251,213,94,331,199,373,468,189,131,263,674,"2,249","1,100","2,991","2,727",752
2021년03월_계_50~59세,"16,866","1,100",275,386,317,215,587,421,674,928,361,257,406,930,"2,393","1,154","2,592","2,615","1,255"
2021년03월_계_60~69세,"17,400","1,527",396,506,369,257,809,597,892,"1,199",580,430,516,"1,101","2,088",992,"1,835","1,885","1,421"
2021년03월_계_70~79세,"11,233","1,040",262,356,189,184,583,514,669,853,510,357,365,711,"1,248",643,886,"1,003",860
2021년03월_계_80~89세,"6,330",607,129,220,125,126,414,377,430,534,378,225,168,421,544,347,422,455,408
2021년03월_계_90~99세,953,112,25,39,17,17,55,58,60,107,76,41,15,65,64,31,50,64,57
2021년03월_계_100세 이상,43,0,0,1,1,0,1,0,6,10,2,0,1,1,2,1,3,9,5
2021년03월_남_총인구수,"50,329","3,109",881,"1,152",875,592,"1,809","1,306","1,975","2,592","1,192",885,"1,099","2,779","7,211","3,433","8,262","7,857","3,320"
2021년03월_남_연령구간인구수,"50,329","3,109",881,"1,152",875,592,"1,809","1,306","1,975","2,592","1,192",885,"1,099","2,779","7,211","3,433","8,262","7,857","3,320"
2021년03월_남_0~9세,"3,001",72,15,15,24,13,52,37,66,80,30,24,41,94,530,241,796,771,100
2021년03월_남_10~19세,"4,242",147,56,58,55,35,99,65,109,115,45,36,58,174,738,324,994,940,194
2021년03월_남_20~29세,"5,508",262,147,82,86,37,132,83,164,220,65,60,94,298,965,401,"1,117",982,313
2021년03월_남_30~39세,"4,988",201,39,78,68,42,131,87,113,169,55,40,75,238,842,404,"1,094",976,336
2021년03월_남_40~49세,"7,522",338,99,167,133,62,200,120,230,270,120,98,160,412,"1,149",572,"1,554","1,363",475
2021년03월_남_50~59세,"9,000",606,157,232,187,137,332,246,370,513,197,146,227,516,"1,217",604,"1,296","1,346",671
2021년03월_남_60~69세,"8,545",767,213,249,186,134,415,296,459,619,291,233,230,543,991,466,874,884,695
2021년03월_남_70~79세,"5,045",474,113,175,92,86,294,236,297,393,221,158,159,342,556,275,383,431,360
2021년03월_남_80~89세,"2,265",215,37,87,40,43,147,122,157,190,148,82,52,147,207,139,143,147,162
2021년03월_남_90~99세,206,27,5,9,4,3,7,14,10,21,19,8,3,15,16,7,10,14,14
2021년03월_남_100세 이상,7,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,3,0
2021년03월_여_총인구수,"48,905","3,004",790,"1,025",763,515,"1,679","1,305","1,921","2,536","1,239",825,"1,117","2,488","7,069","3,423","8,212","7,925","3,069"
2021년03월_여_연령구간인구수,"48,905","3,004",790,"1,025",763,515,"1,679","1,305","1,921","2,536","1,239",825,"1,117","2,488","7,069","3,423","8,212","7,925","3,069"
2021년03월_여_0~9세,"2,958",58,23,27,31,16,59,23,56,58,12,24,32,94,505,233,809,773,125
2021년03월_여_10~19세,"3,914",148,49,55,49,27,78,39,96,132,43,21,47,151,708,325,926,844,176
2021년03월_여_20~29세,"3,866",131,50,60,43,23,84,59,103,145,44,28,71,167,696,328,878,773,183
2021년03월_여_30~39세,"4,191",136,41,43,51,21,73,52,85,110,41,36,64,148,708,332,"1,081",965,204
2021년03월_여_40~49세,"6,219",234,65,84,80,32,131,79,143,198,69,33,103,262,"1,100",528,"1,437","1,364",277
2021년03월_여_50~59세,"7,866",494,118,154,130,78,255,175,304,415,164,111,179,414,"1,176",550,"1,296","1,269",584
2021년03월_여_60~69세,"8,855",760,183,257,183,123,394,301,433,580,289,197,286,558,"1,097",526,961,"1,001",726
2021년03월_여_70~79세,"6,188",566,149,181,97,98,289,278,372,460,289,199,206,369,692,368,503,572,500
2021년03월_여_80~89세,"4,065",392,92,133,85,83,267,255,273,344,230,143,116,274,337,208,279,308,246
2021년03월_여_90~99세,747,85,20,30,13,14,48,44,50,86,57,33,12,50,48,24,40,50,43
2021년03월_여_100세 이상,36,0,0,1,1,0,1,0,6,8,1,0,1,1,2,1,2,6,5
