,경상남도 사천시,경상남도 사천시 사천읍,경상남도 사천시 정동면,경상남도 사천시 사남면,경상남도 사천시 용현면,경상남도 사천시 축동면,경상남도 사천시 곤양면,경상남도 사천시 곤명면,경상남도 사천시 서포면,경상남도 사천시 동서동,경상남도 사천시 선구동,경상남도 사천시 동서금동,경상남도 사천시 벌용동,경상남도 사천시 향촌동,경상남도 사천시 남양동,경상남도 사천시 신수출장소
2021년11월_계_총인구수,"110,044","17,706","13,642","15,338","7,394","1,556","3,354","2,770","3,447","5,877","4,886","6,319","15,651","6,723","5,128",253
2021년11월_계_연령구간인구수,"110,044","17,706","13,642","15,338","7,394","1,556","3,354","2,770","3,447","5,877","4,886","6,319","15,651","6,723","5,128",253
2021년11월_계_0~9세,"7,703","1,285","1,412","1,824",583,32,78,65,65,159,202,420,"1,003",296,277,2
2021년11월_계_10~19세,"10,118","1,784","1,574","2,049",642,43,144,77,131,272,281,487,"1,629",616,382,7
2021년11월_계_20~29세,"10,354","2,206","1,510","1,467",488,99,238,137,206,357,411,490,"1,643",704,388,10
2021년11월_계_30~39세,"11,169","2,221","1,929","2,144",736,83,167,117,149,374,394,620,"1,324",499,401,11
2021년11월_계_40~49세,"17,377","3,093","2,458","3,121","1,224",138,312,244,299,637,617,952,"2,491","1,107",656,28
2021년11월_계_50~59세,"18,310","3,062","2,103","1,955","1,147",266,571,506,632,997,917,"1,094","2,927","1,243",853,37
2021년11월_계_60~69세,"17,294","2,137","1,374","1,400","1,268",407,794,679,806,"1,458","1,024","1,149","2,503","1,178","1,050",67
2021년11월_계_70~79세,"10,767","1,145",745,839,787,252,591,518,625,"1,068",659,757,"1,388",677,655,61
2021년11월_계_80~89세,"6,051",671,444,465,441,210,398,380,458,491,341,319,672,345,388,28
2021년11월_계_90~99세,877,96,91,74,76,26,57,45,74,63,40,29,70,58,76,2
2021년11월_계_100세 이상,24,6,2,0,2,0,4,2,2,1,0,2,1,0,2,0
2021년11월_남_총인구수,"55,498","9,245","6,848","7,983","3,706",804,"1,720","1,388","1,687","2,882","2,424","3,076","7,597","3,495","2,516",127
2021년11월_남_연령구간인구수,"55,498","9,245","6,848","7,983","3,706",804,"1,720","1,388","1,687","2,882","2,424","3,076","7,597","3,495","2,516",127
2021년11월_남_0~9세,"3,982",670,720,969,271,17,49,35,34,85,103,205,527,149,147,1
2021년11월_남_10~19세,"5,215",890,824,"1,017",348,24,76,51,62,143,150,267,825,337,196,5
2021년11월_남_20~29세,"6,205","1,293",857,931,287,57,154,94,137,213,267,286,942,432,248,7
2021년11월_남_30~39세,"6,074","1,294","1,007","1,140",378,52,100,67,83,235,231,319,673,286,204,5
2021년11월_남_40~49세,"9,166","1,673","1,204","1,625",688,84,186,158,178,385,343,494,"1,174",591,360,23
2021년11월_남_50~59세,"9,762","1,629","1,099","1,113",607,165,325,298,371,540,463,556,"1,459",688,426,23
2021년11월_남_60~69세,"8,394","1,072",674,682,605,222,416,343,398,662,475,524,"1,188",591,510,32
2021년11월_남_70~79세,"4,647",496,318,350,359,114,270,219,280,449,277,313,593,291,294,24
2021년11월_남_80~89세,"1,909",214,131,143,150,63,131,114,132,161,108,106,208,121,121,6
2021년11월_남_90~99세,137,13,14,13,12,6,12,8,11,9,7,6,7,9,9,1
2021년11월_남_100세 이상,7,1,0,0,1,0,1,1,1,0,0,0,1,0,1,0
2021년11월_여_총인구수,"54,546","8,461","6,794","7,355","3,688",752,"1,634","1,382","1,760","2,995","2,462","3,243","8,054","3,228","2,612",126
2021년11월_여_연령구간인구수,"54,546","8,461","6,794","7,355","3,688",752,"1,634","1,382","1,760","2,995","2,462","3,243","8,054","3,228","2,612",126
2021년11월_여_0~9세,"3,721",615,692,855,312,15,29,30,31,74,99,215,476,147,130,1
2021년11월_여_10~19세,"4,903",894,750,"1,032",294,19,68,26,69,129,131,220,804,279,186,2
2021년11월_여_20~29세,"4,149",913,653,536,201,42,84,43,69,144,144,204,701,272,140,3
2021년11월_여_30~39세,"5,095",927,922,"1,004",358,31,67,50,66,139,163,301,651,213,197,6
2021년11월_여_40~49세,"8,211","1,420","1,254","1,496",536,54,126,86,121,252,274,458,"1,317",516,296,5
2021년11월_여_50~59세,"8,548","1,433","1,004",842,540,101,246,208,261,457,454,538,"1,468",555,427,14
2021년11월_여_60~69세,"8,900","1,065",700,718,663,185,378,336,408,796,549,625,"1,315",587,540,35
2021년11월_여_70~79세,"6,120",649,427,489,428,138,321,299,345,619,382,444,795,386,361,37
2021년11월_여_80~89세,"4,142",457,313,322,291,147,267,266,326,330,233,213,464,224,267,22
2021년11월_여_90~99세,740,83,77,61,64,20,45,37,63,54,33,23,63,49,67,1
2021년11월_여_100세 이상,17,5,2,0,1,0,3,1,1,1,0,2,0,0,1,0
