,충청남도 홍성군,충청남도 홍성군 홍성읍,충청남도 홍성군 광천읍,충청남도 홍성군 홍북읍,충청남도 홍성군 금마면,충청남도 홍성군 홍동면,충청남도 홍성군 장곡면,충청남도 홍성군 은하면,충청남도 홍성군 결성면,충청남도 홍성군 서부면,충청남도 홍성군 갈산면,충청남도 홍성군 구항면
2020년10월_계_총인구수,"99,844","38,235","8,497","28,588","3,508","3,448","2,931","2,300","2,111","3,251","3,507","3,468"
2020년10월_계_연령구간인구수,"99,844","38,235","8,497","28,588","3,508","3,448","2,931","2,300","2,111","3,251","3,507","3,468"
2020년10월_계_0~9세,"7,797","2,524",286,"4,374",102,128,76,41,24,79,74,89
2020년10월_계_10~19세,"9,632","4,367",461,"3,718",132,223,117,70,64,148,145,187
2020년10월_계_20~29세,"9,606","4,851",594,"2,703",231,232,147,120,114,202,192,220
2020년10월_계_30~39세,"10,546","3,628",481,"5,152",212,185,142,98,97,146,203,202
2020년10월_계_40~49세,"14,473","6,114",814,"5,420",324,373,233,164,130,289,269,343
2020년10월_계_50~59세,"15,902","6,790","1,472","3,404",655,581,467,378,369,564,579,643
2020년10월_계_60~69세,"14,554","5,093","1,834","2,046",774,707,628,543,518,773,849,789
2020년10월_계_70~79세,"10,056","3,064","1,575","1,057",586,542,577,459,426,595,615,560
2020년10월_계_80~89세,"6,342","1,566",840,630,430,428,494,357,322,389,502,384
2020년10월_계_90~99세,875,221,119,81,61,47,48,69,47,59,74,49
2020년10월_계_100세 이상,61,17,21,3,1,2,2,1,0,7,5,2
2020년10월_남_총인구수,"49,626","18,950","4,163","14,296","1,777","1,743","1,411","1,165","1,028","1,598","1,755","1,740"
2020년10월_남_연령구간인구수,"49,626","18,950","4,163","14,296","1,777","1,743","1,411","1,165","1,028","1,598","1,755","1,740"
2020년10월_남_0~9세,"4,048","1,289",152,"2,278",55,72,41,22,11,37,44,47
2020년10월_남_10~19세,"4,917","2,235",248,"1,890",75,115,60,35,26,65,75,93
2020년10월_남_20~29세,"5,285","2,673",359,"1,356",138,157,83,79,76,121,115,128
2020년10월_남_30~39세,"5,467","1,900",277,"2,527",131,104,85,66,63,85,126,103
2020년10월_남_40~49세,"7,559","2,997",478,"2,751",199,209,150,105,87,194,179,210
2020년10월_남_50~59세,"8,293","3,464",748,"1,796",363,311,257,216,190,283,310,355
2020년10월_남_60~69세,"7,131","2,423",872,989,399,368,304,277,255,393,437,414
2020년10월_남_70~79세,"4,480","1,362",691,488,255,252,244,217,191,265,258,257
2020년10월_남_80~89세,"2,206",540,295,206,145,147,175,130,122,138,186,122
2020년10월_남_90~99세,221,60,37,15,16,8,11,18,7,15,23,11
2020년10월_남_100세 이상,19,7,6,0,1,0,1,0,0,2,2,0
2020년10월_여_총인구수,"50,218","19,285","4,334","14,292","1,731","1,705","1,520","1,135","1,083","1,653","1,752","1,728"
2020년10월_여_연령구간인구수,"50,218","19,285","4,334","14,292","1,731","1,705","1,520","1,135","1,083","1,653","1,752","1,728"
2020년10월_여_0~9세,"3,749","1,235",134,"2,096",47,56,35,19,13,42,30,42
2020년10월_여_10~19세,"4,715","2,132",213,"1,828",57,108,57,35,38,83,70,94
2020년10월_여_20~29세,"4,321","2,178",235,"1,347",93,75,64,41,38,81,77,92
2020년10월_여_30~39세,"5,079","1,728",204,"2,625",81,81,57,32,34,61,77,99
2020년10월_여_40~49세,"6,914","3,117",336,"2,669",125,164,83,59,43,95,90,133
2020년10월_여_50~59세,"7,609","3,326",724,"1,608",292,270,210,162,179,281,269,288
2020년10월_여_60~69세,"7,423","2,670",962,"1,057",375,339,324,266,263,380,412,375
2020년10월_여_70~79세,"5,576","1,702",884,569,331,290,333,242,235,330,357,303
2020년10월_여_80~89세,"4,136","1,026",545,424,285,281,319,227,200,251,316,262
2020년10월_여_90~99세,654,161,82,66,45,39,37,51,40,44,51,38
2020년10월_여_100세 이상,42,10,15,3,0,2,1,1,0,5,3,2
