,부산광역시,부산광역시 중구,부산광역시 서구,부산광역시 동구,부산광역시 영도구,부산광역시 부산진구,부산광역시 동래구,부산광역시 남구,부산광역시 북구,부산광역시 해운대구,부산광역시 사하구,부산광역시 금정구,부산광역시 강서구,부산광역시 연제구,부산광역시 수영구,부산광역시 사상구,부산광역시 기장군
2021년02월_계_총인구수,"3,387,761","41,551","107,824","88,639","112,809","360,025","270,678","266,989","282,799","401,280","310,740","231,743","139,088","208,743","176,703","212,038","176,112"
2021년02월_계_연령구간인구수,"3,387,761","41,551","107,824","88,639","112,809","360,025","270,678","266,989","282,799","401,280","310,740","231,743","139,088","208,743","176,703","212,038","176,112"
2021년02월_계_0~9세,"229,989","1,292","5,564","4,023","5,032","21,147","19,536","17,760","18,690","28,293","19,630","12,909","20,055","14,487","10,258","12,167","19,146"
2021년02월_계_10~19세,"270,716","2,038","7,249","5,035","7,323","24,880","24,898","22,896","23,033","37,932","25,207","17,521","11,940","16,438","11,745","14,939","17,642"
2021년02월_계_20~29세,"428,013","5,687","13,436","10,423","11,881","52,714","32,420","34,995","37,057","48,580","39,485","32,946","12,401","25,868","24,265","28,715","17,140"
2021년02월_계_30~39세,"416,025","4,509","11,049","10,375","10,474","48,034","32,818","29,855","33,295","46,432","36,497","24,953","27,229","26,843","23,787","24,958","24,917"
2021년02월_계_40~49세,"510,485","5,376","14,667","11,839","15,038","51,633","43,288","41,706","40,186","65,584","45,809","32,036","24,148","31,890","25,435","29,241","32,609"
2021년02월_계_50~59세,"566,594","7,006","17,838","14,643","19,374","58,286","44,251","42,761","53,489","70,119","54,631","40,277","17,059","34,100","27,580","40,820","24,360"
2021년02월_계_60~69세,"536,607","7,935","19,246","16,175","22,268","56,511","41,372","41,121","46,100","58,388","51,723","39,076","16,107","32,837","28,768","37,220","21,760"
2021년02월_계_70~79세,"294,327","5,108","12,414","10,708","14,562","31,843","22,415","24,966","21,412","30,866","26,396","21,701","6,909","18,231","17,045","17,264","12,487"
2021년02월_계_80~89세,"117,738","2,134","5,497","4,721","5,970","13,161","8,430","9,627","8,368","13,165","9,826","8,908","2,734","7,099","6,868","5,970","5,260"
2021년02월_계_90~99세,"15,359",378,740,597,751,"1,582","1,109","1,169","1,059","1,758","1,374","1,216",459,859,890,672,746
2021년02월_계_100세 이상,"1,908",88,124,100,136,234,141,133,110,163,162,200,47,91,62,72,45
2021년02월_남_총인구수,"1,658,540","20,262","52,194","43,370","55,571","173,763","131,712","130,623","139,828","193,072","154,760","113,219","71,882","100,450","83,512","107,128","87,194"
2021년02월_남_연령구간인구수,"1,658,540","20,262","52,194","43,370","55,571","173,763","131,712","130,623","139,828","193,072","154,760","113,219","71,882","100,450","83,512","107,128","87,194"
2021년02월_남_0~9세,"118,018",674,"2,912","2,119","2,547","10,717","10,101","9,069","9,659","14,628","10,082","6,621","10,319","7,333","5,276","6,200","9,761"
2021년02월_남_10~19세,"139,765","1,011","3,666","2,601","3,773","12,637","12,991","11,845","11,993","19,554","13,088","9,030","6,086","8,458","6,065","7,807","9,160"
2021년02월_남_20~29세,"222,783","2,802","6,615","5,268","6,533","25,750","16,938","18,519","19,910","25,434","21,185","17,814","6,684","13,081","11,785","15,365","9,100"
2021년02월_남_30~39세,"212,814","2,443","5,690","5,556","5,647","24,488","16,479","15,309","17,248","22,633","19,352","12,968","13,892","13,444","11,882","13,422","12,361"
